Time(ms)	Membrane_Voltage(mV)
-5	-88.5049
-4.9	-88.5049
-4.8	-88.5049
-4.7	-88.5049
-4.6	-88.5049
-4.5	-88.5049
-4.4	-88.5049
-4.3	-88.5049
-4.2	-88.5049
-4.1	-88.5049
-4	-88.5049
-3.9	-88.5049
-3.8	-88.5049
-3.7	-88.5049
-3.6	-88.5049
-3.5	-88.5049
-3.4	-88.5049
-3.3	-88.5049
-3.2	-88.5049
-3.1	-88.5049
-3	-88.5049
-2.9	-88.5049
-2.8	-88.5049
-2.7	-88.5049
-2.6	-88.5049
-2.5	-88.5049
-2.4	-88.5049
-2.3	-88.5049
-2.2	-88.5049
-2.1	-88.5049
-2	-88.5049
-1.9	-88.5049
-1.8	-88.5049
-1.7	-88.5049
-1.6	-88.5049
-1.5	-88.5049
-1.4	-88.5049
-1.3	-88.5049
-1.2	-88.5049
-1.1	-88.5049
-1	-88.5049
-0.9	-88.5049
-0.8	-88.5049
-0.7	-88.5049
-0.6	-88.5049
-0.5	-88.5049
-0.4	-88.5049
-0.3	-88.5049
-0.2	-88.5049
-0.1	-88.5049
0	-88.5049
0.1	-80.5868
0.2	-72.7253
0.3	-64.8359
0.4	-56.8958
0.5	-48.8696
0.6	-48.5798
0.7	-47.8043
0.8	-46.3645
0.9	-44.0319
1	-40.3495
1.1	-34.2086
1.2	-22.6855
1.3	-0.708184
1.4	21.7288
1.5	28.3856
1.6	30.1214
1.7	31.3091
1.8	32.3637
1.9	33.3179
2	34.1808
2.1	34.9601
2.2	35.6634
2.3	36.2977
2.4	36.8695
2.5	37.385
2.6	37.8497
2.7	38.2688
2.8	38.6468
2.9	38.9879
3	39.2958
3.1	39.5738
3.2	39.825
3.3	40.0519
3.4	40.2569
3.5	40.4422
3.6	40.6097
3.7	40.7611
3.8	40.8979
3.9	41.0214
4	41.1329
4.1	41.2335
4.2	41.3241
4.3	41.4058
4.4	41.4791
4.5	41.545
4.6	41.6041
4.7	41.6569
4.8	41.7039
4.9	41.7458
5	41.7829
5.1	41.8156
5.2	41.8443
5.3	41.8694
5.4	41.8911
5.5	41.9097
5.6	41.9255
5.7	41.9387
5.8	41.9496
5.9	41.9583
6	41.965
6.1	41.9698
6.2	41.973
6.3	41.9747
6.4	41.9749
6.5	41.9739
6.6	41.9716
6.7	41.9683
6.8	41.9641
6.9	41.9589
7	41.9529
7.1	41.9462
7.2	41.9387
7.3	41.9307
7.4	41.9221
7.5	41.913
7.6	41.9035
7.7	41.8935
7.8	41.8832
7.9	41.8726
8	41.8617
8.1	41.8505
8.2	41.8391
8.3	41.8276
8.4	41.8158
8.5	41.804
8.6	41.792
8.7	41.7799
8.8	41.7677
8.9	41.7555
9	41.7433
9.1	41.731
9.2	41.7188
9.3	41.7065
9.4	41.6943
9.5	41.6821
9.6	41.67
9.7	41.6579
9.8	41.6458
9.9	41.6339
10	41.622
10.1	41.6102
10.2	41.5985
10.3	41.5869
10.4	41.5754
10.5	41.5641
10.6	41.5528
10.7	41.5417
10.8	41.5306
10.9	41.5197
11	41.5089
11.1	41.4983
11.2	41.4878
11.3	41.4774
11.4	41.4671
11.5	41.457
11.6	41.447
11.7	41.4371
11.8	41.4274
11.9	41.4178
12	41.4083
12.1	41.399
12.2	41.3898
12.3	41.3807
12.4	41.3718
12.5	41.363
12.6	41.3543
12.7	41.3457
12.8	41.3373
12.9	41.329
13	41.3208
13.1	41.3127
13.2	41.3048
