Time(ms)	Membrane_Voltage(mV)
-5	-88.608
-4.9	-88.608
-4.8	-88.608
-4.7	-88.608
-4.6	-88.608
-4.5	-88.608
-4.4	-88.608
-4.3	-88.608
-4.2	-88.608
-4.1	-88.608
-4	-88.608
-3.9	-88.608
-3.8	-88.608
-3.7	-88.608
-3.6	-88.608
-3.5	-88.608
-3.4	-88.608
-3.3	-88.608
-3.2	-88.608
-3.1	-88.608
-3	-88.608
-2.9	-88.608
-2.8	-88.608
-2.7	-88.608
-2.6	-88.608
-2.5	-88.608
-2.4	-88.608
-2.3	-88.608
-2.2	-88.608
-2.1	-88.608
-2	-88.608
-1.9	-88.608
-1.8	-88.608
-1.7	-88.608
-1.6	-88.608
-1.5	-88.608
-1.4	-88.608
-1.3	-88.608
-1.2	-88.608
-1.1	-88.608
-1	-88.608
-0.9	-88.608
-0.8	-88.608
-0.7	-88.608
-0.6	-88.608
-0.5	-88.608
-0.4	-88.608
-0.3	-88.608
-0.2	-88.608
-0.1	-88.608
0	-88.608
0.1	-80.6952
0.2	-72.8427
0.3	-64.9606
0.4	-57.025
0.5	-49.0035
0.6	-48.7302
0.7	-47.9971
0.8	-46.6397
0.9	-44.4556
1	-41.0523
1.1	-35.5035
1.2	-25.3964
1.3	-5.75489
1.4	18.4904
1.5	27.5969
1.6	29.6327
1.7	30.7892
1.8	31.7752
1.9	32.6498
2	33.4267
2.1	34.1161
2.2	34.7269
2.3	35.2673
2.4	35.7446
2.5	36.1653
2.6	36.5352
2.7	36.8596
2.8	37.1432
2.9	37.3902
3	37.6044
3.1	37.7892
3.2	37.9477
3.3	38.0826
3.4	38.1963
3.5	38.2912
3.6	38.369
3.7	38.4318
3.8	38.481
3.9	38.5181
4	38.5444
4.1	38.5612
4.2	38.5693
4.3	38.5698
4.4	38.5636
4.5	38.5514
4.6	38.5338
4.7	38.5116
4.8	38.4853
4.9	38.4554
5	38.4223
5.1	38.3864
5.2	38.3482
5.3	38.3079
5.4	38.2659
5.5	38.2223
5.6	38.1775
5.7	38.1317
5.8	38.0851
5.9	38.0377
6	37.9899
6.1	37.9417
6.2	37.8932
6.3	37.8446
6.4	37.7959
6.5	37.7473
6.6	37.6988
6.7	37.6505
6.8	37.6025
6.9	37.5547
7	37.5074
7.1	37.4604
7.2	37.4138
7.3	37.3678
7.4	37.3222
7.5	37.2771
7.6	37.2326
7.7	37.1886
7.8	37.1452
7.9	37.1024
8	37.0601
8.1	37.0185
8.2	36.9774
8.3	36.937
8.4	36.8972
8.5	36.858
8.6	36.8194
8.7	36.7814
8.8	36.744
8.9	36.7072
9	36.6711
9.1	36.6355
9.2	36.6005
9.3	36.5661
9.4	36.5323
9.5	36.499
9.6	36.4663
9.7	36.4342
9.8	36.4027
9.9	36.3717
10	36.3412
10.1	36.3112
10.2	36.2818
10.3	36.2529
10.4	36.2246
10.5	36.1967
10.6	36.1693
10.7	36.1424
10.8	36.116
10.9	36.09
11	36.0646
11.1	36.0395
11.2	36.015
11.3	35.9908
11.4	35.9672
11.5	35.9439
11.6	35.921
11.7	35.8986
11.8	35.8766
11.9	35.8549
12	35.8337
12.1	35.8128
12.2	35.7924
12.3	35.7723
12.4	35.7525
12.5	35.7331
12.6	35.7141
12.7	35.6954
12.8	35.6771
12.9	35.6591
13	35.6414
13.1	35.624
13.2	35.607
13.3	35.5902
13.4	35.5738
13.5	35.5577
13.6	35.5418
13.7	35.5263
13.8	35.511
13.9	35.496
14	35.4813
14.1	35.4668
14.2	35.4527
14.3	35.4387
14.4	35.4251
14.5	35.4116
14.6	35.3985
14.7	35.3855
14.8	35.3728
14.9	35.3603
15	35.3481
15.1	35.3361
15.2	35.3243
15.3	35.3127
15.4	35.3013
15.5	35.2901
15.6	35.2792
15.7	35.2684
15.8	35.2578
15.9	35.2475
16	35.2373
16.1	35.2273
16.2	35.2175
16.3	35.2078
16.4	35.1984
16.5	35.1891
16.6	35.18
16.7	35.171
16.8	35.1622
16.9	35.1536
17	35.1452
17.1	35.1368
17.2	35.1287
17.3	35.1207
17.4	35.1128
17.5	35.1051
17.6	35.0975
17.7	35.0901
17.8	35.0828
17.9	35.0756
18	35.0686
18.1	35.0617
18.2	35.0549
18.3	35.0483
18.4	35.0417
18.5	35.0353
18.6	35.029
18.7	35.0229
18.8	35.0168
18.9	35.0109
19	35.005
19.1	34.9993
19.2	34.9937
19.3	34.9882
19.4	34.9828
19.5	34.9774
19.6	34.9722
19.7	34.9671
19.8	34.9621
19.9	34.9572
20	34.9523
20.1	34.9476
20.2	34.9429
20.3	34.9383
20.4	34.9338
20.5	34.9294
20.6	34.9251
20.7	34.9209
20.8	34.9167
20.9	34.9126
21	34.9086
21.1	34.9047
21.2	34.9008
21.3	34.8971
21.4	34.8933
21.5	34.8897
21.6	34.8861
21.7	34.8826
21.8	34.8792
21.9	34.8758
22	34.8725
22.1	34.8692
22.2	34.866
22.3	34.8629
22.4	34.8598
22.5	34.8568
22.6	34.8539
22.7	34.8509
22.8	34.8481
22.9	34.8453
23	34.8426
23.1	34.8399
23.2	34.8372
23.3	34.8346
23.4	34.8321
23.5	34.8296
23.6	34.8272
23.7	34.8248
23.8	34.8224
23.9	34.8201
24	34.8178
24.1	34.8156
24.2	34.8134
24.3	34.8113
24.4	34.8092
24.5	34.8071
24.6	34.8051
24.7	34.8031
24.8	34.8011
24.9	34.7992
25	34.7974
25.1	34.7955
25.2	34.7937
25.3	34.7919
25.4	34.7902
25.5	34.7885
25.6	34.7868
25.7	34.7851
25.8	34.7835
25.9	34.7819
26	34.7804
26.1	34.7788
26.2	34.7773
26.3	34.7758
26.4	34.7744
26.5	34.773
26.6	34.7716
26.7	34.7702
26.8	34.7688
26.9	34.7675
27	34.7662
27.1	34.7649
27.2	34.7636
27.3	34.7624
27.4	34.7612
27.5	34.76
27.6	34.7588
27.7	34.7576
27.8	34.7565
27.9	34.7554
28	34.7543
28.1	34.7532
28.2	34.7521
28.3	34.751
28.4	34.75
28.5	34.749
28.6	34.748
28.7	34.747
28.8	34.746
28.9	34.745
29	34.7441
29.1	34.7432
29.2	34.7422
29.3	34.7413
29.4	34.7404
29.5	34.7395
29.6	34.7387
29.7	34.7378
29.8	34.7369
29.9	34.7361
30	34.7353
30.1	34.7344
30.2	34.7336
30.3	34.7328
30.4	34.732
30.5	34.7312
30.6	34.7304
30.7	34.7297
30.8	34.7289
30.9	34.7281
