Concentration(uM)	Concentration(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.581	41.9176	237.273	290.239	0.035849,0.0486131,0.0631495,0.0784848,0.0877345,0.148997,0.236401,0.282746,0.339577,0.432572,0.564548
0.00177828	227.582	41.9172	237.535	290.574	0.0637862,0.0866567,0.112326,0.139529,0.155918,0.264758,0.419783,0.501876,0.602561,0.767072,1.00026
0.00316228	227.579	41.9165	237.998	291.169	0.11346,0.154001,0.199827,0.247887,0.276994,0.470042,0.744474,0.889541,1.06728,1.35722,1.7672
0.00562341	227.576	41.9152	238.819	292.222	0.201731,0.273758,0.355715,0.440065,0.491684,0.833293,1.31742,1.57278,1.8846,2.39201,3.1068
0.01	227.572	41.9129	240.263	294.078	0.358486,0.486096,0.631789,0.780267,0.871532,1.47371,2.32256,2.76859,3.31017,4.18781,5.41582
0.0177828	227.565	41.9085	242.789	297.328	0.636565,0.865977,1.12026,1.3804,1.54115,2.59537,4.0682,4.83709,5.76185,7.25144,9.3091
0.0316228	227.554	41.9003	247.149	302.958	1.14454,1.53874,1.98243,2.43278,2.71889,4.53797,7.04841,8.34495,9.8814,12.3305,15.6468
0.0562341	227.534	41.8847	254.519	312.526	2.02332,2.71316,3.4937,4.27579,4.76184,7.83944,11.9966,14.1066,16.556,20.3958,25.4399
0.1	227.517	41.8528	266.565	328.301	3.55789,4.7441,6.14134,7.41358,8.26224,13.2826,19.8838,23.1242,26.8043,32.4407,39.5499
0.177828	227.518	41.7865	285.283	353.139	6.27164,8.19819,10.6906,12.6135,14.0328,21.8531,31.7715,36.3256,41.4499,49.096,58.2426
0.316228	227.236	41.6507	312.422	389.8	10.8357,13.9325,17.9853,20.9382,23.1655,34.5033,48.2105,54.1378,60.5734,70.0186,80.7207
0.562341	227.823	41.3868	348.536	439.51	18.682,22.9382,29.3498,33.431,36.5838,51.6563,68.5755,75.819,82.925,93.8608,104.133
1	228.351	40.9609	391.832	499.832	30.7443,37.0346,45.163,50.2832,54.2603,72.4706,91.5511,98.2655,107.13,116.686,126.819
1.77828	229.317	40.4363	436.962	562.834	47.125,54.8617,64.2482,70.4994,74.7872,94.2101,113.534,120.247,126.653,136.173,144.452
3.16228	230.946	39.9447	475.383	616.657	66.2842,74.6471,84.7526,90.8892,94.9899,112.782,129.755,134.261,140.192,147.287,155.956
5.62341	233.615	39.5223	500.443	652.962	85.4663,94.4255,102.95,108.117,111.379,125.309,138.011,141.689,145.7,152.707,161.675
10	237.658	39.1064	512.81	672.807	103.279,110.051,116.861,120.206,122.878,132.157,140.943,142.797,146.671,153.068,160.255
17.7828	242.452	38.5699	517.946	682.406	116.687,121.125,125.572,127.937,129.652,135.469,141.295,142.759,145.513,149.897,155.725
31.6228	243.572	37.7341	521.038	687.01	125.141,128.283,130.921,132.504,133.494,137.058,140.873,141.782,143.485,146.664,151.125
56.2341	227.589	36.343	525.707	689.639	130.686,132.746,134.341,135.24,135.858,137.965,140.359,140.981,142.115,144.346,147.082
100	201.002	34.046	534.659	691.883	134.177,135.542,136.476,137.044,137.409,138.739,140.463,140.933,141.409,143.023,144.338
