Time(ms)	Membrane_Voltage(mV)
-5	-88.5385
-4.9	-88.5385
-4.8	-88.5385
-4.7	-88.5385
-4.6	-88.5385
-4.5	-88.5385
-4.4	-88.5385
-4.3	-88.5385
-4.2	-88.5385
-4.1	-88.5385
-4	-88.5385
-3.9	-88.5385
-3.8	-88.5385
-3.7	-88.5385
-3.6	-88.5385
-3.5	-88.5385
-3.4	-88.5385
-3.3	-88.5385
-3.2	-88.5385
-3.1	-88.5385
-3	-88.5385
-2.9	-88.5385
-2.8	-88.5385
-2.7	-88.5385
-2.6	-88.5385
-2.5	-88.5385
-2.4	-88.5385
-2.3	-88.5385
-2.2	-88.5385
-2.1	-88.5385
-2	-88.5385
-1.9	-88.5385
-1.8	-88.5385
-1.7	-88.5385
-1.6	-88.5385
-1.5	-88.5385
-1.4	-88.5385
-1.3	-88.5385
-1.2	-88.5385
-1.1	-88.5385
-1	-88.5385
-0.9	-88.5385
-0.8	-88.5385
-0.7	-88.5385
-0.6	-88.5385
-0.5	-88.5385
-0.4	-88.5385
-0.3	-88.5385
-0.2	-88.5385
-0.1	-88.5385
0	-88.5385
0.1	-80.6255
0.2	-72.7725
0.3	-64.8901
0.4	-56.9542
0.5	-48.9304
0.6	-48.644
0.7	-47.8752
0.8	-46.4474
0.9	-44.1347
1	-40.4872
1.1	-34.4133
1.2	-23.0214
1.3	-1.11209
1.4	21.7406
1.5	28.5626
1.6	30.2916
1.7	31.4554
1.8	32.4794
1.9	33.3987
2	34.2237
2.1	34.9634
2.2	35.6259
2.3	36.2188
2.4	36.749
2.5	37.2228
2.6	37.646
2.7	38.0236
2.8	38.3605
2.9	38.6607
3	38.9282
3.1	39.1663
3.2	39.378
3.3	39.5661
3.4	39.7331
3.5	39.8812
3.6	40.0124
3.7	40.1284
3.8	40.2308
3.9	40.3211
4	40.4005
4.1	40.4701
4.2	40.5311
4.3	40.5843
4.4	40.6305
4.5	40.6704
4.6	40.7047
4.7	40.7341
4.8	40.7589
4.9	40.7798
5	40.797
5.1	40.8111
5.2	40.8223
5.3	40.831
5.4	40.8374
5.5	40.8418
5.6	40.8443
5.7	40.8453
5.8	40.8449
5.9	40.8432
6	40.8404
6.1	40.8366
6.2	40.832
6.3	40.8267
6.4	40.8207
6.5	40.8142
6.6	40.8072
6.7	40.7998
6.8	40.792
6.9	40.784
7	40.7758
7.1	40.7674
7.2	40.7589
7.3	40.7503
7.4	40.7416
7.5	40.7329
7.6	40.7242
7.7	40.7156
7.8	40.707
7.9	40.6985
8	40.6901
8.1	40.6818
8.2	40.6736
8.3	40.6656
8.4	40.6577
8.5	40.65
8.6	40.6424
8.7	40.6351
8.8	40.6279
8.9	40.6209
9	40.6141
9.1	40.6075
9.2	40.6011
9.3	40.5949
9.4	40.589
9.5	40.5832
9.6	40.5776
9.7	40.5723
9.8	40.5672
9.9	40.5623
10	40.5575
10.1	40.553
10.2	40.5487
10.3	40.5447
10.4	40.5408
10.5	40.5371
10.6	40.5336
10.7	40.5303
10.8	40.5272
10.9	40.5243
11	40.5216
11.1	40.5191
11.2	40.5167
11.3	40.5146
11.4	40.5126
11.5	40.5108
11.6	40.5091
11.7	40.5076
11.8	40.5063
11.9	40.5052
12	40.5041
12.1	40.5033
12.2	40.5026
12.3	40.502
12.4	40.5016
12.5	40.5013
12.6	40.5012
12.7	40.5012
12.8	40.5013
12.9	40.5015
13	40.5018
13.1	40.5023
13.2	40.5029
13.3	40.5036
13.4	40.5044
13.5	40.5053
13.6	40.5063
13.7	40.5074
13.8	40.5085
13.9	40.5098
14	40.5112
14.1	40.5126
14.2	40.5141
14.3	40.5157
14.4	40.5174
14.5	40.5191
14.6	40.5209
14.7	40.5228
14.8	40.5248
14.9	40.5268
15	40.5288
15.1	40.5309
15.2	40.5331
15.3	40.5353
15.4	40.5375
15.5	40.5398
15.6	40.5422
15.7	40.5445
15.8	40.5469
15.9	40.5494
16	40.5519
16.1	40.5544
16.2	40.5569
16.3	40.5594
16.4	40.562
16.5	40.5646
16.6	40.5672
16.7	40.5699
16.8	40.5725
16.9	40.5752
17	40.5778
17.1	40.5805
17.2	40.5832
17.3	40.5859
17.4	40.5886
17.5	40.5913
17.6	40.594
17.7	40.5967
17.8	40.5994
17.9	40.602
18	40.6047
18.1	40.6074
18.2	40.6101
18.3	40.6127
18.4	40.6153
18.5	40.618
18.6	40.6206
18.7	40.6232
18.8	40.6258
18.9	40.6283
19	40.6308
19.1	40.6334
19.2	40.6359
19.3	40.6383
19.4	40.6408
19.5	40.6432
19.6	40.6456
19.7	40.648
19.8	40.6503
19.9	40.6526
20	40.6549
20.1	40.6572
20.2	40.6594
20.3	40.6616
20.4	40.6637
20.5	40.6658
20.6	40.6679
20.7	40.67
20.8	40.672
20.9	40.674
21	40.6759
21.1	40.6778
21.2	40.6796
21.3	40.6815
21.4	40.6832
21.5	40.685
21.6	40.6867
21.7	40.6883
21.8	40.6899
21.9	40.6915
22	40.693
22.1	40.6945
22.2	40.6959
22.3	40.6973
22.4	40.6986
22.5	40.6999
22.6	40.7012
22.7	40.7024
22.8	40.7035
22.9	40.7046
23	40.7057
23.1	40.7067
23.2	40.7077
23.3	40.7086
23.4	40.7094
23.5	40.7102
23.6	40.711
23.7	40.7117
23.8	40.7124
23.9	40.713
24	40.7135
24.1	40.7141
24.2	40.7145
24.3	40.7149
24.4	40.7153
24.5	40.7156
24.6	40.7158
24.7	40.716
24.8	40.7161
24.9	40.7162
25	40.7163
25.1	40.7163
25.2	40.7162
25.3	40.7161
25.4	40.7159
25.5	40.7157
25.6	40.7154
25.7	40.715
25.8	40.7146
25.9	40.7142
26	40.7137
26.1	40.7131
26.2	40.7125
26.3	40.7119
26.4	40.7112
26.5	40.7104
26.6	40.7096
26.7	40.7087
26.8	40.7078
26.9	40.7068
27	40.7057
27.1	40.7046
27.2	40.7035
27.3	40.7023
27.4	40.701
27.5	40.6997
27.6	40.6984
27.7	40.697
27.8	40.6955
27.9	40.694
28	40.6924
28.1	40.6907
28.2	40.6891
28.3	40.6873
28.4	40.6855
28.5	40.6837
28.6	40.6818
28.7	40.6798
28.8	40.6778
28.9	40.6757
29	40.6736
29.1	40.6714
29.2	40.6692
29.3	40.6669
29.4	40.6646
29.5	40.6622
29.6	40.6598
29.7	40.6573
29.8	40.6548
29.9	40.6522
30	40.6495
30.1	40.6468
30.2	40.6441
30.3	40.6413
30.4	40.6384
30.5	40.6355
30.6	40.6326
30.7	40.6296
30.8	40.6265
30.9	40.6234
31	40.6202
31.1	40.617
31.2	40.6137
31.3	40.6104
31.4	40.6071
31.5	40.6036
31.6	40.6002
31.7	40.5967
31.8	40.5931
31.9	40.5895
32	40.5858
32.1	40.5821
32.2	40.5783
32.3	40.5745
32.4	40.5706
32.5	40.5667
32.6	40.5627
32.7	40.5587
32.8	40.5547
32.9	40.5506
33	40.5464
33.1	40.5422
33.2	40.5379
33.3	40.5336
33.4	40.5293
33.5	40.5249
33.6	40.5204
33.7	40.5159
33.8	40.5114
33.9	40.5068
34	40.5021
34.1	40.4975
34.2	40.4927
34.3	40.4879
34.4	40.4831
34.5	40.4782
34.6	40.4733
34.7	40.4684
34.8	40.4634
34.9	40.4583
35	40.4532
35.1	40.448
35.2	40.4429
35.3	40.4376
35.4	40.4323
35.5	40.427
35.6	40.4216
35.7	40.4162
35.8	40.4108
35.9	40.4052
36	40.3997
36.1	40.3941
36.2	40.3885
36.3	40.3828
36.4	40.3771
36.5	40.3713
36.6	40.3655
36.7	40.3596
36.8	40.3537
36.9	40.3478
37	40.3418
37.1	40.3358
37.2	40.3297
37.3	40.3236
37.4	40.3175
37.5	40.3113
37.6	40.305
37.7	40.2988
37.8	40.2925
37.9	40.2861
38	40.2797
38.1	40.2733
38.2	40.2668
38.3	40.2603
38.4	40.2537
38.5	40.2471
38.6	40.2405
38.7	40.2338
38.8	40.2271
38.9	40.2203
39	40.2135
39.1	40.2067
39.2	40.1998
39.3	40.1929
39.4	40.1859
39.5	40.1789
39.6	40.1719
39.7	40.1648
39.8	40.1577
39.9	40.1505
40	40.1434
40.1	40.1361
40.2	40.1289
40.3	40.1216
40.4	40.1142
40.5	40.1069
40.6	40.0994
40.7	40.092
40.8	40.0845
40.9	40.077
41	40.0694
41.1	40.0618
41.2	40.0542
41.3	40.0465
41.4	40.0388
41.5	40.0311
41.6	40.0233
41.7	40.0155
41.8	40.0077
41.9	39.9998
42	39.9919
42.1	39.9839
42.2	39.9759
42.3	39.9679
42.4	39.9598
42.5	39.9518
42.6	39.9436
42.7	39.9355
42.8	39.9273
42.9	39.9191
43	39.9108
43.1	39.9025
43.2	39.8942
43.3	39.8858
43.4	39.8774
43.5	39.869
43.6	39.8605
43.7	39.852
43.8	39.8435
43.9	39.835
44	39.8264
44.1	39.8177
44.2	39.8091
44.3	39.8004
44.4	39.7917
44.5	39.7829
44.6	39.7742
44.7	39.7653
44.8	39.7565
44.9	39.7476
45	39.7387
45.1	39.7298
45.2	39.7208
45.3	39.7118
45.4	39.7028
45.5	39.6937
45.6	39.6846
45.7	39.6755
45.8	39.6663
45.9	39.6572
46	39.6479
46.1	39.6387
46.2	39.6294
46.3	39.6201
46.4	39.6108
46.5	39.6014
46.6	39.5921
46.7	39.5826
46.8	39.5732
46.9	39.5637
47	39.5542
47.1	39.5447
47.2	39.5351
47.3	39.5255
47.4	39.5159
47.5	39.5063
47.6	39.4966
47.7	39.4869
47.8	39.4772
47.9	39.4674
48	39.4576
48.1	39.4478
48.2	39.438
48.3	39.4281
48.4	39.4182
48.5	39.4083
48.6	39.3984
48.7	39.3884
48.8	39.3784
48.9	39.3684
49	39.3583
49.1	39.3483
49.2	39.3382
49.3	39.328
49.4	39.3179
49.5	39.3077
49.6	39.2975
49.7	39.2873
49.8	39.277
49.9	39.2667
50	39.2564
50.1	39.2461
50.2	39.2357
50.3	39.2254
50.4	39.215
50.5	39.2045
50.6	39.1941
50.7	39.1836
50.8	39.1731
