Time(ms)	Membrane_Voltage(mV)
-5	-88.5038
-4.9	-88.5038
-4.8	-88.5038
-4.7	-88.5038
-4.6	-88.5038
-4.5	-88.5038
-4.4	-88.5038
-4.3	-88.5038
-4.2	-88.5038
-4.1	-88.5038
-4	-88.5038
-3.9	-88.5038
-3.8	-88.5038
-3.7	-88.5038
-3.6	-88.5038
-3.5	-88.5038
-3.4	-88.5038
-3.3	-88.5038
-3.2	-88.5038
-3.1	-88.5038
-3	-88.5038
-2.9	-88.5038
-2.8	-88.5038
-2.7	-88.5038
-2.6	-88.5038
-2.5	-88.5038
-2.4	-88.5038
-2.3	-88.5038
-2.2	-88.5038
-2.1	-88.5038
-2	-88.5038
-1.9	-88.5038
-1.8	-88.5038
-1.7	-88.5038
-1.6	-88.5038
-1.5	-88.5038
-1.4	-88.5038
-1.3	-88.5038
-1.2	-88.5038
-1.1	-88.5038
-1	-88.5038
-0.9	-88.5038
-0.8	-88.5038
-0.7	-88.5038
-0.6	-88.5038
-0.5	-88.5038
-0.4	-88.5038
-0.3	-88.5038
-0.2	-88.5038
-0.1	-88.5038
0	-88.5038
0.1	-80.5907
0.2	-72.7377
0.3	-64.8554
0.4	-56.92
0.5	-48.8968
0.6	-48.6109
0.7	-47.8427
0.8	-46.4159
0.9	-44.1056
1	-40.4648
1.1	-34.4121
1.2	-23.0984
1.3	-1.42909
1.4	21.3263
1.5	28.2854
1.6	30.0599
1.7	31.2524
1.8	32.3092
1.9	33.2653
2	34.1299
2.1	34.9107
2.2	35.6152
2.3	36.2506
2.4	36.8233
2.5	37.3395
2.6	37.8048
2.7	38.2243
2.8	38.6026
2.9	38.9439
3	39.2518
3.1	39.5297
3.2	39.7806
3.3	40.0073
3.4	40.212
3.5	40.3969
3.6	40.5639
3.7	40.7148
3.8	40.851
3.9	40.974
4	41.0849
4.1	41.1849
4.2	41.2749
4.3	41.3559
4.4	41.4286
4.5	41.4938
4.6	41.5522
4.7	41.6043
4.8	41.6507
4.9	41.6919
5	41.7283
5.1	41.7604
5.2	41.7884
5.3	41.8128
5.4	41.8339
5.5	41.8518
5.6	41.867
5.7	41.8796
5.8	41.8898
5.9	41.8978
6	41.9039
6.1	41.9081
6.2	41.9107
6.3	41.9117
6.4	41.9113
6.5	41.9097
6.6	41.9068
6.7	41.9029
6.8	41.8981
6.9	41.8923
7	41.8857
7.1	41.8784
7.2	41.8704
7.3	41.8617
7.4	41.8526
7.5	41.8429
7.6	41.8328
7.7	41.8223
7.8	41.8114
7.9	41.8002
8	41.7887
8.1	41.777
8.2	41.765
8.3	41.7529
8.4	41.7405
8.5	41.7281
8.6	41.7155
8.7	41.7029
8.8	41.6902
8.9	41.6774
9	41.6646
9.1	41.6518
9.2	41.6389
9.3	41.6261
9.4	41.6133
9.5	41.6005
9.6	41.5878
9.7	41.5751
9.8	41.5625
9.9	41.55
10	41.5375
10.1	41.5251
10.2	41.5129
10.3	41.5007
10.4	41.4886
10.5	41.4766
10.6	41.4647
10.7	41.453
10.8	41.4413
10.9	41.4298
11	41.4184
11.1	41.4071
11.2	41.396
11.3	41.385
11.4	41.3741
11.5	41.3633
11.6	41.3527
11.7	41.3422
11.8	41.3318
11.9	41.3215
12	41.3114
12.1	41.3014
12.2	41.2916
12.3	41.2818
12.4	41.2722
12.5	41.2627
12.6	41.2534
12.7	41.2441
12.8	41.235
12.9	41.226
13	41.2171
13.1	41.2084
13.2	41.1997
13.3	41.1912
13.4	41.1828
13.5	41.1744
13.6	41.1662
13.7	41.1581
13.8	41.1501
13.9	41.1422
14	41.1344
14.1	41.1266
14.2	41.119
14.3	41.1115
14.4	41.104
14.5	41.0966
14.6	41.0893
14.7	41.0821
14.8	41.075
14.9	41.0679
15	41.0609
15.1	41.054
15.2	41.0471
15.3	41.0403
15.4	41.0336
15.5	41.0269
15.6	41.0203
15.7	41.0138
15.8	41.0073
15.9	41.0008
16	40.9944
16.1	40.9881
16.2	40.9817
16.3	40.9755
16.4	40.9692
16.5	40.963
16.6	40.9568
16.7	40.9507
16.8	40.9446
16.9	40.9385
17	40.9325
17.1	40.9265
17.2	40.9204
17.3	40.9145
17.4	40.9085
17.5	40.9025
17.6	40.8966
17.7	40.8907
17.8	40.8848
17.9	40.8789
18	40.873
18.1	40.8671
18.2	40.8612
18.3	40.8553
18.4	40.8494
18.5	40.8435
18.6	40.8376
18.7	40.8317
18.8	40.8258
18.9	40.8199
19	40.814
19.1	40.8081
19.2	40.8021
19.3	40.7962
19.4	40.7902
19.5	40.7842
19.6	40.7782
19.7	40.7722
19.8	40.7661
19.9	40.7601
20	40.754
20.1	40.7479
20.2	40.7418
20.3	40.7356
20.4	40.7294
20.5	40.7232
20.6	40.717
20.7	40.7107
20.8	40.7044
20.9	40.6981
21	40.6917
21.1	40.6853
21.2	40.6789
21.3	40.6724
21.4	40.6659
21.5	40.6594
21.6	40.6528
21.7	40.6462
21.8	40.6396
21.9	40.6329
22	40.6262
22.1	40.6194
22.2	40.6126
22.3	40.6058
22.4	40.5989
22.5	40.5919
22.6	40.585
22.7	40.578
22.8	40.5709
22.9	40.5638
23	40.5566
23.1	40.5494
23.2	40.5422
23.3	40.5349
23.4	40.5275
23.5	40.5201
23.6	40.5127
23.7	40.5052
23.8	40.4977
23.9	40.4901
24	40.4825
24.1	40.4748
24.2	40.467
24.3	40.4593
24.4	40.4514
24.5	40.4435
24.6	40.4356
24.7	40.4276
24.8	40.4196
24.9	40.4115
25	40.4033
25.1	40.3951
25.2	40.3869
25.3	40.3785
25.4	40.3702
