Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.068993   0.0689978   0.0690017   0.0690035   0.0690054   0.0690094   0.069013   0.0690135   0.0690142   0.0690154   0.0690163
0.00177828	0.0689746   0.0689831   0.0689902   0.0689933   0.0689968   0.0690039   0.06901   0.0690108   0.069012   0.0690142   0.0690159
0.00316228	0.0689419   0.0689572   0.0689698   0.0689753   0.0689813   0.0689941   0.0690045   0.0690061   0.0690082   0.0690122   0.0690153
0.00562341	0.0688839   0.0689111   0.0689334   0.068943   0.0689539   0.0689767   0.0689945   0.0689976   0.0690016   0.0690087   0.0690141
0.01	0.0687808   0.0688292   0.0688686   0.0688852   0.0689052   0.0689457   0.0689767   0.0689824   0.0689894   0.0690026   0.0690119
0.0177828	0.0685982   0.0686841   0.0687531   0.0687824   0.0688188   0.0688906   0.068945   0.0689551   0.0689677   0.0689918   0.0690082
0.0316228	0.0682759   0.0684275   0.0685486   0.0686002   0.0686648   0.068793   0.0688889   0.0689073   0.0689305   0.0689718   0.0690017
0.0562341	0.06771   0.0679762   0.0681881   0.0682801   0.0683927   0.0686201   0.068789   0.0688225   0.0688628   0.0689363   0.06899
0.1	0.0667269   0.0671894   0.0675565   0.0677231   0.0679148   0.0683146   0.0686125   0.0686724   0.068743   0.0688734   0.068969
0.177828	0.0650479   0.0658364   0.0664619   0.0667652   0.0670821   0.0677782   0.0683003   0.068407   0.068531   0.0687621   0.068931
0.316228	0.0622607   0.0635655   0.0645938   0.0651037   0.0656515   0.0668448   0.0677515   0.0679446   0.0681563   0.068566   0.0688474
0.562341	0.0578389   0.0598449   0.0614999   0.0623999   0.0632521   0.0652461   0.0667965   0.0671313   0.0674857   0.0682128   0.0686381
1	0.0512735   0.0540546   0.0567342   0.0580686   0.0593746   0.0625785   0.0651643   0.0657237   0.0663166   0.067493   0.0682067
1.77828	0.0423187   0.0456963   0.0495546   0.0513605   0.0534073   0.0583057   0.0624926   0.0634077   0.064346   0.0662151   0.0674665
3.16228	0.0312713   0.0349356   0.0395467   0.0424864   0.0449519   0.051849   0.0581616   0.0594995   0.0611177   0.0639579   0.0661362
5.62341	0.0179802   0.0221478   0.0272166   0.0309927   0.0339808   0.0427782   0.0515218   0.0535024   0.0560255   0.0598562   0.062855
10	0.00232129   0.00631061   0.0130198   0.0170813   0.0206768   0.0309725   0.042547   0.044599   0.0480631   0.0529716   0.0579628
17.7828	-0.0175505   -0.0124287   -0.00346596   0.00106621   0.004427   0.0166461   0.0305477   0.0333171   0.0371189   0.0438636   0.0504847
31.6228	-1.79769e+308   -0.055436   -0.0229577   -0.01708   -0.0132193   0.000411228   0.0162164   0.0192548   0.0233606   0.0317733   0.0387815
56.2341	-1.79769e+308   -1.79769e+308   -0.0522008   -0.0358913   -0.0307591   -0.0164081   0.00112938   0.00470168   0.00922363   0.0198296   0.0292684
100	-1.79769e+308   -1.79769e+308   -0.0856249   -0.0572521   -0.0463571   -0.0312411   -0.0131296   -0.00951127   -0.00425887   0.00778776   0.0378142
