Time(ms)	Membrane_Voltage(mV)
-5	-88.505
-4.9	-88.505
-4.8	-88.505
-4.7	-88.505
-4.6	-88.505
-4.5	-88.505
-4.4	-88.505
-4.3	-88.505
-4.2	-88.505
-4.1	-88.505
-4	-88.505
-3.9	-88.505
-3.8	-88.505
-3.7	-88.505
-3.6	-88.505
-3.5	-88.505
-3.4	-88.505
-3.3	-88.505
-3.2	-88.505
-3.1	-88.505
-3	-88.505
-2.9	-88.505
-2.8	-88.505
-2.7	-88.505
-2.6	-88.505
-2.5	-88.505
-2.4	-88.505
-2.3	-88.505
-2.2	-88.505
-2.1	-88.505
-2	-88.505
-1.9	-88.505
-1.8	-88.505
-1.7	-88.505
-1.6	-88.505
-1.5	-88.505
-1.4	-88.505
-1.3	-88.505
-1.2	-88.505
-1.1	-88.505
-1	-88.505
-0.9	-88.505
-0.8	-88.505
-0.7	-88.505
-0.6	-88.505
-0.5	-88.505
-0.4	-88.505
-0.3	-88.505
-0.2	-88.505
-0.1	-88.505
0	-88.505
0.1	-80.5919
0.2	-72.7389
0.3	-64.8566
0.4	-56.9211
0.5	-48.8978
0.6	-48.6119
0.7	-47.8434
0.8	-46.416
0.9	-44.1048
1	-40.4619
1.1	-34.4044
1.2	-23.0774
1.3	-1.38012
1.4	21.3695
1.5	28.3077
1.6	30.0783
1.7	31.2697
1.8	32.3254
1.9	33.2803
2	34.1436
2.1	34.9232
2.2	35.6265
2.3	36.2606
2.4	36.8322
2.5	37.3474
2.6	37.8117
2.7	38.2303
2.8	38.6078
2.9	38.9483
3	39.2555
3.1	39.5328
3.2	39.7832
3.3	40.0094
3.4	40.2137
3.5	40.3984
3.6	40.5652
3.7	40.7159
3.8	40.8521
3.9	40.975
4	41.086
4.1	41.1861
4.2	41.2764
4.3	41.3576
4.4	41.4306
4.5	41.4962
4.6	41.555
4.7	41.6076
4.8	41.6546
4.9	41.6963
5	41.7334
5.1	41.7661
5.2	41.7948
5.3	41.8199
5.4	41.8417
5.5	41.8605
5.6	41.8765
5.7	41.8899
5.8	41.901
5.9	41.9099
6	41.9169
6.1	41.922
6.2	41.9256
6.3	41.9276
6.4	41.9282
6.5	41.9276
6.6	41.9258
6.7	41.9229
6.8	41.9191
6.9	41.9144
7	41.9089
7.1	41.9026
7.2	41.8957
7.3	41.8882
7.4	41.8801
7.5	41.8716
7.6	41.8626
7.7	41.8532
7.8	41.8435
7.9	41.8334
8	41.823
8.1	41.8124
8.2	41.8016
8.3	41.7906
8.4	41.7795
8.5	41.7682
8.6	41.7568
8.7	41.7453
8.8	41.7337
8.9	41.7221
9	41.7104
9.1	41.6987
9.2	41.687
9.3	41.6753
9.4	41.6637
9.5	41.652
9.6	41.6404
9.7	41.6289
9.8	41.6174
9.9	41.606
10	41.5947
10.1	41.5834
10.2	41.5722
10.3	41.5611
10.4	41.5501
10.5	41.5393
10.6	41.5285
10.7	41.5178
10.8	41.5072
10.9	41.4968
11	41.4865
11.1	41.4763
11.2	41.4662
11.3	41.4562
11.4	41.4464
11.5	41.4367
11.6	41.4271
11.7	41.4176
11.8	41.4083
11.9	41.3991
12	41.39
12.1	41.381
12.2	41.3722
12.3	41.3635
12.4	41.3549
12.5	41.3464
12.6	41.338
12.7	41.3298
12.8	41.3216
12.9	41.3136
13	41.3057
13.1	41.2979
13.2	41.2903
13.3	41.2827
13.4	41.2752
13.5	41.2679
13.6	41.2606
13.7	41.2534
13.8	41.2464
13.9	41.2394
14	41.2325
14.1	41.2257
14.2	41.219
14.3	41.2124
14.4	41.2059
14.5	41.1994
14.6	41.193
14.7	41.1867
14.8	41.1805
14.9	41.1743
15	41.1683
15.1	41.1622
15.2	41.1563
15.3	41.1504
15.4	41.1445
15.5	41.1387
15.6	41.133
15.7	41.1273
15.8	41.1217
15.9	41.1161
16	41.1106
16.1	41.1051
16.2	41.0997
16.3	41.0942
16.4	41.0889
16.5	41.0835
16.6	41.0782
16.7	41.0729
16.8	41.0677
16.9	41.0624
17	41.0572
17.1	41.0521
17.2	41.0469
17.3	41.0418
17.4	41.0366
17.5	41.0315
17.6	41.0264
17.7	41.0213
17.8	41.0162
17.9	41.0112
18	41.0061
18.1	41.001
18.2	40.996
18.3	40.9909
18.4	40.9858
18.5	40.9808
18.6	40.9757
