Time(ms)	Membrane_Voltage(mV)
-5	-88.5364
-4.9	-88.5364
-4.8	-88.5364
-4.7	-88.5364
-4.6	-88.5364
-4.5	-88.5364
-4.4	-88.5364
-4.3	-88.5364
-4.2	-88.5364
-4.1	-88.5364
-4	-88.5364
-3.9	-88.5364
-3.8	-88.5364
-3.7	-88.5364
-3.6	-88.5364
-3.5	-88.5364
-3.4	-88.5364
-3.3	-88.5364
-3.2	-88.5365
-3.1	-88.5365
-3	-88.5365
-2.9	-88.5365
-2.8	-88.5365
-2.7	-88.5365
-2.6	-88.5365
-2.5	-88.5365
-2.4	-88.5365
-2.3	-88.5365
-2.2	-88.5365
-2.1	-88.5365
-2	-88.5365
-1.9	-88.5365
-1.8	-88.5365
-1.7	-88.5365
-1.6	-88.5365
-1.5	-88.5365
-1.4	-88.5365
-1.3	-88.5365
-1.2	-88.5365
-1.1	-88.5365
-1	-88.5365
-0.9	-88.5365
-0.8	-88.5365
-0.7	-88.5365
-0.6	-88.5365
-0.5	-88.5365
-0.4	-88.5365
-0.3	-88.5365
-0.2	-88.5365
-0.1	-88.5365
0	-88.5365
0.1	-80.6234
0.2	-72.7703
0.3	-64.8878
0.4	-56.9517
0.5	-48.9276
0.6	-48.6401
0.7	-47.8684
0.8	-46.4345
0.9	-44.1102
1	-40.4396
1.1	-34.3137
1.2	-22.787
1.3	-0.635955
1.4	22.077
1.5	28.7048
1.6	30.4157
1.7	31.5895
1.8	32.6272
1.9	33.5616
2	34.4028
2.1	35.1593
2.2	35.8392
2.3	36.4499
2.4	36.9983
2.5	37.4907
2.6	37.9327
2.7	38.3295
2.8	38.6857
2.9	39.0055
3	39.2927
3.1	39.5507
3.2	39.7825
3.3	39.9908
3.4	40.1781
3.5	40.3465
3.6	40.498
3.7	40.6343
3.8	40.757
3.9	40.8674
4	40.9668
4.1	41.0563
4.2	41.1369
4.3	41.2095
4.4	41.2748
4.5	41.3336
4.6	41.3865
4.7	41.4341
4.8	41.4768
4.9	41.5152
5	41.5497
5.1	41.5806
5.2	41.6082
5.3	41.633
5.4	41.6551
5.5	41.6748
5.6	41.6923
5.7	41.7078
5.8	41.7216
5.9	41.7337
6	41.7444
6.1	41.7537
6.2	41.7619
6.3	41.7689
6.4	41.775
6.5	41.7802
6.6	41.7846
6.7	41.7882
6.8	41.7912
6.9	41.7936
7	41.7955
7.1	41.797
7.2	41.798
7.3	41.7986
7.4	41.7989
7.5	41.7989
7.6	41.7986
7.7	41.7982
7.8	41.7975
7.9	41.7966
8	41.7956
8.1	41.7945
8.2	41.7933
8.3	41.792
8.4	41.7907
8.5	41.7893
8.6	41.7878
8.7	41.7863
8.8	41.7849
8.9	41.7834
9	41.7819
9.1	41.7805
9.2	41.7791
9.3	41.7777
9.4	41.7764
9.5	41.7751
9.6	41.7738
9.7	41.7727
9.8	41.7715
9.9	41.7705
10	41.7695
10.1	41.7686
10.2	41.7678
10.3	41.767
10.4	41.7663
10.5	41.7657
10.6	41.7652
10.7	41.7647
10.8	41.7644
10.9	41.7641
11	41.7639
11.1	41.7638
11.2	41.7637
11.3	41.7638
11.4	41.7639
11.5	41.7641
11.6	41.7644
11.7	41.7648
11.8	41.7652
11.9	41.7657
12	41.7663
12.1	41.767
12.2	41.7677
12.3	41.7685
12.4	41.7694
12.5	41.7704
12.6	41.7714
12.7	41.7724
12.8	41.7736
12.9	41.7748
13	41.776
13.1	41.7774
13.2	41.7787
13.3	41.7802
13.4	41.7816
13.5	41.7832
13.6	41.7847
13.7	41.7864
13.8	41.788
13.9	41.7897
14	41.7915
14.1	41.7933
14.2	41.7951
14.3	41.797
14.4	41.7989
14.5	41.8008
14.6	41.8027
14.7	41.8047
14.8	41.8067
14.9	41.8087
15	41.8108
15.1	41.8129
15.2	41.815
15.3	41.8171
15.4	41.8192
15.5	41.8213
15.6	41.8235
15.7	41.8257
15.8	41.8278
15.9	41.83
16	41.8322
16.1	41.8344
16.2	41.8366
16.3	41.8388
16.4	41.841
16.5	41.8432
16.6	41.8453
16.7	41.8475
16.8	41.8497
16.9	41.8519
