Time(ms)	Membrane_Voltage(mV)
-5	-88.5201
-4.9	-88.5201
-4.8	-88.5201
-4.7	-88.5201
-4.6	-88.5201
-4.5	-88.5201
-4.4	-88.5201
-4.3	-88.5201
-4.2	-88.5201
-4.1	-88.5201
-4	-88.5201
-3.9	-88.5201
-3.8	-88.5201
-3.7	-88.5201
-3.6	-88.5201
-3.5	-88.5201
-3.4	-88.5201
-3.3	-88.5201
-3.2	-88.5201
-3.1	-88.5201
-3	-88.5201
-2.9	-88.5201
-2.8	-88.5201
-2.7	-88.5201
-2.6	-88.5201
-2.5	-88.5201
-2.4	-88.5201
-2.3	-88.5201
-2.2	-88.5201
-2.1	-88.5201
-2	-88.5201
-1.9	-88.5201
-1.8	-88.5201
-1.7	-88.5201
-1.6	-88.5201
-1.5	-88.5201
-1.4	-88.5201
-1.3	-88.5201
-1.2	-88.5201
-1.1	-88.5201
-1	-88.5201
-0.9	-88.5201
-0.8	-88.5201
-0.7	-88.5201
-0.6	-88.5201
-0.5	-88.5201
-0.4	-88.5201
-0.3	-88.5201
-0.2	-88.5201
-0.1	-88.5201
0	-88.5201
0.1	-80.607
0.2	-72.7539
0.3	-64.8715
0.4	-56.9356
0.5	-48.9118
0.6	-48.6249
0.7	-47.8544
0.8	-46.4229
0.9	-44.1037
1	-40.4442
1.1	-34.3466
1.2	-22.9051
1.3	-0.956126
1.4	21.7605
1.5	28.5204
1.6	30.2571
1.7	31.4386
1.8	32.4844
1.9	33.4281
2	34.2793
2.1	35.0464
2.2	35.7371
2.3	36.3587
2.4	36.9179
2.5	37.421
2.6	37.8736
2.7	38.2808
2.8	38.6473
2.9	38.9772
3	39.2743
3.1	39.542
3.2	39.7833
3.3	40.0008
3.4	40.1971
3.5	40.3742
3.6	40.5341
3.7	40.6785
3.8	40.8089
3.9	40.9266
4	41.033
4.1	41.1291
4.2	41.2158
4.3	41.2941
4.4	41.3648
4.5	41.4285
4.6	41.4859
4.7	41.5376
4.8	41.5841
4.9	41.6259
5	41.6634
5.1	41.697
5.2	41.727
5.3	41.7538
5.4	41.7776
5.5	41.7987
5.6	41.8173
5.7	41.8337
5.8	41.8481
5.9	41.8606
6	41.8714
6.1	41.8806
6.2	41.8884
6.3	41.8949
6.4	41.9003
6.5	41.9046
6.6	41.9079
6.7	41.9103
6.8	41.9119
6.9	41.9128
7	41.913
7.1	41.9127
7.2	41.9118
7.3	41.9104
7.4	41.9085
7.5	41.9063
7.6	41.9037
7.7	41.9008
7.8	41.8977
7.9	41.8942
8	41.8906
8.1	41.8868
8.2	41.8828
8.3	41.8787
8.4	41.8745
8.5	41.8701
8.6	41.8657
8.7	41.8613
8.8	41.8568
8.9	41.8522
9	41.8476
9.1	41.8431
9.2	41.8385
9.3	41.8339
9.4	41.8294
9.5	41.8249
9.6	41.8204
9.7	41.816
9.8	41.8117
9.9	41.8074
10	41.8031
10.1	41.7989
10.2	41.7948
10.3	41.7908
10.4	41.7869
10.5	41.783
10.6	41.7792
10.7	41.7755
10.8	41.7719
10.9	41.7684
11	41.765
11.1	41.7616
11.2	41.7584
11.3	41.7552
11.4	41.7521
11.5	41.7492
11.6	41.7463
11.7	41.7435
11.8	41.7408
11.9	41.7382
12	41.7357
12.1	41.7333
12.2	41.7309
12.3	41.7287
12.4	41.7265
12.5	41.7245
12.6	41.7225
12.7	41.7206
12.8	41.7187
12.9	41.717
13	41.7153
13.1	41.7137
13.2	41.7122
13.3	41.7108
13.4	41.7094
13.5	41.7081
13.6	41.7068
13.7	41.7056
13.8	41.7045
13.9	41.7035
14	41.7025
14.1	41.7015
14.2	41.7007
14.3	41.6998
14.4	41.699
14.5	41.6983
14.6	41.6976
14.7	41.697
14.8	41.6964
14.9	41.6958
15	41.6953
15.1	41.6949
15.2	41.6944
15.3	41.694
15.4	41.6936
15.5	41.6933
15.6	41.693
15.7	41.6927
15.8	41.6924
15.9	41.6922
16	41.692
16.1	41.6917
16.2	41.6916
16.3	41.6914
16.4	41.6912
16.5	41.6911
16.6	41.6909
16.7	41.6908
16.8	41.6907
16.9	41.6906
17	41.6905
17.1	41.6904
17.2	41.6903
17.3	41.6901
17.4	41.69
17.5	41.6899
17.6	41.6898
17.7	41.6897
17.8	41.6895
17.9	41.6894
18	41.6892
18.1	41.6891
18.2	41.6889
18.3	41.6887
18.4	41.6885
18.5	41.6883
18.6	41.688
18.7	41.6877
18.8	41.6875
18.9	41.6872
19	41.6868
19.1	41.6865
19.2	41.6861
19.3	41.6857
19.4	41.6853
19.5	41.6848
19.6	41.6843
19.7	41.6838
19.8	41.6833
19.9	41.6827
20	41.6821
20.1	41.6815
20.2	41.6808
20.3	41.6801
20.4	41.6793
20.5	41.6786
20.6	41.6778
20.7	41.6769
20.8	41.676
20.9	41.6751
21	41.6741
21.1	41.6731
21.2	41.6721
21.3	41.671
21.4	41.6698
21.5	41.6687
21.6	41.6675
21.7	41.6662
21.8	41.6649
21.9	41.6636
22	41.6622
22.1	41.6607
22.2	41.6592
22.3	41.6577
22.4	41.6561
22.5	41.6545
22.6	41.6529
22.7	41.6511
22.8	41.6494
22.9	41.6476
23	41.6457
23.1	41.6438
23.2	41.6418
23.3	41.6398
23.4	41.6378
23.5	41.6357
23.6	41.6335
23.7	41.6313
23.8	41.629
23.9	41.6267
24	41.6243
24.1	41.6219
24.2	41.6195
24.3	41.6169
24.4	41.6144
24.5	41.6117
24.6	41.6091
24.7	41.6063
24.8	41.6036
24.9	41.6007
25	41.5978
25.1	41.5949
25.2	41.5919
25.3	41.5888
25.4	41.5857
25.5	41.5826
25.6	41.5794
25.7	41.5761
25.8	41.5728
25.9	41.5694
26	41.566
26.1	41.5625
26.2	41.559
26.3	41.5554
26.4	41.5518
26.5	41.5481
26.6	41.5443
26.7	41.5405
26.8	41.5367
26.9	41.5328
27	41.5288
27.1	41.5248
27.2	41.5207
27.3	41.5166
27.4	41.5124
27.5	41.5082
27.6	41.5039
27.7	41.4995
27.8	41.4951
27.9	41.4907
28	41.4862
28.1	41.4816
28.2	41.477
28.3	41.4724
28.4	41.4676
28.5	41.4629
28.6	41.458
28.7	41.4532
28.8	41.4482
28.9	41.4433
29	41.4382
29.1	41.4331
29.2	41.428
29.3	41.4228
29.4	41.4176
29.5	41.4123
29.6	41.4069
29.7	41.4015
29.8	41.3961
29.9	41.3905
30	41.385
30.1	41.3794
30.2	41.3737
30.3	41.368
30.4	41.3622
30.5	41.3564
30.6	41.3506
30.7	41.3446
30.8	41.3387
30.9	41.3327
31	41.3266
31.1	41.3205
31.2	41.3143
31.3	41.3081
31.4	41.3018
31.5	41.2955
31.6	41.2891
31.7	41.2827
31.8	41.2762
31.9	41.2697
32	41.2632
32.1	41.2565
32.2	41.2499
32.3	41.2432
32.4	41.2364
32.5	41.2296
32.6	41.2227
32.7	41.2158
32.8	41.2089
32.9	41.2019
33	41.1948
33.1	41.1877
33.2	41.1806
33.3	41.1734
33.4	41.1662
33.5	41.1589
33.6	41.1516
33.7	41.1442
33.8	41.1368
33.9	41.1293
34	41.1218
34.1	41.1142
34.2	41.1066
34.3	41.099
34.4	41.0913
34.5	41.0835
34.6	41.0758
34.7	41.0679
34.8	41.06
34.9	41.0521
35	41.0442
35.1	41.0362
35.2	41.0281
35.3	41.02
35.4	41.0119
35.5	41.0037
35.6	40.9955
35.7	40.9872
35.8	40.9789
35.9	40.9705
36	40.9621
36.1	40.9537
36.2	40.9452
36.3	40.9367
36.4	40.9281
36.5	40.9195
36.6	40.9109
36.7	40.9022
36.8	40.8935
36.9	40.8847
37	40.8759
37.1	40.867
37.2	40.8581
37.3	40.8492
37.4	40.8402
37.5	40.8312
37.6	40.8221
37.7	40.813
37.8	40.8039
37.9	40.7947
38	40.7855
38.1	40.7763
38.2	40.767
38.3	40.7576
38.4	40.7483
38.5	40.7389
38.6	40.7294
38.7	40.7199
38.8	40.7104
38.9	40.7009
39	40.6913
39.1	40.6816
39.2	40.672
39.3	40.6623
39.4	40.6525
39.5	40.6427
39.6	40.6329
39.7	40.623
39.8	40.6132
39.9	40.6032
40	40.5933
40.1	40.5833
40.2	40.5732
40.3	40.5631
40.4	40.553
40.5	40.5429
40.6	40.5327
40.7	40.5225
40.8	40.5123
40.9	40.502
41	40.4917
41.1	40.4813
41.2	40.4709
41.3	40.4605
41.4	40.45
41.5	40.4396
41.6	40.429
41.7	40.4185
41.8	40.4079
41.9	40.3973
42	40.3866
42.1	40.3759
42.2	40.3652
42.3	40.3545
42.4	40.3437
42.5	40.3328
42.6	40.322
42.7	40.3111
42.8	40.3002
42.9	40.2893
43	40.2783
43.1	40.2673
43.2	40.2562
43.3	40.2452
43.4	40.2341
43.5	40.2229
43.6	40.2118
43.7	40.2006
43.8	40.1893
43.9	40.1781
44	40.1668
44.1	40.1555
44.2	40.1441
44.3	40.1328
44.4	40.1213
44.5	40.1099
44.6	40.0984
44.7	40.087
44.8	40.0754
44.9	40.0639
45	40.0523
45.1	40.0407
45.2	40.0291
45.3	40.0174
45.4	40.0057
45.5	39.994
45.6	39.9822
45.7	39.9704
45.8	39.9586
45.9	39.9468
46	39.9349
46.1	39.923
46.2	39.9111
46.3	39.8992
46.4	39.8872
46.5	39.8752
46.6	39.8632
46.7	39.8511
46.8	39.8391
46.9	39.827
47	39.8148
47.1	39.8027
47.2	39.7905
47.3	39.7783
47.4	39.7661
47.5	39.7538
47.6	39.7415
47.7	39.7292
47.8	39.7169
47.9	39.7045
48	39.6921
48.1	39.6797
48.2	39.6673
48.3	39.6548
48.4	39.6424
48.5	39.6298
48.6	39.6173
48.7	39.6048
48.8	39.5922
48.9	39.5796
49	39.5669
49.1	39.5543
49.2	39.5416
49.3	39.5289
49.4	39.5162
49.5	39.5035
49.6	39.4907
49.7	39.4779
49.8	39.4651
49.9	39.4523
50	39.4394
50.1	39.4265
50.2	39.4136
50.3	39.4007
50.4	39.3877
50.5	39.3748
50.6	39.3618
50.7	39.3488
50.8	39.3357
50.9	39.3227
51	39.3096
51.1	39.2965
51.2	39.2834
51.3	39.2703
51.4	39.2571
51.5	39.2439
51.6	39.2307
51.7	39.2175
51.8	39.2043
51.9	39.191
52	39.1777
52.1	39.1644
52.2	39.1511
52.3	39.1377
52.4	39.1244
52.5	39.111
52.6	39.0976
52.7	39.0842
52.8	39.0707
52.9	39.0573
53	39.0438
53.1	39.0303
53.2	39.0168
53.3	39.0032
53.4	38.9897
53.5	38.9761
53.6	38.9625
53.7	38.9489
53.8	38.9353
53.9	38.9217
54	38.908
54.1	38.8943
54.2	38.8806
54.3	38.8669
54.4	38.8532
54.5	38.8394
54.6	38.8256
54.7	38.8119
54.8	38.7981
54.9	38.7842
55	38.7704
55.1	38.7565
55.2	38.7427
55.3	38.7288
55.4	38.7149
55.5	38.701
55.6	38.687
55.7	38.6731
55.8	38.6591
55.9	38.6451
56	38.6311
56.1	38.6171
56.2	38.6031
56.3	38.589
56.4	38.575
56.5	38.5609
56.6	38.5468
56.7	38.5327
56.8	38.5186
56.9	38.5044
57	38.4903
57.1	38.4761
57.2	38.4619
57.3	38.4477
57.4	38.4335
57.5	38.4193
57.6	38.4051
57.7	38.3908
57.8	38.3766
57.9	38.3623
58	38.348
58.1	38.3337
58.2	38.3194
58.3	38.305
58.4	38.2907
58.5	38.2763
58.6	38.2619
58.7	38.2475
58.8	38.2331
58.9	38.2187
59	38.2043
59.1	38.1899
59.2	38.1754
59.3	38.161
59.4	38.1465
59.5	38.132
59.6	38.1175
59.7	38.103
59.8	38.0884
59.9	38.0739
60	38.0594
60.1	38.0448
60.2	38.0302
60.3	38.0157
60.4	38.0011
60.5	37.9865
60.6	37.9718
60.7	37.9572
60.8	37.9426
60.9	37.9279
61	37.9133
61.1	37.8986
61.2	37.8839
61.3	37.8692
61.4	37.8545
61.5	37.8398
61.6	37.8251
61.7	37.8103
61.8	37.7956
61.9	37.7808
62	37.7661
62.1	37.7513
62.2	37.7365
62.3	37.7217
62.4	37.7069
62.5	37.6921
62.6	37.6773
62.7	37.6625
62.8	37.6476
62.9	37.6328
63	37.6179
63.1	37.6031
63.2	37.5882
63.3	37.5733
63.4	37.5584
63.5	37.5435
63.6	37.5286
63.7	37.5137
63.8	37.4988
63.9	37.4838
64	37.4689
64.1	37.4539
64.2	37.439
64.3	37.424
64.4	37.409
64.5	37.3941
64.6	37.3791
64.7	37.3641
64.8	37.3491
64.9	37.3341
65	37.319
65.1	37.304
65.2	37.289
65.3	37.2739
65.4	37.2589
65.5	37.2439
65.6	37.2288
65.7	37.2137
65.8	37.1987
65.9	37.1836
66	37.1685
66.1	37.1534
66.2	37.1383
66.3	37.1232
66.4	37.1081
66.5	37.093
66.6	37.0779
66.7	37.0627
66.8	37.0476
66.9	37.0325
67	37.0173
67.1	37.0022
67.2	36.987
67.3	36.9719
67.4	36.9567
67.5	36.9415
67.6	36.9264
67.7	36.9112
67.8	36.896
67.9	36.8808
68	36.8656
68.1	36.8504
68.2	36.8352
68.3	36.82
68.4	36.8048
68.5	36.7896
68.6	36.7744
68.7	36.7592
68.8	36.7439
68.9	36.7287
69	36.7135
69.1	36.6982
69.2	36.683
69.3	36.6677
69.4	36.6525
69.5	36.6372
69.6	36.622
69.7	36.6067
69.8	36.5915
69.9	36.5762
70	36.5609
70.1	36.5457
70.2	36.5304
70.3	36.5151
70.4	36.4998
70.5	36.4845
70.6	36.4692
70.7	36.454
70.8	36.4387
70.9	36.4234
71	36.4081
71.1	36.3928
71.2	36.3775
71.3	36.3622
71.4	36.3469
71.5	36.3316
71.6	36.3163
71.7	36.3009
71.8	36.2856
71.9	36.2703
72	36.255
72.1	36.2397
72.2	36.2244
72.3	36.209
72.4	36.1937
72.5	36.1784
72.6	36.1631
72.7	36.1478
72.8	36.1324
72.9	36.1171
73	36.1018
73.1	36.0864
73.2	36.0711
73.3	36.0558
73.4	36.0404
73.5	36.0251
73.6	36.0098
73.7	35.9944
73.8	35.9791
73.9	35.9638
74	35.9484
74.1	35.9331
74.2	35.9178
74.3	35.9024
74.4	35.8871
74.5	35.8718
74.6	35.8564
74.7	35.8411
74.8	35.8257
74.9	35.8104
75	35.7951
75.1	35.7797
75.2	35.7644
75.3	35.7491
75.4	35.7337
75.5	35.7184
75.6	35.7031
75.7	35.6877
75.8	35.6724
75.9	35.6571
76	35.6417
76.1	35.6264
76.2	35.6111
76.3	35.5957
76.4	35.5804
76.5	35.5651
76.6	35.5498
76.7	35.5344
76.8	35.5191
76.9	35.5038
77	35.4885
77.1	35.4732
77.2	35.4578
77.3	35.4425
77.4	35.4272
77.5	35.4119
77.6	35.3966
77.7	35.3813
77.8	35.366
77.9	35.3507
78	35.3354
78.1	35.3201
78.2	35.3048
78.3	35.2895
78.4	35.2742
78.5	35.2589
78.6	35.2436
78.7	35.2283
78.8	35.213
78.9	35.1977
79	35.1824
79.1	35.1671
79.2	35.1519
79.3	35.1366
79.4	35.1213
79.5	35.106
79.6	35.0908
79.7	35.0755
79.8	35.0602
79.9	35.045
80	35.0297
80.1	35.0145
80.2	34.9992
80.3	34.984
80.4	34.9687
80.5	34.9535
80.6	34.9382
80.7	34.923
80.8	34.9078
80.9	34.8925
81	34.8773
81.1	34.8621
81.2	34.8468
81.3	34.8316
81.4	34.8164
81.5	34.8012
81.6	34.786
81.7	34.7708
81.8	34.7556
81.9	34.7404
82	34.7252
82.1	34.71
82.2	34.6948
82.3	34.6796
82.4	34.6644
82.5	34.6492
82.6	34.634
82.7	34.6189
82.8	34.6037
82.9	34.5885
83	34.5734
83.1	34.5582
83.2	34.5431
83.3	34.5279
83.4	34.5127
83.5	34.4976
83.6	34.4825
83.7	34.4673
83.8	34.4522
83.9	34.4371
84	34.4219
84.1	34.4068
84.2	34.3917
84.3	34.3766
84.4	34.3615
84.5	34.3464
84.6	34.3313
84.7	34.3162
84.8	34.3011
84.9	34.286
85	34.2709
85.1	34.2558
85.2	34.2407
85.3	34.2257
85.4	34.2106
85.5	34.1955
85.6	34.1805
85.7	34.1654
85.8	34.1504
85.9	34.1353
86	34.1203
86.1	34.1052
86.2	34.0902
86.3	34.0752
86.4	34.0602
86.5	34.0451
86.6	34.0301
86.7	34.0151
86.8	34.0001
86.9	33.9851
87	33.9701
87.1	33.9551
87.2	33.9401
87.3	33.9251
87.4	33.9101
87.5	33.8952
87.6	33.8802
87.7	33.8652
87.8	33.8503
87.9	33.8353
88	33.8203
88.1	33.8054
88.2	33.7905
88.3	33.7755
88.4	33.7606
88.5	33.7456
88.6	33.7307
88.7	33.7158
88.8	33.7009
88.9	33.686
89	33.671
89.1	33.6561
89.2	33.6412
89.3	33.6263
89.4	33.6115
89.5	33.5966
89.6	33.5817
89.7	33.5668
89.8	33.5519
89.9	33.5371
90	33.5222
90.1	33.5073
90.2	33.4925
90.3	33.4776
90.4	33.4628
90.5	33.448
90.6	33.4331
90.7	33.4183
90.8	33.4035
90.9	33.3886
91	33.3738
91.1	33.359
91.2	33.3442
91.3	33.3294
91.4	33.3146
91.5	33.2998
91.6	33.285
91.7	33.2702
91.8	33.2554
91.9	33.2407
92	33.2259
92.1	33.2111
92.2	33.1964
92.3	33.1816
92.4	33.1669
92.5	33.1521
92.6	33.1374
92.7	33.1226
92.8	33.1079
92.9	33.0931
93	33.0784
93.1	33.0637
93.2	33.049
93.3	33.0343
93.4	33.0196
93.5	33.0048
93.6	32.9901
93.7	32.9755
93.8	32.9608
93.9	32.9461
94	32.9314
94.1	32.9167
94.2	32.902
94.3	32.8874
94.4	32.8727
94.5	32.858
94.6	32.8434
94.7	32.8287
94.8	32.8141
94.9	32.7994
95	32.7848
95.1	32.7701
95.2	32.7555
95.3	32.7409
95.4	32.7263
95.5	32.7116
95.6	32.697
95.7	32.6824
95.8	32.6678
95.9	32.6532
96	32.6386
96.1	32.624
96.2	32.6094
96.3	32.5948
96.4	32.5802
96.5	32.5657
96.6	32.5511
96.7	32.5365
96.8	32.5219
96.9	32.5074
97	32.4928
97.1	32.4783
97.2	32.4637
97.3	32.4492
97.4	32.4346
97.5	32.4201
97.6	32.4055
97.7	32.391
97.8	32.3765
97.9	32.3619
98	32.3474
98.1	32.3329
98.2	32.3184
98.3	32.3039
98.4	32.2894
98.5	32.2748
98.6	32.2603
98.7	32.2458
98.8	32.2313
98.9	32.2169
99	32.2024
99.1	32.1879
99.2	32.1734
99.3	32.1589
99.4	32.1444
99.5	32.13
99.6	32.1155
99.7	32.101
99.8	32.0866
99.9	32.0721
100	32.0577
100.1	32.0432
100.2	32.0288
100.3	32.0143
100.4	31.9999
100.5	31.9854
100.6	31.971
100.7	31.9565
100.8	31.9421
100.9	31.9277
101	31.9133
101.1	31.8988
101.2	31.8844
101.3	31.87
101.4	31.8556
101.5	31.8412
101.6	31.8268
101.7	31.8123
101.8	31.7979
101.9	31.7835
102	31.7691
102.1	31.7547
102.2	31.7403
102.3	31.726
102.4	31.7116
102.5	31.6972
102.6	31.6828
102.7	31.6684
102.8	31.654
102.9	31.6396
103	31.6253
103.1	31.6109
103.2	31.5965
103.3	31.5822
103.4	31.5678
103.5	31.5534
103.6	31.5391
103.7	31.5247
103.8	31.5103
103.9	31.496
104	31.4816
104.1	31.4673
104.2	31.4529
104.3	31.4386
104.4	31.4242
104.5	31.4099
104.6	31.3955
104.7	31.3812
104.8	31.3669
104.9	31.3525
105	31.3382
105.1	31.3238
105.2	31.3095
105.3	31.2952
105.4	31.2808
105.5	31.2665
105.6	31.2522
105.7	31.2379
105.8	31.2235
105.9	31.2092
106	31.1949
106.1	31.1806
106.2	31.1662
106.3	31.1519
106.4	31.1376
106.5	31.1233
106.6	31.109
106.7	31.0947
106.8	31.0803
106.9	31.066
107	31.0517
107.1	31.0374
107.2	31.0231
107.3	31.0088
107.4	30.9945
107.5	30.9802
107.6	30.9659
107.7	30.9516
107.8	30.9372
107.9	30.9229
108	30.9086
108.1	30.8943
108.2	30.88
108.3	30.8657
108.4	30.8514
108.5	30.8371
108.6	30.8228
108.7	30.8085
108.8	30.7942
108.9	30.7799
109	30.7656
109.1	30.7513
109.2	30.737
109.3	30.7227
109.4	30.7084
109.5	30.6941
109.6	30.6798
109.7	30.6655
109.8	30.6512
109.9	30.6369
110	30.6226
110.1	30.6083
110.2	30.594
110.3	30.5797
110.4	30.5654
110.5	30.5511
110.6	30.5368
110.7	30.5225
110.8	30.5082
110.9	30.4939
111	30.4796
