Time(ms)	Membrane_Voltage(mV)
-5	-88.6728
-4.9	-88.6728
-4.8	-88.6728
-4.7	-88.6728
-4.6	-88.6728
-4.5	-88.6728
-4.4	-88.6728
-4.3	-88.6728
-4.2	-88.6728
-4.1	-88.6728
-4	-88.6728
-3.9	-88.6728
-3.8	-88.6728
-3.7	-88.6728
-3.6	-88.6728
-3.5	-88.6728
-3.4	-88.6728
-3.3	-88.6728
-3.2	-88.6728
-3.1	-88.6728
-3	-88.6728
-2.9	-88.6728
-2.8	-88.6728
-2.7	-88.6728
-2.6	-88.6728
-2.5	-88.6728
-2.4	-88.6728
-2.3	-88.6728
-2.2	-88.6728
-2.1	-88.6728
-2	-88.6728
-1.9	-88.6728
-1.8	-88.6728
-1.7	-88.6728
-1.6	-88.6728
-1.5	-88.6728
-1.4	-88.6728
-1.3	-88.6728
-1.2	-88.6728
-1.1	-88.6728
-1	-88.6728
-0.9	-88.6728
-0.8	-88.6728
-0.7	-88.6728
-0.6	-88.6728
-0.5	-88.6728
-0.4	-88.6728
-0.3	-88.6728
-0.2	-88.6728
-0.1	-88.6728
0	-88.6728
0.1	-80.7602
0.2	-72.908
0.3	-65.026
0.4	-57.0909
0.5	-49.0732
0.6	-48.8203
0.7	-48.1419
0.8	-46.8918
0.9	-44.9007
1	-41.8563
1.1	-37.0536
1.2	-28.7305
1.3	-12.8246
1.4	11.3013
1.5	25.1203
1.6	28.2594
1.7	29.5316
1.8	30.5394
1.9	31.4289
2	32.22
2.1	32.9234
2.2	33.5478
2.3	34.1014
2.4	34.5914
2.5	35.0243
2.6	35.4059
2.7	35.7414
2.8	36.0356
2.9	36.2926
3	36.5163
3.1	36.7101
3.2	36.877
3.3	37.0198
3.4	37.141
3.5	37.2428
3.6	37.3273
3.7	37.3962
3.8	37.4511
3.9	37.4937
4	37.5251
4.1	37.5465
4.2	37.5592
4.3	37.5639
4.4	37.5616
4.5	37.5531
4.6	37.5391
4.7	37.5202
4.8	37.497
4.9	37.47
5	37.4397
5.1	37.4066
5.2	37.3709
5.3	37.3331
5.4	37.2934
5.5	37.2522
5.6	37.2096
5.7	37.166
5.8	37.1214
5.9	37.0761
6	37.0303
6.1	36.984
6.2	36.9375
6.3	36.8908
6.4	36.8441
6.5	36.7973
6.6	36.7507
6.7	36.7043
6.8	36.6581
6.9	36.6123
7	36.5668
7.1	36.5217
7.2	36.4771
7.3	36.4329
7.4	36.3893
7.5	36.3461
7.6	36.3036
7.7	36.2616
7.8	36.2202
7.9	36.1794
8	36.1392
8.1	36.0996
8.2	36.0607
8.3	36.0224
8.4	35.9847
8.5	35.9476
8.6	35.9112
8.7	35.8755
8.8	35.8403
8.9	35.8058
9	35.7719
9.1	35.7386
9.2	35.706
9.3	35.674
9.4	35.6425
9.5	35.6117
9.6	35.5814
9.7	35.5518
9.8	35.5227
9.9	35.4942
10	35.4662
10.1	35.4388
10.2	35.412
10.3	35.3857
10.4	35.3599
10.5	35.3346
10.6	35.3099
10.7	35.2857
10.8	35.2619
10.9	35.2387
11	35.2159
11.1	35.1936
11.2	35.1718
11.3	35.1504
11.4	35.1295
11.5	35.109
11.6	35.089
11.7	35.0693
11.8	35.0501
11.9	35.0313
12	35.0129
12.1	34.9949
12.2	34.9773
12.3	34.9601
12.4	34.9433
12.5	34.9268
12.6	34.9107
12.7	34.8949
12.8	34.8795
12.9	34.8644
13	34.8497
13.1	34.8353
13.2	34.8212
13.3	34.8074
13.4	34.794
13.5	34.7808
13.6	34.768
13.7	34.7554
13.8	34.7431
13.9	34.7312
14	34.7194
14.1	34.708
14.2	34.6968
14.3	34.6859
14.4	34.6753
14.5	34.6649
14.6	34.6548
14.7	34.6448
14.8	34.6352
14.9	34.6258
15	34.6166
15.1	34.6076
15.2	34.5988
