Time(ms)	Membrane_Voltage(mV)
-5	-88.5689
-4.9	-88.5689
-4.8	-88.5689
-4.7	-88.5689
-4.6	-88.5689
-4.5	-88.5689
-4.4	-88.5689
-4.3	-88.5689
-4.2	-88.5689
-4.1	-88.5689
-4	-88.5689
-3.9	-88.5689
-3.8	-88.5689
-3.7	-88.5689
-3.6	-88.5689
-3.5	-88.5689
-3.4	-88.5689
-3.3	-88.5689
-3.2	-88.5689
-3.1	-88.5689
-3	-88.5689
-2.9	-88.5689
-2.8	-88.5689
-2.7	-88.5689
-2.6	-88.5689
-2.5	-88.5689
-2.4	-88.5689
-2.3	-88.5689
-2.2	-88.5689
-2.1	-88.5689
-2	-88.5689
-1.9	-88.5689
-1.8	-88.5689
-1.7	-88.5689
-1.6	-88.5689
-1.5	-88.5689
-1.4	-88.5689
-1.3	-88.5689
-1.2	-88.5689
-1.1	-88.5689
-1	-88.5689
-0.9	-88.5689
-0.8	-88.5689
-0.7	-88.5689
-0.6	-88.5689
-0.5	-88.5689
-0.4	-88.5689
-0.3	-88.5689
-0.2	-88.5689
-0.1	-88.5689
0	-88.5689
0.1	-80.6559
0.2	-72.8031
0.3	-64.9207
0.4	-56.9845
0.5	-48.9604
0.6	-48.6739
0.7	-47.9056
0.8	-46.4789
0.9	-44.1677
1	-40.5212
1.1	-34.444
1.2	-23.0226
1.3	-0.971523
1.4	22.0073
1.5	28.7712
1.6	30.4764
1.7	31.6252
1.8	32.6311
1.9	33.529
2	34.3304
2.1	35.045
2.2	35.6814
2.3	36.2476
2.4	36.7507
2.5	37.1972
2.6	37.5929
2.7	37.9431
2.8	38.2524
2.9	38.5252
3	38.7653
3.1	38.9759
3.2	39.1603
3.3	39.3212
3.4	39.461
3.5	39.582
3.6	39.6861
3.7	39.7751
3.8	39.8507
3.9	39.9143
4	39.9672
4.1	40.0105
4.2	40.0452
4.3	40.0724
4.4	40.0929
4.5	40.1074
4.6	40.1166
4.7	40.121
4.8	40.1214
4.9	40.1181
5	40.1116
5.1	40.1023
5.2	40.0905
5.3	40.0767
5.4	40.061
5.5	40.0437
5.6	40.0251
5.7	40.0053
5.8	39.9846
5.9	39.9631
6	39.941
6.1	39.9184
6.2	39.8954
6.3	39.8721
6.4	39.8487
6.5	39.8251
6.6	39.8016
6.7	39.7781
6.8	39.7546
6.9	39.7314
7	39.7083
7.1	39.6854
7.2	39.6629
7.3	39.6406
7.4	39.6187
7.5	39.5971
7.6	39.5759
7.7	39.555
7.8	39.5346
7.9	39.5145
8	39.4949
8.1	39.4757
8.2	39.457
8.3	39.4387
8.4	39.4208
8.5	39.4033
8.6	39.3863
8.7	39.3698
8.8	39.3537
8.9	39.338
9	39.3227
9.1	39.3079
9.2	39.2935
9.3	39.2796
9.4	39.266
9.5	39.2529
9.6	39.2402
9.7	39.2279
9.8	39.216
9.9	39.2045
10	39.1934
10.1	39.1826
10.2	39.1722
10.3	39.1623
10.4	39.1526
10.5	39.1434
10.6	39.1344
10.7	39.1259
10.8	39.1177
10.9	39.1098
11	39.1022
11.1	39.0949
11.2	39.088
11.3	39.0814
11.4	39.0751
11.5	39.069
11.6	39.0633
11.7	39.0578
11.8	39.0527
11.9	39.0477
12	39.0431
12.1	39.0387
12.2	39.0346
12.3	39.0307
12.4	39.0271
12.5	39.0237
12.6	39.0205
12.7	39.0176
12.8	39.0149
12.9	39.0124
13	39.0101
13.1	39.008
13.2	39.0061
