Time(ms)	Membrane_Voltage(mV)
-5	-88.5034
-4.9	-88.5034
-4.8	-88.5034
-4.7	-88.5034
-4.6	-88.5034
-4.5	-88.5034
-4.4	-88.5034
-4.3	-88.5034
-4.2	-88.5034
-4.1	-88.5034
-4	-88.5034
-3.9	-88.5034
-3.8	-88.5034
-3.7	-88.5034
-3.6	-88.5034
-3.5	-88.5034
-3.4	-88.5034
-3.3	-88.5034
-3.2	-88.5034
-3.1	-88.5034
-3	-88.5034
-2.9	-88.5034
-2.8	-88.5034
-2.7	-88.5034
-2.6	-88.5034
-2.5	-88.5034
-2.4	-88.5034
-2.3	-88.5034
-2.2	-88.5034
-2.1	-88.5034
-2	-88.5034
-1.9	-88.5034
-1.8	-88.5034
-1.7	-88.5034
-1.6	-88.5034
-1.5	-88.5034
-1.4	-88.5034
-1.3	-88.5034
-1.2	-88.5034
-1.1	-88.5034
-1	-88.5034
-0.9	-88.5034
-0.8	-88.5034
-0.7	-88.5034
-0.6	-88.5034
-0.5	-88.5034
-0.4	-88.5034
-0.3	-88.5034
-0.2	-88.5034
-0.1	-88.5034
0	-88.5034
0.1	-80.5903
0.2	-72.7373
0.3	-64.8551
0.4	-56.9196
0.5	-48.8965
0.6	-48.6107
0.7	-47.8426
0.8	-46.4159
0.9	-44.106
1	-40.4658
1.1	-34.4147
1.2	-23.1051
1.3	-1.44442
1.4	21.3132
1.5	28.2789
1.6	30.0547
1.7	31.2477
1.8	32.305
1.9	33.2616
2	34.1268
2.1	34.9082
2.2	35.6134
2.3	36.2493
2.4	36.8226
2.5	37.3394
2.6	37.8053
2.7	38.2254
2.8	38.6042
2.9	38.9459
3	39.2543
3.1	39.5327
3.2	39.7841
3.3	40.0111
3.4	40.2162
3.5	40.4015
3.6	40.5688
3.7	40.72
3.8	40.8565
3.9	40.9797
4	41.0908
4.1	41.191
4.2	41.2812
4.3	41.3623
4.4	41.4352
4.5	41.5005
4.6	41.559
4.7	41.6112
4.8	41.6576
4.9	41.6989
5	41.7353
5.1	41.7673
5.2	41.7953
5.3	41.8197
5.4	41.8407
5.5	41.8586
5.6	41.8736
5.7	41.8861
5.8	41.8962
5.9	41.9041
6	41.91
6.1	41.9141
6.2	41.9165
6.3	41.9173
6.4	41.9168
6.5	41.9149
6.6	41.9119
6.7	41.9078
6.8	41.9027
6.9	41.8967
7	41.8899
7.1	41.8823
7.2	41.874
7.3	41.8651
7.4	41.8557
7.5	41.8458
7.6	41.8354
7.7	41.8246
7.8	41.8134
7.9	41.8019
8	41.7901
8.1	41.7781
8.2	41.7658
8.3	41.7534
8.4	41.7408
8.5	41.728
8.6	41.7151
8.7	41.7022
8.8	41.6891
8.9	41.676
9	41.6629
9.1	41.6497
9.2	41.6365
9.3	41.6234
9.4	41.6103
9.5	41.5971
9.6	41.5841
9.7	41.5711
9.8	41.5581
9.9	41.5452
10	41.5324
10.1	41.5197
10.2	41.5071
10.3	41.4945
10.4	41.4821
10.5	41.4698
10.6	41.4576
10.7	41.4455
10.8	41.4335
10.9	41.4216
11	41.4099
11.1	41.3982
11.2	41.3867
11.3	41.3754
11.4	41.3641
11.5	41.353
11.6	41.342
11.7	41.3312
11.8	41.3205
11.9	41.3099
12	41.2994
12.1	41.2891
12.2	41.2789
12.3	41.2688
12.4	41.2589
12.5	41.249
12.6	41.2394
12.7	41.2298
12.8	41.2203
12.9	41.211
13	41.2018
13.1	41.1927
13.2	41.1837
13.3	41.1748
13.4	41.1661
13.5	41.1574
13.6	41.1488
13.7	41.1404
13.8	41.1321
13.9	41.1238
14	41.1157
14.1	41.1076
14.2	41.0997
14.3	41.0918
14.4	41.084
14.5	41.0763
14.6	41.0687
14.7	41.0611
14.8	41.0537
14.9	41.0463
15	41.039
15.1	41.0317
15.2	41.0246
15.3	41.0175
15.4	41.0104
15.5	41.0034
15.6	40.9965
15.7	40.9896
15.8	40.9828
15.9	40.976
16	40.9693
16.1	40.9626
16.2	40.956
16.3	40.9494
16.4	40.9429
16.5	40.9364
16.6	40.9299
16.7	40.9234
16.8	40.917
16.9	40.9106
17	40.9043
17.1	40.8979
17.2	40.8916
17.3	40.8853
17.4	40.8791
17.5	40.8728
17.6	40.8666
17.7	40.8603
17.8	40.8541
17.9	40.8479
18	40.8417
18.1	40.8355
18.2	40.8293
18.3	40.8231
18.4	40.8169
18.5	40.8107
18.6	40.8046
18.7	40.7984
18.8	40.7921
18.9	40.7859
19	40.7797
19.1	40.7735
19.2	40.7673
19.3	40.761
19.4	40.7547
19.5	40.7484
19.6	40.7421
19.7	40.7358
19.8	40.7295
19.9	40.7231
20	40.7168
20.1	40.7104
20.2	40.7039
20.3	40.6975
20.4	40.691
20.5	40.6845
20.6	40.678
20.7	40.6714
20.8	40.6648
20.9	40.6582
21	40.6515
21.1	40.6449
21.2	40.6381
21.3	40.6314
21.4	40.6246
21.5	40.6178
21.6	40.6109
21.7	40.604
21.8	40.5971
21.9	40.5901
22	40.5831
22.1	40.576
22.2	40.5689
22.3	40.5618
22.4	40.5546
22.5	40.5474
22.6	40.5401
22.7	40.5328
22.8	40.5254
22.9	40.518
23	40.5106
23.1	40.5031
23.2	40.4956
23.3	40.488
23.4	40.4803
23.5	40.4727
23.6	40.4649
23.7	40.4572
23.8	40.4493
23.9	40.4415
24	40.4335
24.1	40.4256
24.2	40.4175
24.3	40.4095
24.4	40.4013
24.5	40.3932
24.6	40.3849
24.7	40.3766
24.8	40.3683
24.9	40.3599
25	40.3515
25.1	40.343
25.2	40.3345
25.3	40.3259
25.4	40.3172
25.5	40.3085
25.6	40.2997
25.7	40.2909
25.8	40.2821
25.9	40.2732
26	40.2642
26.1	40.2552
26.2	40.2461
26.3	40.2369
26.4	40.2277
26.5	40.2185
26.6	40.2092
26.7	40.1998
26.8	40.1904
26.9	40.181
27	40.1715
27.1	40.1619
27.2	40.1523
27.3	40.1426
27.4	40.1328
27.5	40.123
27.6	40.1132
27.7	40.1033
27.8	40.0933
27.9	40.0833
28	40.0732
28.1	40.0631
28.2	40.0529
28.3	40.0427
28.4	40.0324
28.5	40.0221
28.6	40.0117
28.7	40.0012
28.8	39.9907
28.9	39.9802
29	39.9695
29.1	39.9589
29.2	39.9481
29.3	39.9374
29.4	39.9265
29.5	39.9156
29.6	39.9047
29.7	39.8937
29.8	39.8826
29.9	39.8715
30	39.8604
30.1	39.8492
30.2	39.8379
30.3	39.8266
30.4	39.8152
30.5	39.8038
30.6	39.7923
30.7	39.7808
30.8	39.7692
30.9	39.7575
31	39.7458
31.1	39.7341
31.2	39.7223
31.3	39.7104
31.4	39.6985
31.5	39.6866
31.6	39.6746
31.7	39.6625
31.8	39.6504
31.9	39.6383
