Time(ms)	Membrane_Voltage(mV)
-5	-88.5383
-4.9	-88.5383
-4.8	-88.5383
-4.7	-88.5383
-4.6	-88.5383
-4.5	-88.5383
-4.4	-88.5383
-4.3	-88.5383
-4.2	-88.5383
-4.1	-88.5383
-4	-88.5383
-3.9	-88.5383
-3.8	-88.5383
-3.7	-88.5383
-3.6	-88.5383
-3.5	-88.5383
-3.4	-88.5383
-3.3	-88.5383
-3.2	-88.5383
-3.1	-88.5383
-3	-88.5383
-2.9	-88.5383
-2.8	-88.5383
-2.7	-88.5383
-2.6	-88.5383
-2.5	-88.5383
-2.4	-88.5383
-2.3	-88.5383
-2.2	-88.5383
-2.1	-88.5383
-2	-88.5383
-1.9	-88.5383
-1.8	-88.5383
-1.7	-88.5383
-1.6	-88.5383
-1.5	-88.5383
-1.4	-88.5383
-1.3	-88.5383
-1.2	-88.5383
-1.1	-88.5383
-1	-88.5383
-0.9	-88.5383
-0.8	-88.5383
-0.7	-88.5383
-0.6	-88.5383
-0.5	-88.5383
-0.4	-88.5383
-0.3	-88.5383
-0.2	-88.5383
-0.1	-88.5383
0	-88.5383
0.1	-80.6252
0.2	-72.7722
0.3	-64.8896
0.4	-56.9535
0.5	-48.9293
0.6	-48.6417
0.7	-47.8696
0.8	-46.435
0.9	-44.1093
1	-40.4358
1.1	-34.303
1.2	-22.7568
1.3	-0.563979
1.4	22.1399
1.5	28.7378
1.6	30.4427
1.7	31.6135
1.8	32.6476
1.9	33.5775
2	34.4134
2.1	35.1638
2.2	35.837
2.3	36.4404
2.4	36.981
2.5	37.465
2.6	37.8982
2.7	38.2858
2.8	38.6325
2.9	38.9425
3	39.2197
3.1	39.4674
3.2	39.6888
3.3	39.8865
3.4	40.0632
3.5	40.2208
3.6	40.3615
3.7	40.487
3.8	40.5989
3.9	40.6985
4	40.7872
4.1	40.866
4.2	40.9359
4.3	40.9979
4.4	41.0527
4.5	41.1011
4.6	41.1437
4.7	41.1811
4.8	41.2138
4.9	41.2423
5	41.267
5.1	41.2883
5.2	41.3065
5.3	41.3219
5.4	41.3349
5.5	41.3456
5.6	41.3543
5.7	41.3612
5.8	41.3665
5.9	41.3704
6	41.3729
6.1	41.3743
6.2	41.3747
6.3	41.3741
6.4	41.3728
6.5	41.3707
6.6	41.368
6.7	41.3647
6.8	41.361
6.9	41.3568
7	41.3523
7.1	41.3475
7.2	41.3424
7.3	41.3371
7.4	41.3317
7.5	41.3261
7.6	41.3204
7.7	41.3146
7.8	41.3088
7.9	41.303
8	41.2972
8.1	41.2914
8.2	41.2856
8.3	41.2799
8.4	41.2743
8.5	41.2687
8.6	41.2633
8.7	41.2579
8.8	41.2527
8.9	41.2476
9	41.2427
9.1	41.2379
9.2	41.2332
9.3	41.2287
9.4	41.2243
9.5	41.2201
9.6	41.2161
9.7	41.2122
9.8	41.2085
9.9	41.205
10	41.2016
10.1	41.1984
10.2	41.1954
10.3	41.1926
10.4	41.1899
10.5	41.1874
10.6	41.185
10.7	41.1829
10.8	41.1809
10.9	41.179
11	41.1773
11.1	41.1758
11.2	41.1745
11.3	41.1733
11.4	41.1722
11.5	41.1713
11.6	41.1706
11.7	41.17
11.8	41.1696
11.9	41.1693
12	41.1691
12.1	41.1691
12.2	41.1692
12.3	41.1694
12.4	41.1698
12.5	41.1703
12.6	41.1709
12.7	41.1717
12.8	41.1725
12.9	41.1735
13	41.1746
13.1	41.1758
13.2	41.1771
13.3	41.1785
13.4	41.18
13.5	41.1816
13.6	41.1833
13.7	41.185
13.8	41.1869
13.9	41.1889
14	41.1909
14.1	41.193
14.2	41.1952
14.3	41.1975
14.4	41.1998
14.5	41.2022
14.6	41.2047
14.7	41.2072
14.8	41.2098
14.9	41.2124
15	41.2151
15.1	41.2179
15.2	41.2207
15.3	41.2235
15.4	41.2264
15.5	41.2294
15.6	41.2324
15.7	41.2354
15.8	41.2384
15.9	41.2415
16	41.2446
16.1	41.2478
16.2	41.251
16.3	41.2542
