Time(ms)	Membrane_Voltage(mV)
-5	-88.545
-4.9	-88.545
-4.8	-88.545
-4.7	-88.545
-4.6	-88.545
-4.5	-88.545
-4.4	-88.545
-4.3	-88.545
-4.2	-88.545
-4.1	-88.545
-4	-88.5451
-3.9	-88.5451
-3.8	-88.5451
-3.7	-88.5451
-3.6	-88.5451
-3.5	-88.5451
-3.4	-88.5451
-3.3	-88.5451
-3.2	-88.5451
-3.1	-88.5451
-3	-88.5451
-2.9	-88.5451
-2.8	-88.5451
-2.7	-88.5451
-2.6	-88.5451
-2.5	-88.5451
-2.4	-88.5451
-2.3	-88.5451
-2.2	-88.5451
-2.1	-88.5451
-2	-88.5451
-1.9	-88.5451
-1.8	-88.5451
-1.7	-88.5451
-1.6	-88.5451
-1.5	-88.5451
-1.4	-88.5451
-1.3	-88.5451
-1.2	-88.5451
-1.1	-88.5451
-1	-88.5451
-0.9	-88.5451
-0.8	-88.5451
-0.7	-88.5451
-0.6	-88.5451
-0.5	-88.5451
-0.4	-88.5451
-0.3	-88.5451
-0.2	-88.5451
-0.1	-88.5451
0	-88.5451
0.1	-80.632
0.2	-72.779
0.3	-64.8963
0.4	-56.9602
0.5	-48.9359
0.6	-48.6481
0.7	-47.8758
0.8	-46.4404
0.9	-44.1131
1	-40.436
1.1	-34.2935
1.2	-22.7174
1.3	-0.450249
1.4	22.2563
1.5	28.8079
1.6	30.5035
1.7	31.6713
1.8	32.7021
1.9	33.6281
2	34.4596
2.1	35.2054
2.2	35.8737
2.3	36.4721
2.4	37.0075
2.5	37.4864
2.6	37.9143
2.7	38.2967
2.8	38.6381
2.9	38.9428
3	39.2146
3.1	39.457
3.2	39.673
3.3	39.8654
3.4	40.0367
3.5	40.1891
3.6	40.3246
3.7	40.4449
3.8	40.5516
3.9	40.6462
4	40.7299
4.1	40.8039
4.2	40.8691
4.3	40.9265
4.4	40.9769
4.5	41.0209
4.6	41.0594
4.7	41.0927
4.8	41.1215
4.9	41.1463
5	41.1674
5.1	41.1852
5.2	41.2001
5.3	41.2123
5.4	41.2222
5.5	41.23
5.6	41.2359
5.7	41.2402
5.8	41.2429
5.9	41.2444
6	41.2446
6.1	41.2438
6.2	41.2421
6.3	41.2395
6.4	41.2363
6.5	41.2324
6.6	41.228
6.7	41.2232
6.8	41.2179
6.9	41.2123
7	41.2064
7.1	41.2003
7.2	41.1941
7.3	41.1876
7.4	41.1811
7.5	41.1745
7.6	41.1679
7.7	41.1612
7.8	41.1546
7.9	41.148
8	41.1415
8.1	41.135
8.2	41.1286
8.3	41.1223
8.4	41.1162
8.5	41.1102
8.6	41.1043
8.7	41.0985
8.8	41.093
8.9	41.0876
9	41.0823
9.1	41.0772
9.2	41.0724
9.3	41.0677
9.4	41.0631
9.5	41.0588
9.6	41.0547
9.7	41.0507
9.8	41.047
9.9	41.0434
10	41.04
10.1	41.0369
10.2	41.0339
10.3	41.0311
10.4	41.0285
10.5	41.0261
10.6	41.0238
10.7	41.0218
10.8	41.0199
10.9	41.0183
11	41.0168
11.1	41.0154
11.2	41.0143
11.3	41.0133
11.4	41.0125
11.5	41.0119
11.6	41.0114
11.7	41.0111
11.8	41.0109
11.9	41.0109
12	41.011
12.1	41.0113
12.2	41.0118
12.3	41.0123
12.4	41.013
12.5	41.0139
12.6	41.0149
12.7	41.016
12.8	41.0172
12.9	41.0185
13	41.02
13.1	41.0216
13.2	41.0233
13.3	41.0251
13.4	41.027
13.5	41.029
13.6	41.0311
13.7	41.0333
13.8	41.0356
13.9	41.038
14	41.0404
14.1	41.043
14.2	41.0456
14.3	41.0483
14.4	41.0511
14.5	41.054
14.6	41.0569
14.7	41.0599
14.8	41.0629
14.9	41.066
15	41.0692
15.1	41.0725
15.2	41.0757
15.3	41.0791
15.4	41.0824
15.5	41.0859
15.6	41.0893
15.7	41.0928
15.8	41.0964
15.9	41.1
16	41.1036
16.1	41.1073
16.2	41.1109
16.3	41.1146
16.4	41.1184
16.5	41.1221
16.6	41.1259
16.7	41.1297
16.8	41.1335
16.9	41.1373
17	41.1412
17.1	41.145
17.2	41.1489
17.3	41.1528
17.4	41.1566
17.5	41.1605
17.6	41.1644
17.7	41.1683
17.8	41.1722
17.9	41.1761
18	41.18
18.1	41.1839
18.2	41.1877
18.3	41.1916
18.4	41.1955
18.5	41.1993
18.6	41.2031
18.7	41.207
18.8	41.2108
18.9	41.2146
19	41.2184
19.1	41.2221
19.2	41.2259
19.3	41.2296
19.4	41.2333
19.5	41.237
19.6	41.2406
19.7	41.2443
19.8	41.2479
19.9	41.2515
20	41.255
20.1	41.2586
20.2	41.2621
20.3	41.2655
20.4	41.269
20.5	41.2724
