Time(ms)	Membrane_Voltage(mV)
-5	-88.5355
-4.9	-88.5355
-4.8	-88.5355
-4.7	-88.5355
-4.6	-88.5355
-4.5	-88.5355
-4.4	-88.5355
-4.3	-88.5355
-4.2	-88.5355
-4.1	-88.5355
-4	-88.5355
-3.9	-88.5355
-3.8	-88.5355
-3.7	-88.5355
-3.6	-88.5355
-3.5	-88.5355
-3.4	-88.5355
-3.3	-88.5355
-3.2	-88.5355
-3.1	-88.5355
-3	-88.5355
-2.9	-88.5355
-2.8	-88.5355
-2.7	-88.5355
-2.6	-88.5355
-2.5	-88.5355
-2.4	-88.5355
-2.3	-88.5355
-2.2	-88.5355
-2.1	-88.5355
-2	-88.5355
-1.9	-88.5355
-1.8	-88.5355
-1.7	-88.5355
-1.6	-88.5355
-1.5	-88.5355
-1.4	-88.5355
-1.3	-88.5355
-1.2	-88.5355
-1.1	-88.5355
-1	-88.5355
-0.9	-88.5355
-0.8	-88.5355
-0.7	-88.5355
-0.6	-88.5355
-0.5	-88.5355
-0.4	-88.5355
-0.3	-88.5355
-0.2	-88.5355
-0.1	-88.5355
0	-88.5355
0.1	-80.6224
0.2	-72.7694
0.3	-64.8869
0.4	-56.9509
0.5	-48.9267
0.6	-48.6389
0.7	-47.8666
0.8	-46.4319
0.9	-44.1067
1	-40.4346
1.1	-34.3064
1.2	-22.7769
1.3	-0.632018
1.4	22.0597
1.5	28.6843
1.6	30.3924
1.7	31.5608
1.8	32.5917
1.9	33.5183
2	34.3506
2.1	35.0976
2.2	35.7674
2.3	36.3674
2.4	36.9047
2.5	37.3854
2.6	37.8155
2.7	38.2
2.8	38.5436
2.9	38.8506
3	39.1247
3.1	39.3694
3.2	39.5878
3.3	39.7826
3.4	39.9562
3.5	40.1109
3.6	40.2487
3.7	40.3712
3.8	40.4801
3.9	40.5768
4	40.6626
4.1	40.7385
4.2	40.8057
4.3	40.8649
4.4	40.917
4.5	40.9628
4.6	41.0028
4.7	41.0376
4.8	41.0679
4.9	41.0939
5	41.1163
5.1	41.1353
5.2	41.1512
5.3	41.1645
5.4	41.1754
5.5	41.184
5.6	41.1907
5.7	41.1957
5.8	41.1991
5.9	41.2012
6	41.2019
6.1	41.2016
6.2	41.2003
6.3	41.1981
6.4	41.1952
6.5	41.1916
6.6	41.1874
6.7	41.1827
6.8	41.1776
6.9	41.1721
7	41.1663
7.1	41.1602
7.2	41.1538
7.3	41.1474
7.4	41.1407
7.5	41.134
7.6	41.1272
7.7	41.1203
7.8	41.1135
7.9	41.1066
8	41.0998
8.1	41.093
8.2	41.0863
8.3	41.0796
8.4	41.0731
8.5	41.0667
8.6	41.0603
8.7	41.0542
8.8	41.0481
8.9	41.0422
9	41.0365
9.1	41.0309
9.2	41.0254
9.3	41.0202
9.4	41.0151
9.5	41.0101
9.6	41.0054
9.7	41.0008
9.8	40.9964
9.9	40.9922
10	40.9882
10.1	40.9843
10.2	40.9807
10.3	40.9772
10.4	40.9739
10.5	40.9708
10.6	40.9678
10.7	40.965
10.8	40.9624
10.9	40.96
11	40.9577
11.1	40.9556
11.2	40.9537
11.3	40.9519
11.4	40.9503
11.5	40.9489
11.6	40.9476
11.7	40.9464
11.8	40.9454
11.9	40.9446
12	40.9439
12.1	40.9433
12.2	40.9429
12.3	40.9426
12.4	40.9424
12.5	40.9424
12.6	40.9425
12.7	40.9427
12.8	40.943
12.9	40.9435
13	40.9441
13.1	40.9447
13.2	40.9455
13.3	40.9464
13.4	40.9474
13.5	40.9484
13.6	40.9496
13.7	40.9509
13.8	40.9522
13.9	40.9537
14	40.9552
14.1	40.9568
14.2	40.9585
14.3	40.9602
14.4	40.962
14.5	40.9639
14.6	40.9659
14.7	40.9679
14.8	40.9699
14.9	40.9721
15	40.9742
15.1	40.9765
15.2	40.9788
15.3	40.9811
15.4	40.9835
15.5	40.9859
15.6	40.9884
15.7	40.9909
15.8	40.9934
15.9	40.9959
16	40.9985
16.1	41.0012
16.2	41.0038
16.3	41.0065
16.4	41.0092
16.5	41.0119
16.6	41.0146
16.7	41.0174
16.8	41.0202
16.9	41.0229
17	41.0257
17.1	41.0285
17.2	41.0313
17.3	41.0341
17.4	41.037
17.5	41.0398
17.6	41.0426
17.7	41.0454
17.8	41.0482
17.9	41.051
18	41.0538
18.1	41.0566
18.2	41.0594
18.3	41.0622
18.4	41.065
18.5	41.0677
18.6	41.0705
18.7	41.0732
18.8	41.0759
18.9	41.0786
19	41.0813
19.1	41.0839
19.2	41.0866
19.3	41.0892
19.4	41.0918
19.5	41.0944
19.6	41.0969
19.7	41.0994
19.8	41.1019
19.9	41.1044
20	41.1068
20.1	41.1092
20.2	41.1116
20.3	41.1139
20.4	41.1162
20.5	41.1185
20.6	41.1208
20.7	41.123
20.8	41.1251
20.9	41.1273
21	41.1294
21.1	41.1314
21.2	41.1335
21.3	41.1355
21.4	41.1374
21.5	41.1393
21.6	41.1412
21.7	41.143
21.8	41.1448
21.9	41.1466
22	41.1483
22.1	41.1499
22.2	41.1516
22.3	41.1531
22.4	41.1547
22.5	41.1561
22.6	41.1576
22.7	41.159
22.8	41.1603
22.9	41.1616
23	41.1629
23.1	41.1641
23.2	41.1653
23.3	41.1664
23.4	41.1675
23.5	41.1685
23.6	41.1695
23.7	41.1704
23.8	41.1713
23.9	41.1721
24	41.1729
24.1	41.1736
24.2	41.1743
24.3	41.1749
24.4	41.1755
24.5	41.1761
24.6	41.1765
24.7	41.177
24.8	41.1773
24.9	41.1777
25	41.178
25.1	41.1782
25.2	41.1784
25.3	41.1785
25.4	41.1786
25.5	41.1786
25.6	41.1786
25.7	41.1785
25.8	41.1783
25.9	41.1782
26	41.1779
26.1	41.1776
26.2	41.1773
26.3	41.1769
26.4	41.1765
26.5	41.176
26.6	41.1754
26.7	41.1748
26.8	41.1742
26.9	41.1735
27	41.1727
27.1	41.1719
27.2	41.1711
27.3	41.1702
27.4	41.1692
27.5	41.1682
27.6	41.1671
27.7	41.166
27.8	41.1648
27.9	41.1636
28	41.1624
28.1	41.161
28.2	41.1597
28.3	41.1582
28.4	41.1568
28.5	41.1552
28.6	41.1536
28.7	41.152
28.8	41.1503
28.9	41.1486
29	41.1468
29.1	41.145
29.2	41.1431
29.3	41.1412
29.4	41.1392
29.5	41.1371
29.6	41.135
29.7	41.1329
29.8	41.1307
29.9	41.1285
30	41.1262
30.1	41.1238
30.2	41.1215
30.3	41.119
30.4	41.1165
30.5	41.114
30.6	41.1114
30.7	41.1088
30.8	41.1061
30.9	41.1034
31	41.1006
31.1	41.0977
31.2	41.0949
31.3	41.0919
31.4	41.089
31.5	41.0859
31.6	41.0829
31.7	41.0797
31.8	41.0766
31.9	41.0734
32	41.0701
32.1	41.0668
32.2	41.0634
32.3	41.06
32.4	41.0566
32.5	41.0531
32.6	41.0495
32.7	41.0459
32.8	41.0423
32.9	41.0386
33	41.0349
33.1	41.0311
33.2	41.0273
33.3	41.0234
33.4	41.0195
33.5	41.0156
33.6	41.0116
33.7	41.0075
33.8	41.0034
33.9	40.9993
34	40.9951
34.1	40.9909
34.2	40.9866
34.3	40.9823
34.4	40.9779
34.5	40.9735
34.6	40.9691
34.7	40.9646
34.8	40.9601
34.9	40.9555
35	40.9509
35.1	40.9462
35.2	40.9415
35.3	40.9368
35.4	40.932
35.5	40.9271
35.6	40.9223
35.7	40.9174
35.8	40.9124
35.9	40.9074
36	40.9024
36.1	40.8973
36.2	40.8922
36.3	40.887
36.4	40.8818
36.5	40.8766
36.6	40.8713
36.7	40.866
36.8	40.8606
36.9	40.8552
37	40.8497
37.1	40.8443
37.2	40.8387
37.3	40.8332
37.4	40.8276
37.5	40.8219
37.6	40.8163
37.7	40.8105
37.8	40.8048
37.9	40.799
38	40.7932
38.1	40.7873
38.2	40.7814
38.3	40.7754
38.4	40.7694
38.5	40.7634
38.6	40.7574
38.7	40.7513
38.8	40.7451
38.9	40.739
39	40.7328
39.1	40.7265
39.2	40.7202
39.3	40.7139
39.4	40.7076
39.5	40.7012
39.6	40.6947
39.7	40.6883
39.8	40.6818
39.9	40.6753
40	40.6687
40.1	40.6621
40.2	40.6555
40.3	40.6488
40.4	40.6421
40.5	40.6353
40.6	40.6286
40.7	40.6217
40.8	40.6149
40.9	40.608
41	40.6011
41.1	40.5942
41.2	40.5872
41.3	40.5802
41.4	40.5731
41.5	40.5661
41.6	40.5589
41.7	40.5518
41.8	40.5446
41.9	40.5374
42	40.5302
42.1	40.5229
42.2	40.5156
42.3	40.5083
42.4	40.5009
42.5	40.4935
42.6	40.4861
42.7	40.4786
42.8	40.4711
42.9	40.4636
43	40.456
43.1	40.4484
43.2	40.4408
43.3	40.4332
43.4	40.4255
43.5	40.4178
43.6	40.41
43.7	40.4022
43.8	40.3944
43.9	40.3866
44	40.3788
44.1	40.3709
44.2	40.3629
44.3	40.355
44.4	40.347
44.5	40.339
44.6	40.331
44.7	40.3229
44.8	40.3148
44.9	40.3067
45	40.2985
45.1	40.2904
45.2	40.2822
45.3	40.2739
45.4	40.2657
45.5	40.2574
45.6	40.2491
45.7	40.2407
45.8	40.2323
45.9	40.2239
46	40.2155
46.1	40.207
46.2	40.1986
46.3	40.1901
46.4	40.1815
46.5	40.173
46.6	40.1644
46.7	40.1558
46.8	40.1471
46.9	40.1385
47	40.1298
47.1	40.121
47.2	40.1123
47.3	40.1035
47.4	40.0947
47.5	40.0859
47.6	40.0771
47.7	40.0682
47.8	40.0593
47.9	40.0504
48	40.0414
48.1	40.0325
48.2	40.0235
48.3	40.0145
48.4	40.0054
48.5	39.9964
48.6	39.9873
48.7	39.9781
48.8	39.969
48.9	39.9598
49	39.9507
49.1	39.9415
49.2	39.9322
49.3	39.923
49.4	39.9137
49.5	39.9044
49.6	39.8951
49.7	39.8857
49.8	39.8763
49.9	39.8669
50	39.8575
50.1	39.8481
50.2	39.8386
50.3	39.8292
50.4	39.8196
50.5	39.8101
50.6	39.8006
50.7	39.791
50.8	39.7814
50.9	39.7718
51	39.7622
51.1	39.7525
51.2	39.7428
51.3	39.7331
51.4	39.7234
51.5	39.7137
51.6	39.7039
51.7	39.6941
51.8	39.6843
51.9	39.6745
52	39.6647
52.1	39.6548
52.2	39.6449
52.3	39.635
52.4	39.6251
52.5	39.6152
52.6	39.6052
52.7	39.5952
52.8	39.5852
52.9	39.5752
53	39.5652
53.1	39.5551
53.2	39.545
53.3	39.5349
53.4	39.5248
53.5	39.5147
53.6	39.5045
53.7	39.4944
53.8	39.4842
53.9	39.474
54	39.4637
54.1	39.4535
54.2	39.4432
54.3	39.433
54.4	39.4227
54.5	39.4123
54.6	39.402
54.7	39.3917
54.8	39.3813
54.9	39.3709
55	39.3605
55.1	39.3501
55.2	39.3396
55.3	39.3292
55.4	39.3187
55.5	39.3082
55.6	39.2977
55.7	39.2872
55.8	39.2767
55.9	39.2661
56	39.2555
56.1	39.245
56.2	39.2344
56.3	39.2237
56.4	39.2131
56.5	39.2025
56.6	39.1918
56.7	39.1811
56.8	39.1704
56.9	39.1597
57	39.149
57.1	39.1382
57.2	39.1275
57.3	39.1167
57.4	39.1059
57.5	39.0951
57.6	39.0843
57.7	39.0735
57.8	39.0626
57.9	39.0517
58	39.0409
58.1	39.03
58.2	39.0191
58.3	39.0082
58.4	38.9972
58.5	38.9863
58.6	38.9753
58.7	38.9643
58.8	38.9534
58.9	38.9424
59	38.9313
59.1	38.9203
59.2	38.9093
59.3	38.8982
59.4	38.8872
59.5	38.8761
59.6	38.865
59.7	38.8539
59.8	38.8427
59.9	38.8316
60	38.8205
60.1	38.8093
60.2	38.7981
60.3	38.787
60.4	38.7758
60.5	38.7646
60.6	38.7533
60.7	38.7421
60.8	38.7309
60.9	38.7196
61	38.7083
61.1	38.6971
61.2	38.6858
61.3	38.6745
61.4	38.6632
61.5	38.6518
61.6	38.6405
61.7	38.6292
61.8	38.6178
61.9	38.6064
62	38.5951
62.1	38.5837
62.2	38.5723
62.3	38.5609
62.4	38.5494
62.5	38.538
62.6	38.5266
62.7	38.5151
62.8	38.5036
62.9	38.4922
63	38.4807
63.1	38.4692
63.2	38.4577
63.3	38.4462
63.4	38.4347
63.5	38.4231
63.6	38.4116
63.7	38.4
63.8	38.3885
63.9	38.3769
64	38.3653
64.1	38.3537
64.2	38.3421
64.3	38.3305
64.4	38.3189
64.5	38.3073
64.6	38.2956
64.7	38.284
64.8	38.2723
64.9	38.2607
65	38.249
65.1	38.2373
65.2	38.2257
65.3	38.214
65.4	38.2023
65.5	38.1906
65.6	38.1788
65.7	38.1671
65.8	38.1554
65.9	38.1436
66	38.1319
66.1	38.1201
66.2	38.1084
66.3	38.0966
66.4	38.0848
66.5	38.073
66.6	38.0612
66.7	38.0494
66.8	38.0376
66.9	38.0258
67	38.014
67.1	38.0022
67.2	37.9903
67.3	37.9785
67.4	37.9666
67.5	37.9548
67.6	37.9429
67.7	37.931
67.8	37.9192
67.9	37.9073
68	37.8954
68.1	37.8835
68.2	37.8716
68.3	37.8597
68.4	37.8478
68.5	37.8359
68.6	37.8239
68.7	37.812
68.8	37.8001
68.9	37.7881
69	37.7762
69.1	37.7642
69.2	37.7523
69.3	37.7403
69.4	37.7283
69.5	37.7164
69.6	37.7044
69.7	37.6924
69.8	37.6804
69.9	37.6684
70	37.6564
70.1	37.6444
70.2	37.6324
70.3	37.6204
70.4	37.6084
70.5	37.5963
70.6	37.5843
70.7	37.5723
70.8	37.5602
70.9	37.5482
71	37.5362
71.1	37.5241
71.2	37.5121
71.3	37.5
71.4	37.4879
71.5	37.4759
71.6	37.4638
71.7	37.4517
71.8	37.4397
71.9	37.4276
72	37.4155
72.1	37.4034
72.2	37.3913
72.3	37.3792
72.4	37.3671
72.5	37.355
72.6	37.3429
72.7	37.3308
72.8	37.3187
72.9	37.3066
73	37.2944
73.1	37.2823
73.2	37.2702
73.3	37.2581
73.4	37.2459
73.5	37.2338
73.6	37.2217
73.7	37.2095
73.8	37.1974
73.9	37.1853
74	37.1731
74.1	37.161
74.2	37.1488
74.3	37.1367
74.4	37.1245
74.5	37.1123
74.6	37.1002
74.7	37.088
74.8	37.0759
74.9	37.0637
75	37.0515
75.1	37.0393
75.2	37.0272
75.3	37.015
75.4	37.0028
75.5	36.9906
75.6	36.9785
75.7	36.9663
75.8	36.9541
75.9	36.9419
76	36.9297
76.1	36.9175
76.2	36.9054
76.3	36.8932
76.4	36.881
76.5	36.8688
76.6	36.8566
76.7	36.8444
76.8	36.8322
76.9	36.82
77	36.8078
77.1	36.7956
77.2	36.7834
77.3	36.7712
77.4	36.759
77.5	36.7468
77.6	36.7346
77.7	36.7224
77.8	36.7102
77.9	36.698
78	36.6858
78.1	36.6736
78.2	36.6613
78.3	36.6491
78.4	36.6369
78.5	36.6247
78.6	36.6125
78.7	36.6003
78.8	36.5881
78.9	36.5759
79	36.5637
79.1	36.5515
79.2	36.5393
79.3	36.527
79.4	36.5148
79.5	36.5026
79.6	36.4904
79.7	36.4782
79.8	36.466
79.9	36.4538
80	36.4416
80.1	36.4294
80.2	36.4171
80.3	36.4049
80.4	36.3927
80.5	36.3805
80.6	36.3683
80.7	36.3561
80.8	36.3439
80.9	36.3317
81	36.3195
81.1	36.3073
81.2	36.2951
81.3	36.2829
81.4	36.2707
81.5	36.2584
81.6	36.2462
81.7	36.234
81.8	36.2218
81.9	36.2096
82	36.1974
82.1	36.1852
82.2	36.173
82.3	36.1608
82.4	36.1486
82.5	36.1364
82.6	36.1243
82.7	36.1121
82.8	36.0999
82.9	36.0877
83	36.0755
83.1	36.0633
83.2	36.0511
83.3	36.0389
83.4	36.0267
83.5	36.0145
83.6	36.0024
83.7	35.9902
83.8	35.978
83.9	35.9658
84	35.9536
84.1	35.9415
84.2	35.9293
84.3	35.9171
84.4	35.9049
84.5	35.8928
84.6	35.8806
84.7	35.8684
84.8	35.8563
84.9	35.8441
85	35.8319
85.1	35.8198
85.2	35.8076
85.3	35.7954
85.4	35.7833
85.5	35.7711
85.6	35.759
85.7	35.7468
85.8	35.7347
85.9	35.7225
86	35.7104
86.1	35.6982
86.2	35.6861
86.3	35.6739
86.4	35.6618
86.5	35.6497
86.6	35.6375
86.7	35.6254
86.8	35.6132
86.9	35.6011
87	35.589
87.1	35.5769
87.2	35.5647
87.3	35.5526
87.4	35.5405
87.5	35.5284
87.6	35.5162
87.7	35.5041
87.8	35.492
87.9	35.4799
88	35.4678
88.1	35.4557
88.2	35.4436
88.3	35.4315
88.4	35.4194
88.5	35.4073
88.6	35.3952
88.7	35.3831
88.8	35.371
88.9	35.3589
89	35.3468
89.1	35.3347
89.2	35.3226
89.3	35.3105
89.4	35.2984
89.5	35.2864
89.6	35.2743
89.7	35.2622
89.8	35.2501
89.9	35.2381
90	35.226
90.1	35.2139
90.2	35.2019
90.3	35.1898
90.4	35.1777
90.5	35.1657
90.6	35.1536
90.7	35.1416
90.8	35.1295
90.9	35.1174
91	35.1054
91.1	35.0934
91.2	35.0813
91.3	35.0693
91.4	35.0572
91.5	35.0452
91.6	35.0332
91.7	35.0211
91.8	35.0091
91.9	34.9971
92	34.985
92.1	34.973
92.2	34.961
92.3	34.949
92.4	34.9369
92.5	34.9249
92.6	34.9129
92.7	34.9009
92.8	34.8889
92.9	34.8769
93	34.8649
93.1	34.8529
93.2	34.8409
93.3	34.8289
93.4	34.8169
93.5	34.8049
93.6	34.7929
93.7	34.7809
93.8	34.7689
93.9	34.7569
94	34.7449
94.1	34.733
94.2	34.721
94.3	34.709
94.4	34.697
94.5	34.685
94.6	34.6731
94.7	34.6611
94.8	34.6491
94.9	34.6372
95	34.6252
95.1	34.6132
95.2	34.6013
95.3	34.5893
95.4	34.5774
95.5	34.5654
95.6	34.5535
95.7	34.5415
95.8	34.5296
95.9	34.5176
96	34.5057
96.1	34.4937
96.2	34.4818
96.3	34.4699
96.4	34.4579
96.5	34.446
96.6	34.4341
96.7	34.4221
96.8	34.4102
96.9	34.3983
97	34.3863
97.1	34.3744
97.2	34.3625
97.3	34.3506
97.4	34.3387
97.5	34.3267
97.6	34.3148
97.7	34.3029
97.8	34.291
97.9	34.2791
98	34.2672
98.1	34.2553
98.2	34.2434
98.3	34.2315
98.4	34.2196
98.5	34.2077
98.6	34.1958
98.7	34.1839
98.8	34.172
98.9	34.1601
99	34.1482
99.1	34.1363
99.2	34.1244
99.3	34.1125
99.4	34.1007
99.5	34.0888
99.6	34.0769
99.7	34.065
99.8	34.0531
99.9	34.0413
100	34.0294
100.1	34.0175
100.2	34.0056
100.3	33.9938
100.4	33.9819
100.5	33.97
100.6	33.9582
100.7	33.9463
100.8	33.9344
100.9	33.9226
101	33.9107
101.1	33.8988
101.2	33.887
101.3	33.8751
101.4	33.8633
101.5	33.8514
101.6	33.8396
101.7	33.8277
101.8	33.8158
101.9	33.804
102	33.7921
102.1	33.7803
102.2	33.7684
102.3	33.7566
102.4	33.7448
102.5	33.7329
