Time(ms)	Membrane_Voltage(mV)
-5	-88.7092
-4.9	-88.7092
-4.8	-88.7092
-4.7	-88.7092
-4.6	-88.7092
-4.5	-88.7092
-4.4	-88.7092
-4.3	-88.7092
-4.2	-88.7092
-4.1	-88.7092
-4	-88.7092
-3.9	-88.7092
-3.8	-88.7092
-3.7	-88.7092
-3.6	-88.7092
-3.5	-88.7092
-3.4	-88.7092
-3.3	-88.7092
-3.2	-88.7092
-3.1	-88.7092
-3	-88.7092
-2.9	-88.7092
-2.8	-88.7092
-2.7	-88.7092
-2.6	-88.7092
-2.5	-88.7092
-2.4	-88.7092
-2.3	-88.7092
-2.2	-88.7092
-2.1	-88.7092
-2	-88.7092
-1.9	-88.7092
-1.8	-88.7092
-1.7	-88.7092
-1.6	-88.7092
-1.5	-88.7092
-1.4	-88.7092
-1.3	-88.7092
-1.2	-88.7092
-1.1	-88.7092
-1	-88.7092
-0.9	-88.7092
-0.8	-88.7092
-0.7	-88.7092
-0.6	-88.7092
-0.5	-88.7092
-0.4	-88.7092
-0.3	-88.7092
-0.2	-88.7092
-0.1	-88.7092
0	-88.7092
0.1	-80.7967
0.2	-72.9445
0.3	-65.0621
0.4	-57.1253
0.5	-49.1002
0.6	-48.8121
0.7	-48.0368
0.8	-46.5909
0.9	-44.2362
1	-40.4898
1.1	-34.1497
1.2	-21.904
1.3	2.14512
1.4	24.9506
1.5	30.5166
1.6	32.0516
1.7	33.1802
1.8	34.164
1.9	35.0288
2	35.7878
2.1	36.4524
2.2	37.0328
2.3	37.538
2.4	37.9762
2.5	38.3545
2.6	38.6794
2.7	38.9565
2.8	39.1911
2.9	39.3875
3	39.55
3.1	39.682
3.2	39.787
3.3	39.8678
3.4	39.927
3.5	39.9669
3.6	39.9896
3.7	39.997
3.8	39.9908
3.9	39.9724
4	39.9433
4.1	39.9046
4.2	39.8574
4.3	39.8028
4.4	39.7415
4.5	39.6743
4.6	39.602
4.7	39.5253
4.8	39.4445
4.9	39.3604
5	39.2733
5.1	39.1837
5.2	39.0919
5.3	38.9982
5.4	38.903
5.5	38.8066
5.6	38.709
5.7	38.6107
5.8	38.5117
5.9	38.4123
6	38.3125
6.1	38.2126
6.2	38.1126
6.3	38.0127
6.4	37.9129
6.5	37.8134
6.6	37.7142
6.7	37.6154
6.8	37.517
6.9	37.4191
7	37.3217
7.1	37.2249
7.2	37.1288
7.3	37.0333
7.4	36.9384
7.5	36.8442
7.6	36.7508
7.7	36.658
7.8	36.566
7.9	36.4748
8	36.3842
8.1	36.2945
8.2	36.2055
8.3	36.1172
8.4	36.0298
8.5	35.943
8.6	35.8571
8.7	35.7719
8.8	35.6874
8.9	35.6037
9	35.5208
9.1	35.4386
9.2	35.3571
9.3	35.2763
9.4	35.1962
9.5	35.1169
9.6	35.0383
9.7	34.9603
9.8	34.883
9.9	34.8064
10	34.7305
10.1	34.6553
10.2	34.5806
10.3	34.5067
10.4	34.4333
10.5	34.3606
10.6	34.2885
10.7	34.217
10.8	34.1461
10.9	34.0757
11	34.006
11.1	33.9368
11.2	33.8682
11.3	33.8001
11.4	33.7326
11.5	33.6656
11.6	33.5991
11.7	33.5332
11.8	33.4678
11.9	33.4028
12	33.3384
12.1	33.2744
12.2	33.211
12.3	33.148
12.4	33.0854
12.5	33.0233
12.6	32.9617
12.7	32.9005
12.8	32.8398
12.9	32.7794
13	32.7195
13.1	32.66
13.2	32.6009
13.3	32.5423
13.4	32.484
13.5	32.4261
13.6	32.3686
13.7	32.3114
13.8	32.2547
13.9	32.1983
14	32.1422
14.1	32.0866
14.2	32.0312
14.3	31.9762
14.4	31.9216
14.5	31.8673
14.6	31.8133
14.7	31.7596
14.8	31.7063
14.9	31.6533
15	31.6005
15.1	31.5481
15.2	31.496
15.3	31.4442
15.4	31.3927
15.5	31.3414
15.6	31.2905
15.7	31.2398
15.8	31.1894
15.9	31.1393
16	31.0894
16.1	31.0399
16.2	30.9905
16.3	30.9414
16.4	30.8926
16.5	30.8441
16.6	30.7957
16.7	30.7477
16.8	30.6998
16.9	30.6522
17	30.6049
17.1	30.5577
17.2	30.5108
17.3	30.4641
17.4	30.4177
