Time(ms)	Membrane_Voltage(mV)
-5	-88.6525
-4.9	-88.6525
-4.8	-88.6525
-4.7	-88.6525
-4.6	-88.6525
-4.5	-88.6525
-4.4	-88.6525
-4.3	-88.6525
-4.2	-88.6525
-4.1	-88.6525
-4	-88.6525
-3.9	-88.6525
-3.8	-88.6525
-3.7	-88.6525
-3.6	-88.6525
-3.5	-88.6525
-3.4	-88.6525
-3.3	-88.6525
-3.2	-88.6525
-3.1	-88.6525
-3	-88.6525
-2.9	-88.6525
-2.8	-88.6525
-2.7	-88.6525
-2.6	-88.6525
-2.5	-88.6525
-2.4	-88.6525
-2.3	-88.6525
-2.2	-88.6525
-2.1	-88.6525
-2	-88.6525
-1.9	-88.6525
-1.8	-88.6525
-1.7	-88.6525
-1.6	-88.6525
-1.5	-88.6525
-1.4	-88.6525
-1.3	-88.6525
-1.2	-88.6525
-1.1	-88.6525
-1	-88.6525
-0.9	-88.6525
-0.8	-88.6525
-0.7	-88.6525
-0.6	-88.6525
-0.5	-88.6525
-0.4	-88.6525
-0.3	-88.6525
-0.2	-88.6525
-0.1	-88.6525
0	-88.6525
0.1	-80.7398
0.2	-72.8874
0.3	-65.0049
0.4	-57.0683
0.5	-49.0439
0.6	-48.7571
0.7	-47.9852
0.8	-46.5473
0.9	-44.2098
1	-40.5021
1.1	-34.2636
1.2	-22.3383
1.3	0.93762
1.4	23.8471
1.5	29.8417
1.6	31.418
1.7	32.5371
1.8	33.5126
1.9	34.3733
2	35.1317
2.1	35.7989
2.2	36.3844
2.3	36.8969
2.4	37.3441
2.5	37.733
2.6	38.0697
2.7	38.3598
2.8	38.6081
2.9	38.8192
3	38.9969
3.1	39.1448
3.2	39.266
3.3	39.3634
3.4	39.4395
3.5	39.4967
3.6	39.5368
3.7	39.5619
3.8	39.5734
3.9	39.573
4	39.5618
4.1	39.5411
4.2	39.512
4.3	39.4755
4.4	39.4323
4.5	39.3832
4.6	39.3291
4.7	39.2704
4.8	39.2077
4.9	39.1417
5	39.0726
5.1	39.0009
5.2	38.927
5.3	38.8512
5.4	38.7738
5.5	38.6951
5.6	38.6153
5.7	38.5346
5.8	38.4532
5.9	38.3712
6	38.289
6.1	38.2064
6.2	38.1238
6.3	38.0411
6.4	37.9586
6.5	37.8762
6.6	37.7941
6.7	37.7122
6.8	37.6308
6.9	37.5498
7	37.4693
7.1	37.3893
7.2	37.3098
7.3	37.2309
7.4	37.1526
7.5	37.075
7.6	36.998
7.7	36.9217
7.8	36.846
7.9	36.771
8	36.6968
8.1	36.6232
8.2	36.5503
8.3	36.4781
8.4	36.4067
8.5	36.3359
8.6	36.2659
8.7	36.1966
8.8	36.1279
8.9	36.06
9	35.9928
9.1	35.9262
9.2	35.8604
9.3	35.7952
9.4	35.7307
9.5	35.6668
9.6	35.6036
9.7	35.5411
9.8	35.4792
9.9	35.4179
10	35.3573
10.1	35.2973
10.2	35.2379
10.3	35.1791
10.4	35.1209
10.5	35.0633
10.6	35.0062
10.7	34.9498
10.8	34.8939
10.9	34.8385
11	34.7837
11.1	34.7294
11.2	34.6757
11.3	34.6225
11.4	34.5698
11.5	34.5176
11.6	34.4659
11.7	34.4147
11.8	34.3639
11.9	34.3137
12	34.2639
12.1	34.2146
12.2	34.1657
12.3	34.1173
12.4	34.0693
12.5	34.0218
12.6	33.9747
12.7	33.928
12.8	33.8817
12.9	33.8358
13	33.7904
13.1	33.7453
13.2	33.7006
13.3	33.6563
13.4	33.6124
13.5	33.5688
13.6	33.5256
13.7	33.4828
13.8	33.4403
13.9	33.3982
14	33.3564
14.1	33.315
14.2	33.2738
14.3	33.2331
14.4	33.1926
14.5	33.1525
14.6	33.1126
14.7	33.0731
14.8	33.0339
14.9	32.995
15	32.9564
15.1	32.9181
15.2	32.8801
15.3	32.8423
15.4	32.8048
15.5	32.7676
15.6	32.7307
15.7	32.6941
15.8	32.6577
15.9	32.6216
16	32.5857
16.1	32.5501
16.2	32.5147
16.3	32.4796
16.4	32.4447
16.5	32.4101
16.6	32.3757
16.7	32.3415
16.8	32.3075
16.9	32.2738
17	32.2403
17.1	32.2071
17.2	32.174
17.3	32.1412
17.4	32.1085
17.5	32.0761
17.6	32.0439
17.7	32.0119
17.8	31.9801
17.9	31.9485
18	31.9171
18.1	31.8859
18.2	31.8548
18.3	31.824
18.4	31.7933
18.5	31.7629
18.6	31.7326
18.7	31.7025
18.8	31.6725
18.9	31.6428
19	31.6132
19.1	31.5838
19.2	31.5545
19.3	31.5255
19.4	31.4965
19.5	31.4678
19.6	31.4392
19.7	31.4107
19.8	31.3825
19.9	31.3543
20	31.3264
20.1	31.2985
20.2	31.2709
20.3	31.2433
20.4	31.216
20.5	31.1887
20.6	31.1616
20.7	31.1347
20.8	31.1079
20.9	31.0812
21	31.0546
21.1	31.0282
21.2	31.002
21.3	30.9758
21.4	30.9498
21.5	30.9239
21.6	30.8981
21.7	30.8725
21.8	30.847
21.9	30.8216
22	30.7963
22.1	30.7712
22.2	30.7462
22.3	30.7213
22.4	30.6965
22.5	30.6718
22.6	30.6472
22.7	30.6228
22.8	30.5984
22.9	30.5742
23	30.5501
23.1	30.526
23.2	30.5021
23.3	30.4783
23.4	30.4546
23.5	30.431
23.6	30.4075
23.7	30.3841
23.8	30.3609
23.9	30.3377
24	30.3146
24.1	30.2916
24.2	30.2687
24.3	30.2458
24.4	30.2231
24.5	30.2005
24.6	30.178
24.7	30.1555
24.8	30.1332
24.9	30.1109
25	30.0888
25.1	30.0667
25.2	30.0447
25.3	30.0228
25.4	30.001
25.5	29.9792
25.6	29.9576
25.7	29.936
25.8	29.9145
25.9	29.8931
26	29.8718
26.1	29.8505
26.2	29.8293
26.3	29.8083
26.4	29.7872
26.5	29.7663
26.6	29.7454
26.7	29.7246
26.8	29.7039
26.9	29.6833
27	29.6627
27.1	29.6422
27.2	29.6218
27.3	29.6015
27.4	29.5812
27.5	29.561
27.6	29.5408
27.7	29.5208
27.8	29.5007
27.9	29.4808
28	29.4609
28.1	29.4411
28.2	29.4214
28.3	29.4017
28.4	29.3821
28.5	29.3626
28.6	29.3431
28.7	29.3237
28.8	29.3043
28.9	29.285
29	29.2658
29.1	29.2466
29.2	29.2275
29.3	29.2084
29.4	29.1894
29.5	29.1705
29.6	29.1516
29.7	29.1328
29.8	29.114
29.9	29.0953
30	29.0766
30.1	29.058
30.2	29.0395
30.3	29.021
30.4	29.0026
30.5	28.9842
30.6	28.9658
30.7	28.9476
30.8	28.9293
30.9	28.9112
31	28.893
31.1	28.875
31.2	28.857
31.3	28.839
31.4	28.8211
31.5	28.8032
31.6	28.7854
31.7	28.7676
31.8	28.7499
31.9	28.7322
32	28.7146
32.1	28.697
32.2	28.6794
32.3	28.6619
32.4	28.6445
32.5	28.6271
32.6	28.6097
32.7	28.5924
32.8	28.5751
32.9	28.5579
33	28.5407
33.1	28.5236
33.2	28.5065
33.3	28.4895
33.4	28.4724
33.5	28.4555
33.6	28.4385
33.7	28.4217
33.8	28.4048
33.9	28.388
34	28.3712
34.1	28.3545
34.2	28.3378
34.3	28.3212
34.4	28.3046
34.5	28.288
34.6	28.2715
34.7	28.255
34.8	28.2385
34.9	28.2221
35	28.2057
35.1	28.1894
35.2	28.1731
35.3	28.1568
35.4	28.1406
35.5	28.1244
35.6	28.1082
35.7	28.0921
35.8	28.076
35.9	28.0599
36	28.0439
36.1	28.0279
36.2	28.012
36.3	27.996
36.4	27.9801
36.5	27.9643
36.6	27.9485
36.7	27.9327
36.8	27.9169
36.9	27.9012
37	27.8855
37.1	27.8698
37.2	27.8542
37.3	27.8386
37.4	27.823
37.5	27.8075
37.6	27.7919
37.7	27.7765
37.8	27.761
37.9	27.7456
38	27.7302
38.1	27.7148
38.2	27.6995
38.3	27.6842
38.4	27.6689
38.5	27.6537
38.6	27.6384
38.7	27.6232
38.8	27.6081
38.9	27.5929
39	27.5778
39.1	27.5628
39.2	27.5477
39.3	27.5327
39.4	27.5177
39.5	27.5027
39.6	27.4877
39.7	27.4728
39.8	27.4579
39.9	27.443
40	27.4282
40.1	27.4134
40.2	27.3986
40.3	27.3838
40.4	27.369
40.5	27.3543
40.6	27.3396
40.7	27.3249
40.8	27.3103
40.9	27.2957
41	27.281
41.1	27.2665
41.2	27.2519
41.3	27.2374
41.4	27.2229
41.5	27.2084
41.6	27.1939
41.7	27.1794
41.8	27.165
41.9	27.1506
42	27.1362
42.1	27.1219
42.2	27.1075
42.3	27.0932
42.4	27.0789
42.5	27.0647
42.6	27.0504
42.7	27.0362
42.8	27.022
42.9	27.0078
43	26.9936
43.1	26.9794
43.2	26.9653
43.3	26.9512
43.4	26.9371
43.5	26.923
43.6	26.909
43.7	26.895
43.8	26.8809
43.9	26.867
44	26.853
44.1	26.839
44.2	26.8251
44.3	26.8112
44.4	26.7973
44.5	26.7834
44.6	26.7695
44.7	26.7557
44.8	26.7418
44.9	26.728
45	26.7142
45.1	26.7005
45.2	26.6867
45.3	26.6729
45.4	26.6592
45.5	26.6455
45.6	26.6318
45.7	26.6181
45.8	26.6045
45.9	26.5908
46	26.5772
46.1	26.5636
46.2	26.55
46.3	26.5364
46.4	26.5229
46.5	26.5093
46.6	26.4958
46.7	26.4823
46.8	26.4688
46.9	26.4553
47	26.4418
47.1	26.4284
47.2	26.4149
47.3	26.4015
47.4	26.3881
47.5	26.3747
47.6	26.3613
47.7	26.348
47.8	26.3346
47.9	26.3213
48	26.308
48.1	26.2947
48.2	26.2814
48.3	26.2681
48.4	26.2548
48.5	26.2416
48.6	26.2283
48.7	26.2151
48.8	26.2019
48.9	26.1887
49	26.1755
49.1	26.1623
49.2	26.1492
49.3	26.136
49.4	26.1229
49.5	26.1098
49.6	26.0967
49.7	26.0836
49.8	26.0705
49.9	26.0574
50	26.0443
50.1	26.0313
50.2	26.0183
50.3	26.0052
50.4	25.9922
50.5	25.9792
50.6	25.9662
50.7	25.9533
50.8	25.9403
50.9	25.9274
51	25.9144
51.1	25.9015
51.2	25.8886
51.3	25.8757
51.4	25.8628
51.5	25.8499
51.6	25.837
51.7	25.8241
51.8	25.8113
51.9	25.7985
52	25.7856
52.1	25.7728
52.2	25.76
52.3	25.7472
52.4	25.7344
52.5	25.7216
52.6	25.7089
52.7	25.6961
52.8	25.6834
52.9	25.6706
53	25.6579
53.1	25.6452
53.2	25.6325
53.3	25.6198
53.4	25.6071
53.5	25.5944
53.6	25.5817
53.7	25.5691
53.8	25.5564
53.9	25.5438
54	25.5312
54.1	25.5185
54.2	25.5059
54.3	25.4933
54.4	25.4807
54.5	25.4681
54.6	25.4556
54.7	25.443
54.8	25.4304
54.9	25.4179
55	25.4054
55.1	25.3928
55.2	25.3803
55.3	25.3678
55.4	25.3553
55.5	25.3428
55.6	25.3303
55.7	25.3178
55.8	25.3053
55.9	25.2929
56	25.2804
56.1	25.268
56.2	25.2555
56.3	25.2431
56.4	25.2307
56.5	25.2182
56.6	25.2058
56.7	25.1934
56.8	25.181
56.9	25.1686
57	25.1563
57.1	25.1439
57.2	25.1315
57.3	25.1192
57.4	25.1068
57.5	25.0945
57.6	25.0822
57.7	25.0698
57.8	25.0575
57.9	25.0452
58	25.0329
58.1	25.0206
58.2	25.0083
58.3	24.996
58.4	24.9837
58.5	24.9715
58.6	24.9592
58.7	24.9469
58.8	24.9347
58.9	24.9224
59	24.9102
59.1	24.898
59.2	24.8858
59.3	24.8735
59.4	24.8613
59.5	24.8491
59.6	24.8369
59.7	24.8247
59.8	24.8125
59.9	24.8004
60	24.7882
60.1	24.776
60.2	24.7639
60.3	24.7517
60.4	24.7396
60.5	24.7274
60.6	24.7153
60.7	24.7032
60.8	24.691
60.9	24.6789
61	24.6668
61.1	24.6547
61.2	24.6426
61.3	24.6305
61.4	24.6184
61.5	24.6063
61.6	24.5942
61.7	24.5822
61.8	24.5701
61.9	24.558
62	24.546
62.1	24.5339
62.2	24.5219
62.3	24.5098
