Concentration(uM)	Concentration_Drug_1(uM)	Concentration_Drug_2(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.583	41.9177	236.969	289.85	0.00191386,0.00397159,0.00629425,0.0079539,0.00915721,0.0149571,0.0238397,0.0268298,0.0311728,0.0383039,0.0424143
0.00177828	227.582	41.9174	236.994	289.884	0.00347709,0.00711883,0.0112425,0.0141967,0.0163156,0.02664,0.0424386,0.0477464,0.0554534,0.0681389,0.0754703
0.00316228	227.584	41.9168	237.04	289.944	0.00625041,0.0126663,0.0200285,0.0249556,0.0290964,0.0474258,0.0755223,0.0849726,0.0986331,0.121178,0.134219
0.00562341	227.585	41.9159	237.121	290.051	0.0106817,0.0226805,0.035749,0.0444168,0.0517449,0.0843807,0.134308,0.15104,0.175381,0.215345,0.238539
0.01	227.583	41.9141	237.264	290.242	0.020031,0.0404115,0.0636461,0.0801863,0.0921806,0.150064,0.238768,0.268413,0.311756,0.38245,0.423744
0.0177828	227.584	41.911	237.519	290.58	0.0358817,0.0720288,0.113302,0.142694,0.163926,0.266741,0.424237,0.476152,0.553519,0.678565,0.751959
0.0316228	227.587	41.9055	237.972	291.18	0.064639,0.128552,0.201651,0.253892,0.291293,0.473911,0.753057,0.846047,0.981407,1.20221,1.33215
0.0562341	227.589	41.8958	238.774	292.245	0.119223,0.229506,0.359085,0.451792,0.519209,0.841212,1.33482,1.49893,1.73965,2.12781,2.35311
0.1	227.598	41.8783	240.192	294.128	0.215911,0.410528,0.644331,0.804262,0.926794,1.49105,2.36002,2.65016,3.0794,3.74417,4.1421
0.177828	227.606	41.8473	242.687	297.447	0.431955,0.734073,1.15217,1.43113,1.6471,2.63643,4.14908,4.65613,5.42346,6.53095,7.26617
0.316228	227.623	41.7921	247.042	303.256	0.905608,1.38603,2.0893,2.5545,2.93142,4.64067,7.25897,8.11545,9.43464,11.2262,12.6418
0.562341	227.662	41.6938	254.545	313.307	1.7969,2.5884,3.75388,4.5918,5.18646,8.10904,12.5349,13.9924,16.0241,18.9345,21.31
1	227.735	41.5207	267.195	330.36	3.61586,4.96562,6.85129,8.25869,9.11872,13.9933,21.3667,23.7068,26.668,30.9111,34.8691
1.77828	227.87	41.2261	287.732	358.301	6.95183,9.34649,12.2184,14.4353,15.9814,23.6345,35.2387,38.2906,42.8587,48.8216,54.6111
3.16228	228.113	40.7749	318.84	401.206	12.6205,16.8733,21.3909,24.7573,26.841,38.439,54.6819,58.5918,64.3035,72.1191,79.9988
5.62341	228.471	40.2329	360.159	459.573	23.1796,28.7,35.2487,39.7911,42.7124,58.5791,77.9063,82.6848,88.012,97.3604,105.113
10	228.869	39.7827	403.394	523.721	38.0044,45.6443,53.5404,58.7864,62.26,80.7138,99.5081,103.749,107.923,115.993,123.212
17.7828	229.128	39.5573	432.171	572.848	55.2873,63.4013,71.8664,77.177,80.7265,97.6655,111.227,114.223,118.133,123.177,128.21
31.6228	232.761	39.5734	434.849	591.717	69.8952,78.2305,83.538,88.1681,91.3602,104.176,114.019,115.525,117.523,122.326,126.453
56.2341	236.851	39.7577	413.92	583.13	77.8548,81.9747,86.1254,89.345,91.3887,101.213,109.18,110.809,112.934,115.83,120.624
100	240.491	39.997	378.676	557.604	76.6388,78.7806,81.6892,83.3405,85.1763,92.4054,100.449,102.325,104.384,108.846,111.994
