Time(ms)	Membrane_Voltage(mV)
-5	-88.5208
-4.9	-88.5208
-4.8	-88.5208
-4.7	-88.5208
-4.6	-88.5208
-4.5	-88.5208
-4.4	-88.5208
-4.3	-88.5208
-4.2	-88.5208
-4.1	-88.5208
-4	-88.5208
-3.9	-88.5208
-3.8	-88.5208
-3.7	-88.5208
-3.6	-88.5208
-3.5	-88.5208
-3.4	-88.5208
-3.3	-88.5208
-3.2	-88.5208
-3.1	-88.5208
-3	-88.5208
-2.9	-88.5208
-2.8	-88.5208
-2.7	-88.5208
-2.6	-88.5208
-2.5	-88.5208
-2.4	-88.5208
-2.3	-88.5208
-2.2	-88.5208
-2.1	-88.5208
-2	-88.5208
-1.9	-88.5208
-1.8	-88.5208
-1.7	-88.5208
-1.6	-88.5208
-1.5	-88.5208
-1.4	-88.5208
-1.3	-88.5208
-1.2	-88.5208
-1.1	-88.5208
-1	-88.5208
-0.9	-88.5208
-0.8	-88.5208
-0.7	-88.5208
-0.6	-88.5208
-0.5	-88.5208
-0.4	-88.5208
-0.3	-88.5208
-0.2	-88.5208
-0.1	-88.5208
0	-88.5208
0.1	-80.6077
0.2	-72.7548
0.3	-64.8724
0.4	-56.9367
0.5	-48.9133
0.6	-48.6273
0.7	-47.8587
0.8	-46.4304
0.9	-44.1167
1	-40.4676
1.1	-34.3921
1.2	-23.0054
1.3	-1.1474
1.4	21.6331
1.5	28.4687
1.6	30.2101
1.7	31.3855
1.8	32.424
1.9	33.36
2	34.2031
2.1	34.9618
2.2	35.6437
2.3	36.2562
2.4	36.8061
2.5	37.2995
2.6	37.7422
2.7	38.1392
2.8	38.4952
2.9	38.8144
3	39.1006
3.1	39.3572
3.2	39.5872
3.3	39.7933
3.4	39.978
3.5	40.1435
3.6	40.2916
3.7	40.4242
3.8	40.5427
3.9	40.6486
4	40.7432
4.1	40.8274
4.2	40.9024
4.3	40.969
4.4	41.0281
4.5	41.0802
4.6	41.1262
4.7	41.1665
4.8	41.2018
4.9	41.2324
5	41.2589
5.1	41.2816
5.2	41.3008
5.3	41.3169
5.4	41.3302
5.5	41.3409
5.6	41.3492
5.7	41.3555
5.8	41.3598
5.9	41.3624
6	41.3635
6.1	41.3631
6.2	41.3614
6.3	41.3586
6.4	41.3547
6.5	41.3499
6.6	41.3442
6.7	41.3378
6.8	41.3307
6.9	41.323
7	41.3147
7.1	41.306
7.2	41.2969
7.3	41.2873
7.4	41.2775
7.5	41.2673
7.6	41.257
7.7	41.2464
7.8	41.2356
7.9	41.2247
8	41.2137
8.1	41.2026
8.2	41.1915
8.3	41.1802
8.4	41.169
8.5	41.1578
8.6	41.1465
8.7	41.1353
8.8	41.1242
8.9	41.113
9	41.102
9.1	41.091
9.2	41.0801
9.3	41.0693
9.4	41.0586
9.5	41.0479
9.6	41.0374
9.7	41.027
9.8	41.0168
9.9	41.0066
10	40.9966
10.1	40.9867
10.2	40.9769
10.3	40.9673
10.4	40.9578
10.5	40.9484
10.6	40.9392
10.7	40.9301
10.8	40.9211
10.9	40.9123
11	40.9036
11.1	40.8951
11.2	40.8867
11.3	40.8785
11.4	40.8703
11.5	40.8623
11.6	40.8545
11.7	40.8467
11.8	40.8392
11.9	40.8317
12	40.8243
12.1	40.8171
12.2	40.81
12.3	40.8031
12.4	40.7962
12.5	40.7895
12.6	40.7829
12.7	40.7763
12.8	40.77
12.9	40.7637
13	40.7575
13.1	40.7514
13.2	40.7454
13.3	40.7395
13.4	40.7337
13.5	40.728
13.6	40.7224
13.7	40.7169
13.8	40.7115
13.9	40.7062
14	40.7009
14.1	40.6957
14.2	40.6906
14.3	40.6855
14.4	40.6806
14.5	40.6757
14.6	40.6708
14.7	40.6661
14.8	40.6613
14.9	40.6567
15	40.6521
15.1	40.6475
15.2	40.643
15.3	40.6386
15.4	40.6342
15.5	40.6299
15.6	40.6255
15.7	40.6213
15.8	40.617
15.9	40.6128
16	40.6087
16.1	40.6045
16.2	40.6004
16.3	40.5963
16.4	40.5923
16.5	40.5883
16.6	40.5843
16.7	40.5803
16.8	40.5763
16.9	40.5723
17	40.5684
17.1	40.5645
17.2	40.5606
17.3	40.5566
17.4	40.5527
17.5	40.5488
17.6	40.545
17.7	40.5411
17.8	40.5372
17.9	40.5333
18	40.5294
18.1	40.5255
18.2	40.5216
18.3	40.5177
18.4	40.5138
18.5	40.5098
18.6	40.5059
18.7	40.5019
18.8	40.498
18.9	40.494
19	40.49
19.1	40.486
19.2	40.482
19.3	40.4779
19.4	40.4738
19.5	40.4697
19.6	40.4656
19.7	40.4615
19.8	40.4573
19.9	40.4531
20	40.4489
20.1	40.4447
20.2	40.4404
20.3	40.4361
20.4	40.4318
20.5	40.4274
20.6	40.423
20.7	40.4186
20.8	40.4142
20.9	40.4097
21	40.4051
21.1	40.4006
21.2	40.396
21.3	40.3914
21.4	40.3867
21.5	40.382
21.6	40.3772
21.7	40.3724
21.8	40.3676
21.9	40.3627
22	40.3578
22.1	40.3529
22.2	40.3479
22.3	40.3429
22.4	40.3378
22.5	40.3327
22.6	40.3275
22.7	40.3223
22.8	40.317
22.9	40.3117
23	40.3064
23.1	40.301
23.2	40.2956
23.3	40.2901
23.4	40.2845
23.5	40.279
23.6	40.2733
23.7	40.2677
23.8	40.2619
23.9	40.2562
24	40.2503
24.1	40.2445
24.2	40.2386
24.3	40.2326
24.4	40.2266
24.5	40.2205
24.6	40.2144
24.7	40.2082
24.8	40.202
24.9	40.1957
25	40.1894
25.1	40.1831
25.2	40.1766
25.3	40.1702
25.4	40.1636
25.5	40.1571
25.6	40.1504
25.7	40.1438
25.8	40.137
25.9	40.1302
26	40.1234
26.1	40.1165
26.2	40.1096
26.3	40.1026
26.4	40.0956
26.5	40.0885
26.6	40.0813
26.7	40.0741
26.8	40.0669
26.9	40.0596
27	40.0522
27.1	40.0448
27.2	40.0374
27.3	40.0298
27.4	40.0223
27.5	40.0147
27.6	40.007
27.7	39.9993
27.8	39.9915
27.9	39.9837
28	39.9758
28.1	39.9679
28.2	39.9599
28.3	39.9519
28.4	39.9438
28.5	39.9356
28.6	39.9274
28.7	39.9192
28.8	39.9109
28.9	39.9026
29	39.8942
29.1	39.8857
29.2	39.8772
29.3	39.8687
29.4	39.8601
29.5	39.8514
29.6	39.8427
29.7	39.834
29.8	39.8251
29.9	39.8163
30	39.8074
30.1	39.7984
30.2	39.7894
30.3	39.7804
30.4	39.7712
30.5	39.7621
30.6	39.7529
30.7	39.7436
30.8	39.7343
30.9	39.7249
31	39.7155
31.1	39.7061
31.2	39.6966
31.3	39.687
31.4	39.6774
31.5	39.6678
31.6	39.6581
31.7	39.6483
31.8	39.6385
31.9	39.6287
32	39.6188
32.1	39.6088
32.2	39.5988
32.3	39.5888
32.4	39.5787
32.5	39.5685
32.6	39.5584
32.7	39.5481
32.8	39.5379
32.9	39.5275
33	39.5172
33.1	39.5067
33.2	39.4963
33.3	39.4858
33.4	39.4752
33.5	39.4646
33.6	39.4539
33.7	39.4432
33.8	39.4325
33.9	39.4217
34	39.4109
34.1	39.4
34.2	39.3891
34.3	39.3781
34.4	39.3671
34.5	39.356
34.6	39.3449
34.7	39.3338
34.8	39.3226
34.9	39.3114
35	39.3001
35.1	39.2888
35.2	39.2774
35.3	39.266
35.4	39.2546
35.5	39.2431
35.6	39.2315
35.7	39.2199
35.8	39.2083
35.9	39.1967
36	39.1849
36.1	39.1732
36.2	39.1614
36.3	39.1496
36.4	39.1377
36.5	39.1258
36.6	39.1138
36.7	39.1018
36.8	39.0898
36.9	39.0777
37	39.0656
37.1	39.0534
37.2	39.0412
37.3	39.029
37.4	39.0167
37.5	39.0044
37.6	38.992
37.7	38.9796
37.8	38.9672
37.9	38.9547
38	38.9422
38.1	38.9296
38.2	38.917
38.3	38.9044
38.4	38.8917
38.5	38.879
38.6	38.8662
38.7	38.8535
38.8	38.8406
38.9	38.8278
39	38.8149
39.1	38.8019
39.2	38.7889
39.3	38.7759
39.4	38.7629
39.5	38.7498
39.6	38.7367
39.7	38.7235
39.8	38.7103
39.9	38.6971
40	38.6838
40.1	38.6705
40.2	38.6572
40.3	38.6438
40.4	38.6304
40.5	38.6169
40.6	38.6034
40.7	38.5899
40.8	38.5764
40.9	38.5628
41	38.5492
41.1	38.5355
41.2	38.5218
41.3	38.5081
41.4	38.4943
41.5	38.4805
41.6	38.4667
41.7	38.4529
41.8	38.439
41.9	38.425
42	38.4111
42.1	38.3971
42.2	38.3831
42.3	38.369
42.4	38.3549
42.5	38.3408
42.6	38.3266
42.7	38.3125
42.8	38.2982
42.9	38.284
43	38.2697
43.1	38.2554
43.2	38.241
43.3	38.2267
43.4	38.2123
43.5	38.1978
43.6	38.1833
43.7	38.1688
43.8	38.1543
43.9	38.1398
44	38.1252
44.1	38.1105
44.2	38.0959
44.3	38.0812
44.4	38.0665
44.5	38.0517
44.6	38.037
44.7	38.0222
44.8	38.0073
44.9	37.9925
45	37.9776
45.1	37.9627
45.2	37.9477
45.3	37.9328
45.4	37.9178
45.5	37.9027
45.6	37.8877
45.7	37.8726
45.8	37.8575
45.9	37.8423
46	37.8272
46.1	37.812
46.2	37.7967
46.3	37.7815
46.4	37.7662
46.5	37.7509
46.6	37.7356
46.7	37.7202
46.8	37.7048
46.9	37.6894
47	37.674
47.1	37.6585
47.2	37.643
47.3	37.6275
47.4	37.6119
47.5	37.5964
47.6	37.5808
47.7	37.5651
47.8	37.5495
47.9	37.5338
48	37.5181
48.1	37.5024
48.2	37.4867
48.3	37.4709
48.4	37.4551
48.5	37.4393
48.6	37.4234
48.7	37.4076
48.8	37.3917
48.9	37.3758
49	37.3598
49.1	37.3438
49.2	37.3279
49.3	37.3118
49.4	37.2958
49.5	37.2798
49.6	37.2637
49.7	37.2476
49.8	37.2314
49.9	37.2153
50	37.1991
50.1	37.1829
50.2	37.1667
50.3	37.1505
50.4	37.1342
50.5	37.1179
50.6	37.1016
50.7	37.0853
50.8	37.0689
50.9	37.0526
51	37.0362
51.1	37.0197
51.2	37.0033
51.3	36.9868
51.4	36.9704
51.5	36.9539
51.6	36.9373
51.7	36.9208
51.8	36.9042
51.9	36.8877
52	36.8711
52.1	36.8544
52.2	36.8378
52.3	36.8211
52.4	36.8044
52.5	36.7877
52.6	36.771
52.7	36.7543
52.8	36.7375
52.9	36.7207
53	36.7039
53.1	36.6871
53.2	36.6703
53.3	36.6534
53.4	36.6366
53.5	36.6197
53.6	36.6027
53.7	36.5858
53.8	36.5689
53.9	36.5519
54	36.5349
54.1	36.5179
54.2	36.5009
54.3	36.4838
54.4	36.4668
54.5	36.4497
54.6	36.4326
54.7	36.4155
54.8	36.3984
54.9	36.3812
55	36.3641
55.1	36.3469
55.2	36.3297
55.3	36.3125
55.4	36.2953
55.5	36.278
55.6	36.2608
55.7	36.2435
55.8	36.2262
55.9	36.2089
56	36.1916
56.1	36.1742
56.2	36.1569
56.3	36.1395
56.4	36.1221
56.5	36.1047
56.6	36.0873
56.7	36.0699
56.8	36.0524
56.9	36.0349
57	36.0175
57.1	36
57.2	35.9825
57.3	35.9649
57.4	35.9474
57.5	35.9299
57.6	35.9123
57.7	35.8947
57.8	35.8771
57.9	35.8595
58	35.8419
58.1	35.8243
58.2	35.8066
58.3	35.7889
58.4	35.7713
58.5	35.7536
58.6	35.7359
58.7	35.7182
58.8	35.7004
58.9	35.6827
59	35.6649
59.1	35.6472
59.2	35.6294
59.3	35.6116
59.4	35.5938
59.5	35.576
59.6	35.5582
59.7	35.5403
59.8	35.5225
59.9	35.5046
60	35.4867
60.1	35.4688
60.2	35.4509
60.3	35.433
60.4	35.4151
60.5	35.3972
60.6	35.3792
60.7	35.3613
60.8	35.3433
60.9	35.3253
61	35.3074
61.1	35.2894
61.2	35.2713
61.3	35.2533
61.4	35.2353
61.5	35.2173
61.6	35.1992
61.7	35.1811
61.8	35.1631
61.9	35.145
62	35.1269
62.1	35.1088
62.2	35.0907
62.3	35.0726
62.4	35.0544
62.5	35.0363
62.6	35.0182
62.7	35
62.8	34.9818
62.9	34.9637
63	34.9455
63.1	34.9273
63.2	34.9091
63.3	34.8909
63.4	34.8727
63.5	34.8544
63.6	34.8362
63.7	34.818
63.8	34.7997
63.9	34.7814
64	34.7632
64.1	34.7449
64.2	34.7266
64.3	34.7083
64.4	34.69
64.5	34.6717
64.6	34.6534
64.7	34.6351
64.8	34.6168
64.9	34.5984
65	34.5801
65.1	34.5617
65.2	34.5434
65.3	34.525
65.4	34.5067
65.5	34.4883
65.6	34.4699
65.7	34.4515
65.8	34.4331
65.9	34.4147
66	34.3963
66.1	34.3779
66.2	34.3595
66.3	34.3411
66.4	34.3226
66.5	34.3042
66.6	34.2857
66.7	34.2673
66.8	34.2488
66.9	34.2304
67	34.2119
67.1	34.1935
67.2	34.175
67.3	34.1565
67.4	34.138
67.5	34.1195
67.6	34.101
67.7	34.0825
67.8	34.064
67.9	34.0455
68	34.027
68.1	34.0085
68.2	33.99
68.3	33.9714
68.4	33.9529
68.5	33.9344
68.6	33.9158
68.7	33.8973
68.8	33.8788
68.9	33.8602
69	33.8417
69.1	33.8231
69.2	33.8045
69.3	33.786
69.4	33.7674
69.5	33.7488
69.6	33.7303
69.7	33.7117
69.8	33.6931
69.9	33.6745
70	33.6559
70.1	33.6374
70.2	33.6188
70.3	33.6002
70.4	33.5816
70.5	33.563
70.6	33.5444
70.7	33.5258
70.8	33.5072
70.9	33.4886
71	33.47
71.1	33.4513
71.2	33.4327
71.3	33.4141
71.4	33.3955
71.5	33.3769
71.6	33.3583
71.7	33.3396
71.8	33.321
71.9	33.3024
72	33.2837
72.1	33.2651
72.2	33.2465
72.3	33.2279
72.4	33.2092
72.5	33.1906
72.6	33.172
72.7	33.1533
72.8	33.1347
72.9	33.116
73	33.0974
73.1	33.0788
73.2	33.0601
73.3	33.0415
73.4	33.0228
73.5	33.0042
73.6	32.9856
73.7	32.9669
73.8	32.9483
73.9	32.9296
74	32.911
74.1	32.8923
74.2	32.8737
74.3	32.855
74.4	32.8364
74.5	32.8178
74.6	32.7991
74.7	32.7805
74.8	32.7618
74.9	32.7432
75	32.7245
75.1	32.7059
75.2	32.6873
75.3	32.6686
75.4	32.65
75.5	32.6313
75.6	32.6127
75.7	32.5941
75.8	32.5754
75.9	32.5568
76	32.5382
76.1	32.5195
76.2	32.5009
76.3	32.4823
76.4	32.4636
76.5	32.445
76.6	32.4264
76.7	32.4077
76.8	32.3891
76.9	32.3705
77	32.3519
77.1	32.3332
77.2	32.3146
77.3	32.296
77.4	32.2774
77.5	32.2588
77.6	32.2402
77.7	32.2215
77.8	32.2029
77.9	32.1843
78	32.1657
78.1	32.1471
78.2	32.1285
78.3	32.1099
78.4	32.0913
78.5	32.0727
78.6	32.0541
78.7	32.0355
78.8	32.0169
78.9	31.9984
79	31.9798
79.1	31.9612
79.2	31.9426
79.3	31.924
79.4	31.9055
79.5	31.8869
79.6	31.8683
79.7	31.8498
79.8	31.8312
79.9	31.8126
80	31.7941
80.1	31.7755
80.2	31.757
80.3	31.7384
80.4	31.7199
80.5	31.7013
80.6	31.6828
80.7	31.6642
80.8	31.6457
80.9	31.6272
81	31.6086
81.1	31.5901
81.2	31.5716
81.3	31.5531
81.4	31.5345
81.5	31.516
81.6	31.4975
81.7	31.479
81.8	31.4605
81.9	31.442
82	31.4235
82.1	31.405
82.2	31.3865
82.3	31.368
82.4	31.3496
82.5	31.3311
82.6	31.3126
82.7	31.2941
82.8	31.2756
82.9	31.2572
83	31.2387
83.1	31.2203
83.2	31.2018
83.3	31.1834
83.4	31.1649
83.5	31.1465
83.6	31.128
83.7	31.1096
83.8	31.0911
83.9	31.0727
84	31.0543
84.1	31.0359
84.2	31.0175
84.3	30.999
84.4	30.9806
84.5	30.9622
84.6	30.9438
84.7	30.9254
84.8	30.907
84.9	30.8886
85	30.8702
85.1	30.8519
85.2	30.8335
85.3	30.8151
85.4	30.7967
85.5	30.7784
85.6	30.76
85.7	30.7416
85.8	30.7233
85.9	30.7049
86	30.6866
86.1	30.6682
86.2	30.6499
86.3	30.6316
86.4	30.6132
86.5	30.5949
86.6	30.5766
86.7	30.5583
86.8	30.54
86.9	30.5217
87	30.5033
87.1	30.485
87.2	30.4667
87.3	30.4485
87.4	30.4302
87.5	30.4119
87.6	30.3936
87.7	30.3753
87.8	30.357
87.9	30.3388
88	30.3205
88.1	30.3023
88.2	30.284
88.3	30.2657
88.4	30.2475
88.5	30.2293
88.6	30.211
88.7	30.1928
88.8	30.1745
88.9	30.1563
89	30.1381
89.1	30.1199
89.2	30.1017
89.3	30.0835
89.4	30.0652
89.5	30.047
89.6	30.0288
89.7	30.0107
89.8	29.9925
89.9	29.9743
90	29.9561
90.1	29.9379
90.2	29.9197
90.3	29.9016
90.4	29.8834
90.5	29.8653
90.6	29.8471
90.7	29.8289
90.8	29.8108
90.9	29.7926
91	29.7745
91.1	29.7564
91.2	29.7382
91.3	29.7201
91.4	29.702
91.5	29.6839
91.6	29.6657
91.7	29.6476
91.8	29.6295
91.9	29.6114
92	29.5933
92.1	29.5752
92.2	29.5571
92.3	29.539
92.4	29.521
92.5	29.5029
92.6	29.4848
92.7	29.4667
92.8	29.4486
92.9	29.4306
93	29.4125
93.1	29.3945
93.2	29.3764
93.3	29.3584
93.4	29.3403
93.5	29.3223
93.6	29.3042
93.7	29.2862
93.8	29.2682
93.9	29.2501
94	29.2321
94.1	29.2141
94.2	29.1961
94.3	29.178
94.4	29.16
94.5	29.142
94.6	29.124
94.7	29.106
94.8	29.088
94.9	29.07
95	29.052
95.1	29.034
95.2	29.0161
95.3	28.9981
95.4	28.9801
95.5	28.9621
95.6	28.9441
95.7	28.9262
95.8	28.9082
95.9	28.8903
96	28.8723
96.1	28.8543
96.2	28.8364
96.3	28.8184
96.4	28.8005
96.5	28.7825
96.6	28.7646
96.7	28.7467
96.8	28.7287
96.9	28.7108
97	28.6929
97.1	28.6749
97.2	28.657
97.3	28.6391
97.4	28.6212
97.5	28.6033
97.6	28.5854
97.7	28.5674
97.8	28.5495
97.9	28.5316
98	28.5137
98.1	28.4958
98.2	28.4779
98.3	28.46
98.4	28.4421
98.5	28.4243
98.6	28.4064
98.7	28.3885
98.8	28.3706
98.9	28.3527
99	28.3348
99.1	28.317
99.2	28.2991
99.3	28.2812
99.4	28.2633
99.5	28.2455
99.6	28.2276
99.7	28.2098
99.8	28.1919
99.9	28.174
100	28.1562
100.1	28.1383
100.2	28.1205
100.3	28.1026
100.4	28.0848
100.5	28.0669
100.6	28.0491
100.7	28.0312
100.8	28.0134
100.9	27.9955
101	27.9777
101.1	27.9599
101.2	27.942
101.3	27.9242
101.4	27.9064
101.5	27.8885
101.6	27.8707
101.7	27.8529
101.8	27.835
101.9	27.8172
102	27.7994
102.1	27.7816
102.2	27.7637
102.3	27.7459
102.4	27.7281
102.5	27.7103
102.6	27.6925
102.7	27.6746
102.8	27.6568
102.9	27.639
103	27.6212
103.1	27.6034
103.2	27.5856
103.3	27.5678
103.4	27.5499
103.5	27.5321
103.6	27.5143
103.7	27.4965
103.8	27.4787
103.9	27.4609
104	27.4431
104.1	27.4253
104.2	27.4075
104.3	27.3897
104.4	27.3719
104.5	27.3541
104.6	27.3362
104.7	27.3184
104.8	27.3006
104.9	27.2828
105	27.265
105.1	27.2472
105.2	27.2294
105.3	27.2116
105.4	27.1938
105.5	27.176
105.6	27.1582
105.7	27.1404
105.8	27.1226
105.9	27.1048
106	27.087
106.1	27.0692
106.2	27.0514
106.3	27.0335
106.4	27.0157
106.5	26.9979
106.6	26.9801
106.7	26.9623
106.8	26.9445
106.9	26.9267
107	26.9089
107.1	26.8911
107.2	26.8733
107.3	26.8554
107.4	26.8376
107.5	26.8198
107.6	26.802
107.7	26.7842
107.8	26.7664
107.9	26.7485
108	26.7307
108.1	26.7129
108.2	26.6951
108.3	26.6773
108.4	26.6594
108.5	26.6416
108.6	26.6238
108.7	26.6059
108.8	26.5881
108.9	26.5703
109	26.5524
109.1	26.5346
109.2	26.5168
109.3	26.4989
109.4	26.4811
109.5	26.4633
109.6	26.4454
109.7	26.4276
109.8	26.4097
109.9	26.3919
110	26.374
110.1	26.3562
110.2	26.3383
110.3	26.3205
110.4	26.3026
110.5	26.2848
110.6	26.2669
110.7	26.249
110.8	26.2312
110.9	26.2133
111	26.1954
111.1	26.1775
111.2	26.1597
111.3	26.1418
111.4	26.1239
111.5	26.106
111.6	26.0882
111.7	26.0703
111.8	26.0524
111.9	26.0345
112	26.0166
112.1	25.9987
112.2	25.9808
112.3	25.9629
112.4	25.945
112.5	25.9271
112.6	25.9092
112.7	25.8912
112.8	25.8733
112.9	25.8554
113	25.8375
113.1	25.8196
113.2	25.8016
113.3	25.7837
113.4	25.7658
113.5	25.7478
113.6	25.7299
113.7	25.7119
113.8	25.694
113.9	25.676
114	25.6581
114.1	25.6401
114.2	25.6221
114.3	25.6042
114.4	25.5862
114.5	25.5682
114.6	25.5503
114.7	25.5323
114.8	25.5143
114.9	25.4963
115	25.4783
115.1	25.4603
115.2	25.4423
115.3	25.4243
115.4	25.4063
115.5	25.3883
115.6	25.3703
115.7	25.3523
115.8	25.3342
115.9	25.3162
116	25.2982
116.1	25.2802
116.2	25.2621
116.3	25.2441
116.4	25.226
116.5	25.208
116.6	25.1899
116.7	25.1718
116.8	25.1538
116.9	25.1357
117	25.1176
117.1	25.0996
117.2	25.0815
117.3	25.0634
117.4	25.0453
117.5	25.0272
117.6	25.0091
117.7	24.991
117.8	24.9729
117.9	24.9548
118	24.9366
118.1	24.9185
118.2	24.9004
118.3	24.8822
118.4	24.8641
118.5	24.846
118.6	24.8278
118.7	24.8097
118.8	24.7915
118.9	24.7733
119	24.7552
119.1	24.737
119.2	24.7188
119.3	24.7006
119.4	24.6824
119.5	24.6642
119.6	24.646
119.7	24.6278
119.8	24.6096
119.9	24.5914
120	24.5732
120.1	24.5549
120.2	24.5367
120.3	24.5185
120.4	24.5002
120.5	24.482
120.6	24.4637
120.7	24.4454
120.8	24.4272
120.9	24.4089
121	24.3906
121.1	24.3723
121.2	24.354
121.3	24.3357
121.4	24.3174
121.5	24.2991
121.6	24.2808
121.7	24.2625
121.8	24.2442
121.9	24.2258
122	24.2075
122.1	24.1891
122.2	24.1708
122.3	24.1524
122.4	24.1341
122.5	24.1157
122.6	24.0973
122.7	24.0789
122.8	24.0605
122.9	24.0422
123	24.0237
123.1	24.0053
123.2	23.9869
123.3	23.9685
123.4	23.9501
123.5	23.9316
123.6	23.9132
123.7	23.8948
123.8	23.8763
123.9	23.8578
124	23.8394
124.1	23.8209
124.2	23.8024
124.3	23.7839
124.4	23.7654
124.5	23.7469
124.6	23.7284
124.7	23.7099
124.8	23.6914
124.9	23.6729
125	23.6543
125.1	23.6358
125.2	23.6173
125.3	23.5987
125.4	23.5801
125.5	23.5616
125.6	23.543
125.7	23.5244
125.8	23.5058
125.9	23.4872
126	23.4686
126.1	23.45
126.2	23.4314
126.3	23.4128
126.4	23.3941
126.5	23.3755
126.6	23.3568
126.7	23.3382
126.8	23.3195
126.9	23.3009
127	23.2822
127.1	23.2635
127.2	23.2448
127.3	23.2261
127.4	23.2074
127.5	23.1887
127.6	23.17
127.7	23.1512
127.8	23.1325
127.9	23.1138
128	23.095
128.1	23.0763
128.2	23.0575
128.3	23.0387
128.4	23.0199
128.5	23.0011
128.6	22.9823
128.7	22.9635
128.8	22.9447
128.9	22.9259
129	22.9071
129.1	22.8882
129.2	22.8694
129.3	22.8506
129.4	22.8317
129.5	22.8128
129.6	22.794
129.7	22.7751
129.8	22.7562
129.9	22.7373
130	22.7184
130.1	22.6995
130.2	22.6805
130.3	22.6616
130.4	22.6427
130.5	22.6237
130.6	22.6048
130.7	22.5858
130.8	22.5668
130.9	22.5479
131	22.5289
131.1	22.5099
131.2	22.4909
131.3	22.4719
131.4	22.4528
131.5	22.4338
