Time(ms)	Membrane_Voltage(mV)
-5	-88.5042
-4.9	-88.5042
-4.8	-88.5042
-4.7	-88.5042
-4.6	-88.5042
-4.5	-88.5042
-4.4	-88.5042
-4.3	-88.5042
-4.2	-88.5042
-4.1	-88.5042
-4	-88.5042
-3.9	-88.5042
-3.8	-88.5042
-3.7	-88.5042
-3.6	-88.5042
-3.5	-88.5042
-3.4	-88.5042
-3.3	-88.5042
-3.2	-88.5042
-3.1	-88.5042
-3	-88.5042
-2.9	-88.5042
-2.8	-88.5042
-2.7	-88.5042
-2.6	-88.5042
-2.5	-88.5042
-2.4	-88.5042
-2.3	-88.5042
-2.2	-88.5042
-2.1	-88.5042
-2	-88.5042
-1.9	-88.5042
-1.8	-88.5042
-1.7	-88.5042
-1.6	-88.5042
-1.5	-88.5042
-1.4	-88.5042
-1.3	-88.5042
-1.2	-88.5042
-1.1	-88.5042
-1	-88.5042
-0.9	-88.5042
-0.8	-88.5042
-0.7	-88.5042
-0.6	-88.5042
-0.5	-88.5042
-0.4	-88.5042
-0.3	-88.5042
-0.2	-88.5042
-0.1	-88.5042
0	-88.5042
0.1	-80.591
0.2	-72.738
0.3	-64.8557
0.4	-56.9201
0.5	-48.8969
0.6	-48.611
0.7	-47.8426
0.8	-46.4153
0.9	-44.1039
1	-40.4607
1.1	-34.402
1.2	-23.071
1.3	-1.36423
1.4	21.3858
1.5	28.3174
1.6	30.0869
1.7	31.2787
1.8	32.3352
1.9	33.291
2	34.1554
2.1	34.936
2.2	35.6404
2.3	36.2757
2.4	36.8485
2.5	37.3649
2.6	37.8304
2.7	38.2503
2.8	38.629
2.9	38.9707
3	39.2793
3.1	39.5579
3.2	39.8096
3.3	40.0371
3.4	40.2427
3.5	40.4285
3.6	40.5965
3.7	40.7484
3.8	40.8856
3.9	41.0096
4	41.1215
4.1	41.2225
4.2	41.3136
4.3	41.3956
4.4	41.4693
4.5	41.5356
4.6	41.595
4.7	41.6481
4.8	41.6955
4.9	41.7377
5	41.7751
5.1	41.8081
5.2	41.8371
5.3	41.8625
5.4	41.8844
5.5	41.9033
5.6	41.9194
5.7	41.9329
5.8	41.944
5.9	41.953
6	41.9599
6.1	41.965
6.2	41.9685
6.3	41.9704
6.4	41.9709
6.5	41.9701
6.6	41.9681
6.7	41.965
6.8	41.961
6.9	41.9561
7	41.9504
7.1	41.9439
7.2	41.9367
7.3	41.9289
7.4	41.9206
7.5	41.9118
7.6	41.9025
7.7	41.8929
7.8	41.8828
7.9	41.8725
8	41.8619
8.1	41.851
8.2	41.8399
8.3	41.8286
8.4	41.8172
8.5	41.8056
8.6	41.794
8.7	41.7822
8.8	41.7704
8.9	41.7585
9	41.7466
9.1	41.7347
9.2	41.7228
9.3	41.7109
9.4	41.6991
9.5	41.6873
9.6	41.6755
9.7	41.6638
9.8	41.6522
9.9	41.6406
10	41.6292
10.1	41.6178
10.2	41.6066
10.3	41.5954
10.4	41.5844
10.5	41.5734
10.6	41.5626
10.7	41.552
10.8	41.5414
10.9	41.531
11	41.5207
11.1	41.5106
11.2	41.5006
11.3	41.4907
11.4	41.481
11.5	41.4714
11.6	41.4619
11.7	41.4526
11.8	41.4435
11.9	41.4344
12	41.4255
12.1	41.4168
12.2	41.4082
12.3	41.3997
12.4	41.3914
12.5	41.3832
12.6	41.3752
12.7	41.3672
12.8	41.3595
12.9	41.3518
13	41.3443
13.1	41.3369
13.2	41.3296
13.3	41.3224
13.4	41.3154
13.5	41.3085
13.6	41.3017
13.7	41.295
13.8	41.2884
13.9	41.2819
14	41.2756
14.1	41.2693
14.2	41.2631
14.3	41.2571
14.4	41.2511
14.5	41.2452
14.6	41.2395
14.7	41.2338
14.8	41.2282
14.9	41.2226
15	41.2172
15.1	41.2118
15.2	41.2065
15.3	41.2013
15.4	41.1962
15.5	41.1911
15.6	41.1861
15.7	41.1811
15.8	41.1762
15.9	41.1714
16	41.1666
16.1	41.1619
16.2	41.1572
16.3	41.1526
16.4	41.148
16.5	41.1435
16.6	41.139
16.7	41.1345
16.8	41.1301
16.9	41.1257
17	41.1213
17.1	41.117
17.2	41.1127
17.3	41.1084
17.4	41.1042
17.5	41.0999
17.6	41.0957
17.7	41.0915
17.8	41.0873
17.9	41.0832
18	41.079
18.1	41.0749
18.2	41.0707
18.3	41.0666
18.4	41.0625
18.5	41.0584
18.6	41.0542
18.7	41.0501
18.8	41.046
18.9	41.0419
19	41.0377
19.1	41.0336
19.2	41.0295
19.3	41.0253
19.4	41.0211
19.5	41.017
19.6	41.0128
19.7	41.0086
19.8	41.0043
19.9	41.0001
20	40.9958
20.1	40.9916
20.2	40.9873
20.3	40.9829
20.4	40.9786
20.5	40.9742
20.6	40.9698
20.7	40.9654
20.8	40.961
20.9	40.9565
21	40.952
21.1	40.9474
21.2	40.9429
21.3	40.9383
21.4	40.9336
21.5	40.929
21.6	40.9242
21.7	40.9195
21.8	40.9147
21.9	40.9099
22	40.9051
22.1	40.9002
22.2	40.8952
22.3	40.8903
22.4	40.8853
22.5	40.8802
22.6	40.8751
22.7	40.87
22.8	40.8648
22.9	40.8596
23	40.8543
23.1	40.849
23.2	40.8436
23.3	40.8382
23.4	40.8328
23.5	40.8273
23.6	40.8218
23.7	40.8162
23.8	40.8105
23.9	40.8049
24	40.7991
24.1	40.7933
24.2	40.7875
24.3	40.7816
24.4	40.7757
24.5	40.7697
24.6	40.7637
24.7	40.7576
24.8	40.7515
24.9	40.7453
25	40.739
25.1	40.7328
25.2	40.7264
25.3	40.72
25.4	40.7136
25.5	40.7071
25.6	40.7005
25.7	40.6939
25.8	40.6873
25.9	40.6806
26	40.6738
26.1	40.667
26.2	40.6601
26.3	40.6532
26.4	40.6462
26.5	40.6392
26.6	40.6321
26.7	40.6249
26.8	40.6177
26.9	40.6105
27	40.6032
27.1	40.5958
27.2	40.5884
27.3	40.581
27.4	40.5734
27.5	40.5659
27.6	40.5582
