Time(ms)	Membrane_Voltage(mV)
-5	-17.379
-4.9	-17.38
-4.8	-17.381
-4.7	-17.3819
-4.6	-17.3829
-4.5	-17.3838
-4.4	-17.3848
-4.3	-17.3857
-4.2	-17.3866
-4.1	-17.3876
-4	-17.3885
-3.9	-17.3894
-3.8	-17.3903
-3.7	-17.3912
-3.6	-17.392
-3.5	-17.3929
-3.4	-17.3938
-3.3	-17.3947
-3.2	-17.3955
-3.1	-17.3964
-3	-17.3972
-2.9	-17.3981
-2.8	-17.3989
-2.7	-17.3997
-2.6	-17.4005
-2.5	-17.4013
-2.4	-17.4021
-2.3	-17.4029
-2.2	-17.4037
-2.1	-17.4045
-2	-17.4053
-1.9	-17.4061
-1.8	-17.4068
-1.7	-17.4076
-1.6	-17.4083
-1.5	-17.4091
-1.4	-17.4098
-1.3	-17.4105
-1.2	-17.4113
-1.1	-17.412
-1	-17.4127
-0.9	-17.4134
-0.8	-17.4141
-0.7	-17.4148
-0.6	-17.4155
-0.5	-17.4161
-0.4	-17.4168
-0.3	-17.4175
-0.2	-17.4181
-0.1	-17.4188
0	-17.4194
0.1	-9.42238
0.2	-1.42774
0.3	6.56805
0.4	14.5626
0.5	22.5499
0.6	22.5346
0.7	22.5244
0.8	22.5185
0.9	22.5162
1	22.517
1.1	22.5203
1.2	22.5257
1.3	22.5329
1.4	22.5415
1.5	22.5512
1.6	22.562
1.7	22.5734
1.8	22.5854
1.9	22.5979
2	22.6108
2.1	22.6238
2.2	22.637
2.3	22.6503
2.4	22.6635
2.5	22.6768
2.6	22.6899
2.7	22.7029
2.8	22.7158
2.9	22.7285
3	22.741
3.1	22.7532
3.2	22.7652
3.3	22.777
3.4	22.7885
3.5	22.7997
3.6	22.8106
3.7	22.8212
3.8	22.8316
3.9	22.8416
4	22.8514
4.1	22.8608
4.2	22.8699
4.3	22.8788
4.4	22.8873
4.5	22.8955
4.6	22.9034
4.7	22.911
4.8	22.9183
4.9	22.9252
5	22.9319
5.1	22.9383
5.2	22.9443
5.3	22.9501
5.4	22.9555
5.5	22.9607
5.6	22.9655
5.7	22.9701
5.8	22.9744
