Concentration(uM)	qNet95low,qNet90low,qNet80low,qNet70low,qNet60low,qNet_median(C/F),qNet60upp,qNet70upp,qNet80upp,qNet90upp,qNet95upp
0	0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176,0.0690176
0.001	0.0686128,0.0686789,0.0687626,0.0687949,0.0688235,0.0688919,0.0689342,0.068944,0.0689546,0.0689666,0.0689782
0.00177828	0.0683021,0.0684186,0.0685663,0.0686235,0.0686741,0.0687952,0.0688695,0.0688869,0.0689057,0.068927,0.0689474
0.00316228	0.0677568,0.0679607,0.0682203,0.0683209,0.0684099,0.068624,0.0687547,0.0687855,0.068819,0.0688567,0.068893
0.00562341	0.0668095,0.0671623,0.0676137,0.0677896,0.0679453,0.0683216,0.0685515,0.0686061,0.0686651,0.0687319,0.0687964
0.01	0.0651926,0.0657903,0.0665624,0.0668659,0.0671352,0.0677905,0.0681927,0.0682894,0.0683929,0.0685111,0.0686252
0.0177828	0.0625124,0.0634907,0.0647745,0.0652871,0.0657428,0.0668666,0.0675636,0.0677335,0.0679139,0.0681219,0.0683225
0.0316228	0.058276,0.059791,0.0618286,0.062664,0.0634081,0.065285,0.0664728,0.0667674,0.0670784,0.06744,0.0677906
0.0562341	0.0520448,0.054198,0.0572148,0.0585018,0.0596485,0.0626508,0.0646151,0.065117,0.0656403,0.0662589,0.0668631
0.1	0.043735,0.0463957,0.0505137,0.0523399,0.0538882,0.0584522,0.0615459,0.062377,0.0632168,0.064252,0.0652699
0.177828	0.0338438,0.036774,0.041684,0.0438778,0.0460188,0.0521877,0.0567319,0.058,0.0592759,0.0609474,0.0625994
0.316228	0.0229878,0.0261017,0.0311867,0.0335537,0.0360536,0.0436276,0.0496052,0.051433,0.0532245,0.0557666,0.0583046
0.562341	0.0113124,0.014856,0.0190782,0.0222529,0.0244725,0.0330049,0.0400305,0.0422282,0.0446991,0.047999,0.0518146
1	-0.00344619,0.00213454,0.00589458,0.00960088,0.0118082,0.020762,0.0285586,0.0306753,0.0332568,0.0377033,0.0426938
1.77828	-0.0499596,-0.0335662,-0.0288453,-0.0103758,-0.00416145,0.00673601,0.0153587,0.0170614,0.0201192,0.0247639,0.0305581
3.16228	-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0520943,-0.0413613,-0.0344775,-0.000590285,0.00152602,0.00547501,0.0104188,0.016483
5.62341	-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0313758,-0.0117568,0.00530682,0.0753032,0.0823549
10	-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-1.79769e+308,-0.0683318,-0.0616446,-0.0598208,-0.0475842,-0.0413671,-0.0106677
17.7828	-1.79769e+308,-0.0965082,-0.0918838,-0.0890199,-0.0867429,-0.0747059,-0.0693689,-0.0676863,-0.0659382,-0.0636847,-0.0604045
31.6228	-0.107226,-0.105361,-0.102822,-0.100891,-0.0993763,-0.0931718,-0.0828838,-0.0805536,-0.0776069,-0.0729475,-0.0683722
56.2341	-0.113255,-0.112015,-0.110423,-0.10908,-0.107984,-0.104941,-0.0957418,-0.0938682,-0.0915563,-0.0877801,-0.0833389
100	-0.115893,-0.1151,-0.114148,-0.113245,-0.112537,-0.111616,-0.104155,-0.103116,-0.101393,-0.0982586,-0.0948438
