Time(ms)	Membrane_Voltage(mV)
-5	-88.5048
-4.9	-88.5048
-4.8	-88.5048
-4.7	-88.5048
-4.6	-88.5048
-4.5	-88.5048
-4.4	-88.5048
-4.3	-88.5048
-4.2	-88.5048
-4.1	-88.5048
-4	-88.5048
-3.9	-88.5048
-3.8	-88.5048
-3.7	-88.5048
-3.6	-88.5048
-3.5	-88.5048
-3.4	-88.5048
-3.3	-88.5048
-3.2	-88.5048
-3.1	-88.5048
-3	-88.5048
-2.9	-88.5048
-2.8	-88.5048
-2.7	-88.5048
-2.6	-88.5048
-2.5	-88.5048
-2.4	-88.5048
-2.3	-88.5048
-2.2	-88.5048
-2.1	-88.5048
-2	-88.5048
-1.9	-88.5048
-1.8	-88.5048
-1.7	-88.5048
-1.6	-88.5048
-1.5	-88.5048
-1.4	-88.5048
-1.3	-88.5048
-1.2	-88.5048
-1.1	-88.5048
-1	-88.5048
-0.9	-88.5048
-0.8	-88.5048
-0.7	-88.5048
-0.6	-88.5048
-0.5	-88.5048
-0.4	-88.5048
-0.3	-88.5048
-0.2	-88.5048
-0.1	-88.5048
0	-88.5048
0.1	-80.5917
0.2	-72.7388
0.3	-64.8566
0.4	-56.9213
0.5	-48.899
0.6	-48.6175
0.7	-47.8603
0.8	-46.4553
0.9	-44.1851
1	-40.6219
1.1	-34.7405
1.2	-23.8588
1.3	-2.96512
1.4	20.2145
1.5	27.866
1.6	29.7393
1.7	30.9383
1.8	31.9955
1.9	32.9526
2	33.8191
2.1	34.6026
2.2	35.3102
2.3	35.9491
2.4	36.5256
2.5	37.0457
2.6	37.5151
2.7	37.9388
2.8	38.3212
2.9	38.6666
3	38.9786
3.1	39.2607
3.2	39.5157
3.3	39.7463
3.4	39.9549
3.5	40.1437
3.6	40.3145
3.7	40.469
3.8	40.6089
3.9	40.7353
4	40.8497
4.1	40.953
4.2	41.0463
4.3	41.1305
4.4	41.2064
4.5	41.2747
4.6	41.336
4.7	41.3911
4.8	41.4403
4.9	41.4843
5	41.5234
5.1	41.5581
5.2	41.5888
5.3	41.6157
5.4	41.6393
5.5	41.6597
5.6	41.6772
5.7	41.6921
5.8	41.7046
5.9	41.7149
6	41.7231
6.1	41.7295
6.2	41.7342
6.3	41.7372
6.4	41.7389
6.5	41.7392
6.6	41.7383
6.7	41.7363
6.8	41.7333
6.9	41.7294
7	41.7246
7.1	41.719
7.2	41.7128
7.3	41.7059
7.4	41.6984
7.5	41.6903
7.6	41.6818
7.7	41.6729
7.8	41.6636
7.9	41.6539
8	41.6439
8.1	41.6337
8.2	41.6232
8.3	41.6125
8.4	41.6016
8.5	41.5905
8.6	41.5793
8.7	41.568
8.8	41.5566
8.9	41.5451
9	41.5336
9.1	41.522
9.2	41.5104
9.3	41.4988
9.4	41.4872
9.5	41.4756
9.6	41.4641
9.7	41.4525
9.8	41.4411
9.9	41.4296
10	41.4183
10.1	41.407
10.2	41.3958
10.3	41.3846
10.4	41.3736
10.5	41.3626
10.6	41.3517
10.7	41.341
10.8	41.3303
10.9	41.3197
11	41.3093
11.1	41.299
11.2	41.2887
11.3	41.2786
11.4	41.2686
11.5	41.2588
11.6	41.249
11.7	41.2394
11.8	41.2299
11.9	41.2205
12	41.2112
12.1	41.202
12.2	41.193
12.3	41.184
12.4	41.1752
12.5	41.1665
12.6	41.158
12.7	41.1495
12.8	41.1411
12.9	41.1329
13	41.1248
13.1	41.1167
13.2	41.1088
13.3	41.101
13.4	41.0933
13.5	41.0856
13.6	41.0781
13.7	41.0707
13.8	41.0633
13.9	41.0561
14	41.049
14.1	41.0419
14.2	41.0349
14.3	41.028
14.4	41.0212
14.5	41.0144
14.6	41.0078
14.7	41.0012
14.8	40.9946
14.9	40.9882
15	40.9818
15.1	40.9755
15.2	40.9692
15.3	40.963
15.4	40.9568
15.5	40.9507
15.6	40.9447
15.7	40.9387
15.8	40.9328
15.9	40.9269
16	40.921
16.1	40.9152
16.2	40.9094
16.3	40.9036
16.4	40.8979
16.5	40.8923
16.6	40.8866
16.7	40.881
16.8	40.8754
16.9	40.8698
17	40.8643
17.1	40.8587
17.2	40.8532
17.3	40.8477
17.4	40.8422
17.5	40.8368
17.6	40.8313
17.7	40.8259
17.8	40.8204
17.9	40.815
18	40.8095
18.1	40.8041
18.2	40.7987
18.3	40.7932
18.4	40.7878
18.5	40.7823
18.6	40.7769
18.7	40.7714
18.8	40.766
18.9	40.7605
19	40.755
19.1	40.7495
19.2	40.744
19.3	40.7384
19.4	40.7329
19.5	40.7273
19.6	40.7217
19.7	40.7161
19.8	40.7105
19.9	40.7048
20	40.6991
20.1	40.6934
20.2	40.6877
20.3	40.6819
20.4	40.6761
20.5	40.6703
20.6	40.6644
20.7	40.6586
20.8	40.6526
20.9	40.6467
21	40.6407
21.1	40.6347
21.2	40.6286
21.3	40.6225
21.4	40.6164
21.5	40.6102
21.6	40.604
21.7	40.5978
21.8	40.5915
21.9	40.5852
22	40.5788
22.1	40.5724
22.2	40.5659
22.3	40.5594
22.4	40.5529
22.5	40.5463
22.6	40.5396
22.7	40.533
22.8	40.5262
22.9	40.5195
23	40.5126
23.1	40.5058
23.2	40.4988
23.3	40.4919
23.4	40.4849
23.5	40.4778
23.6	40.4707
23.7	40.4635
23.8	40.4563
23.9	40.449
24	40.4417
24.1	40.4343
24.2	40.4269
