Time(ms)	Membrane_Voltage(mV)
-5	-88.6526
-4.9	-88.6526
-4.8	-88.6526
-4.7	-88.6526
-4.6	-88.6526
-4.5	-88.6526
-4.4	-88.6526
-4.3	-88.6526
-4.2	-88.6526
-4.1	-88.6526
-4	-88.6526
-3.9	-88.6526
-3.8	-88.6526
-3.7	-88.6526
-3.6	-88.6526
-3.5	-88.6526
-3.4	-88.6526
-3.3	-88.6526
-3.2	-88.6526
-3.1	-88.6526
-3	-88.6526
-2.9	-88.6526
-2.8	-88.6526
-2.7	-88.6526
-2.6	-88.6526
-2.5	-88.6526
-2.4	-88.6526
-2.3	-88.6526
-2.2	-88.6526
-2.1	-88.6526
-2	-88.6526
-1.9	-88.6526
-1.8	-88.6526
-1.7	-88.6526
-1.6	-88.6526
-1.5	-88.6526
-1.4	-88.6526
-1.3	-88.6526
-1.2	-88.6526
-1.1	-88.6526
-1	-88.6526
-0.9	-88.6526
-0.8	-88.6526
-0.7	-88.6526
-0.6	-88.6526
-0.5	-88.6526
-0.4	-88.6526
-0.3	-88.6526
-0.2	-88.6526
-0.1	-88.6526
0	-88.6526
0.1	-80.74
0.2	-72.8886
0.3	-65.01
0.4	-57.0863
0.5	-49.1189
0.6	-49.0916
0.7	-48.9762
0.8	-48.7555
0.9	-48.4273
1	-47.9972
1.1	-47.473
1.2	-46.8614
1.3	-46.1666
1.4	-45.3897
1.5	-44.5289
1.6	-43.5792
1.7	-42.5325
1.8	-41.3782
1.9	-40.1028
2	-38.6904
2.1	-37.1237
2.2	-35.386
2.3	-33.4639
2.4	-31.3536
2.5	-29.0686
2.6	-26.6483
2.7	-24.164
2.8	-21.7154
2.9	-19.4129
3	-17.3525
3.1	-15.593
3.2	-14.1483
3.3	-12.9949
3.4	-12.0884
3.5	-11.378
3.6	-10.8161
3.7	-10.3633
3.8	-9.9889
3.9	-9.67026
4	-9.39101
4.1	-9.13963
4.2	-8.90812
4.3	-8.69098
4.4	-8.48443
4.5	-8.28587
4.6	-8.09352
4.7	-7.90613
4.8	-7.72282
4.9	-7.54296
5	-7.36607
5.1	-7.19178
5.2	-7.0198
5.3	-6.84988
5.4	-6.6818
5.5	-6.51538
5.6	-6.35044
5.7	-6.18682
5.8	-6.02437
5.9	-5.86296
6	-5.70245
6.1	-5.54273
6.2	-5.38369
6.3	-5.22522
6.4	-5.06724
6.5	-4.90966
6.6	-4.75241
6.7	-4.59544
6.8	-4.4387
6.9	-4.28215
7	-4.12576
7.1	-3.96954
7.2	-3.81346
7.3	-3.65754
7.4	-3.5018
7.5	-3.34626
7.6	-3.19095
7.7	-3.03591
7.8	-2.88118
7.9	-2.72679
8	-2.57279
8.1	-2.41922
8.2	-2.26611
8.3	-2.1135
8.4	-1.96143
8.5	-1.80992
8.6	-1.65899
8.7	-1.50867
8.8	-1.35896
8.9	-1.20989
9	-1.06145
9.1	-0.913665
9.2	-0.766524
9.3	-0.620029
9.4	-0.47418
9.5	-0.328973
9.6	-0.184402
9.7	-0.0404607
9.8	0.102857
9.9	0.245559
10	0.387652
10.1	0.529146
10.2	0.670047
10.3	0.810363
10.4	0.950103
10.5	1.08927
10.6	1.22788
10.7	1.36592
10.8	1.50342
10.9	1.64036
11	1.77676
11.1	1.91263
11.2	2.04795
11.3	2.18274
11.4	2.317
11.5	2.45072
11.6	2.58391
11.7	2.71657
11.8	2.8487
11.9	2.98029
12	3.11135
12.1	3.24188
12.2	3.37187
12.3	3.50131
12.4	3.63022
12.5	3.75858
12.6	3.88639
12.7	4.01365
12.8	4.14036
12.9	4.26651
13	4.39209
13.1	4.51712
13.2	4.64157
13.3	4.76545
13.4	4.88876
13.5	5.01148
13.6	5.13363
13.7	5.25518
13.8	5.37615
13.9	5.49653
14	5.61631
14.1	5.73549
14.2	5.85406
14.3	5.97204
14.4	6.0894
14.5	6.20615
14.6	6.32229
14.7	6.43782
14.8	6.55273
14.9	6.66702
15	6.78069
15.1	6.89373
15.2	7.00615
15.3	7.11795
15.4	7.22912
15.5	7.33966
15.6	7.44957
15.7	7.55886
15.8	7.66751
15.9	7.77553
16	7.88293
16.1	7.98969
16.2	8.09582
16.3	8.20132
16.4	8.30619
16.5	8.41043
16.6	8.51405
16.7	8.61703
16.8	8.71939
16.9	8.82112
17	8.92223
17.1	9.02271
17.2	9.12257
17.3	9.22181
17.4	9.32043
17.5	9.41843
17.6	9.51581
17.7	9.61258
17.8	9.70874
17.9	9.80428
18	9.89922
18.1	9.99355
18.2	10.0873
18.3	10.1804
18.4	10.2729
18.5	10.3649
18.6	10.4562
18.7	10.5469
18.8	10.6371
18.9	10.7266
19	10.8156
19.1	10.904
19.2	10.9918
19.3	11.0791
19.4	11.1657
19.5	11.2518
19.6	11.3374
19.7	11.4223
19.8	11.5067
19.9	11.5906
20	11.6739
20.1	11.7566
20.2	11.8388
20.3	11.9204
20.4	12.0015
20.5	12.0821
20.6	12.1621
20.7	12.2416
20.8	12.3205
20.9	12.3989
21	12.4768
21.1	12.5542
21.2	12.6311
21.3	12.7074
21.4	12.7833
21.5	12.8586
21.6	12.9334
21.7	13.0077
21.8	13.0815
21.9	13.1548
22	13.2277
22.1	13.3
22.2	13.3719
22.3	13.4432
22.4	13.5141
22.5	13.5845
22.6	13.6544
22.7	13.7239
22.8	13.7929
22.9	13.8614
23	13.9295
23.1	13.9971
23.2	14.0642
23.3	14.1309
23.4	14.1972
23.5	14.263
23.6	14.3283
23.7	14.3932
23.8	14.4577
23.9	14.5218
24	14.5854
24.1	14.6485
24.2	14.7113
24.3	14.7736
24.4	14.8355
24.5	14.897
24.6	14.958
24.7	15.0187
24.8	15.0789
24.9	15.1388
25	15.1982
25.1	15.2572
25.2	15.3159
25.3	15.3741
25.4	15.4319
25.5	15.4894
25.6	15.5464
25.7	15.6031
25.8	15.6594
25.9	15.7153
26	15.7709
26.1	15.826
26.2	15.8808
26.3	15.9352
26.4	15.9893
26.5	16.043
26.6	16.0963
26.7	16.1493
26.8	16.2019
26.9	16.2542
27	16.3061
27.1	16.3576
27.2	16.4088
27.3	16.4597
27.4	16.5102
27.5	16.5604
27.6	16.6103
27.7	16.6598
27.8	16.709
27.9	16.7578
28	16.8064
28.1	16.8546
28.2	16.9025
28.3	16.95
28.4	16.9973
28.5	17.0442
