Concentration(uM)	qNet95low   qNet90low   qNet80low   qNet70low   qNet60low   qNet_median(C/F)   qNet60upp   qNet70upp   qNet80upp   qNet90upp   qNet95upp
0	0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176   0.0690176
0.001	0.0689935   0.0689986   0.069004   0.0690063   0.069008   0.0690128   0.0690181   0.0690191   0.0690199   0.0690229   0.0690262
0.00177828	0.0689754   0.0689846   0.0689943   0.0689978   0.069001   0.0690099   0.0690188   0.069021   0.0690224   0.0690278   0.0690337
0.00316228	0.0689432   0.0689597   0.0689769   0.0689832   0.0689886   0.0690048   0.0690205   0.0690245   0.069027   0.0690365   0.0690469
0.00562341	0.0688856   0.0689156   0.0689461   0.0689572   0.0689669   0.0689955   0.0690232   0.0690308   0.069035   0.0690521   0.0690704
0.01	0.0687834   0.0688376   0.0688914   0.0689112   0.0689283   0.0689792   0.0690282   0.0690418   0.0690495   0.0690797   0.069112
0.0177828	0.0686026   0.0686999   0.0687943   0.0688297   0.06886   0.0689504   0.069037   0.0690614   0.0690749   0.0691285   0.0691855
0.0316228	0.0682843   0.0684581   0.0686229   0.0686853   0.0687393   0.0688991   0.0690525   0.0690957   0.0691199   0.0692144   0.0693141
0.0562341	0.0677282   0.0680357   0.0683215   0.0684307   0.0685266   0.0688089   0.0690798   0.0691557   0.0691995   0.0693649   0.0695366
0.1	0.0667689   0.0673028   0.0677933   0.0679863   0.068155   0.0686507   0.069128   0.069259   0.0693358   0.0696257   0.0699138
0.177828	0.0651524   0.0660542   0.0668814   0.0672218   0.0675104   0.0683767   0.0692114   0.0694325   0.0695751   0.0700739   0.0705298
0.316228	0.0625311   0.0640292   0.0653416   0.0659685   0.0664357   0.0679114   0.0693542   0.0697108   0.0699757   0.0708194   0.0714725
0.562341	0.0585402   0.0608962   0.0628372   0.0639473   0.0646895   0.0671476   0.0695919   0.0701345   0.0705687   0.0719991   0.072902
1	0.0530246   0.0565458   0.0590964   0.0607716   0.062282   0.0659643   0.0699679   0.0707705   0.0716361   0.0737155   0.0753672
1.77828	0.0463896   0.0511264   0.0541904   0.0565168   0.0582789   0.0642945   0.0705105   0.0716123   0.0733698   0.0756415   0.0788527
3.16228	0.040913   0.0457608   0.0484306   0.0521367   0.0536325   0.0622478   0.0709828   0.0723525   0.0752282   0.0789197   0.0831385
5.62341	0.0345538   0.0389014   0.0419559   0.0456615   0.0486479   0.0601551   0.071002   0.072026   0.0764745   0.0825556   0.0874531
10	0.0294244   0.0324514   0.0379324   0.0408907   0.0444158   0.0582718   0.0697706   0.0725825   0.0783403   0.0847374   0.0906577
17.7828	0.0237853   0.0262512   0.0316054   0.0374928   0.0410216   0.0562079   0.068179   0.0703697   0.0763488   0.0858125   0.0921471
31.6228	0.0143305   0.0206686   0.0257304   0.0321922   0.0370115   0.0528004   0.065947   0.0688705   0.0734069   0.0836301   0.0929154
56.2341	-1.79769e+308   0.000626083   0.0175283   0.0229919   0.0297409   0.0468693   0.0610317   0.0655204   0.069649   0.083515   0.0910066
100	-1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   -1.79769e+308   0.0398893   0.0562171   0.0610331   0.0688933   0.0817957   0.0915161
