Concentration(uM)	Concentration(uM)	UpstrokeVelocity(mV/ms)	PeakVm(mV)	APD50(ms)	APD90(ms)	dAp95%low,dAp90%low,dAp80%low,dAp70%low,dAp60%low,median_delta_APD90,dAp60%upp,dAp70%upp,dAp80%upp,dAp90%upp,dAp95%upp
0	227.582	41.9181	236.936	289.807	0,0,0,0,0,0,0,0,0,0,0
0.001	227.594	41.9175	236.958	289.835	0.000471969,0.00223636,0.00281639,0.00417687,0.00483653,0.00969633,0.0171472,0.0197667,0.0221199,0.0315634,0.0385922
0.00177828	227.609	41.9171	236.976	289.857	0.000896765,0.00399458,0.00547346,0.00757759,0.0086774,0.0173441,0.0305378,0.0352113,0.0393967,0.0561675,0.0686769
0.00316228	227.631	41.9163	237.006	289.896	0.00163488,0.00709765,0.00977638,0.0135226,0.0154615,0.0308342,0.0543564,0.0626499,0.0700649,0.0998932,0.12213
0.00562341	227.667	41.9149	237.061	289.966	0.00297409,0.0126283,0.017451,0.0240446,0.0275552,0.05487,0.0966667,0.111426,0.124599,0.177507,0.217063
0.01	227.732	41.9124	237.158	290.09	0.0053523,0.0224498,0.0310944,0.0424242,0.0490056,0.0975846,0.171814,0.198024,0.221397,0.31527,0.385477
0.0177828	227.847	41.908	237.33	290.31	0.0096084,0.0399125,0.0554071,0.0759653,0.0871919,0.173457,0.305144,0.351671,0.393005,0.55944,0.683808
0.0316228	228.05	41.9001	237.636	290.7	0.0172008,0.0709686,0.0987387,0.135016,0.155002,0.308061,0.54127,0.623759,0.696561,0.991058,1.21059
0.0562341	228.406	41.886	238.177	291.391	0.0307875,0.126172,0.175965,0.239832,0.275431,0.546482,0.958153,1.10406,1.23132,1.75052,2.13576
0.1	229.027	41.8611	239.132	292.611	0.0552983,0.224206,0.312558,0.42569,0.488934,0.967544,1.69012,1.94709,2.16671,3.07631,3.74556
0.177828	230.073	41.8172	240.809	294.754	0.0999358,0.398263,0.554545,0.754552,0.866675,1.70717,2.96316,3.41259,3.78292,5.35931,6.503
0.316228	231.795	41.7392	243.724	298.486	0.182509,0.76397,0.98214,1.3341,1.53242,2.99466,5.1653,5.91678,6.51857,9.20211,11.1061
0.562341	234.363	41.6022	248.706	304.88	0.339047,1.35226,1.84351,2.34969,2.69789,5.20099,8.88893,10.0645,11.0153,15.4398,18.4897
1	237.425	41.3635	256.995	315.562	0.683351,2.38522,3.32811,4.17488,4.71492,8.88683,14.9673,16.6431,18.3541,25.0365,29.6715
1.77828	238.453	40.9567	270.227	332.716	1.80044,4.18185,5.79424,7.27291,8.25774,14.806,24.1384,26.7484,29.4876,38.7964,45.3544
3.16228	228.985	40.3341	290.134	358.775	3.90526,7.25645,9.93503,12.313,14.2914,23.798,36.8475,40.7481,44.6441,55.6132,65.3259
5.62341	193.164	39.835	317.66	395.777	9.35339,12.7138,16.7515,20.265,23.0414,36.5658,53.6366,59.0099,63.1702,75.5483,85.8569
10	185.679	38.9291	354.478	445.141	17.9387,22.9339,28.2106,32.2412,35.9773,53.5991,75.5215,80.8333,86.5879,100.797,108.427
17.7828	147.758	37.3277	403.428	508.412	31.6275,37.4571,44.5322,49.518,54.1443,75.4313,100.752,108.225,113.949,123.759,138.23
31.6228	107.079	34.7218	470.592	588.524	50.5133,56.3816,65.8262,72.7312,80.1945,103.075,132.995,140.166,148.563,158.813,184.278
56.2341	79.746	30.7511	564.833	689.27	51.778,75.9403,89.4563,96.8834,102.174,137.838,171.121,179.409,187.806,227.976,262.85
100	79.6743	23.1439	703.738	816.741	-17.6208,-4.79034,100.523,116.1,128.702,181.822,225.715,238.581,260.826,816.167,852.478
